,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,471885905.0,471885905.0,471885905.0,396384160.0
Share Issued,471885905.0,471885905.0,471885905.0,396384160.0
Total Debt,541668958.61,201613879.01,174836215.38,274563193.95
Tangible Book Value,3473510914.74,3313364448.04,3180192298.86,1688052386.25
Invested Capital,4077226868.29,3492920575.46,3234406018.21,1841630425.67
Working Capital,3232583454.22,3097647022.93,3002907395.87,1539080819.42
Net Tangible Assets,3473510914.74,3313364448.04,3180192298.86,1688052386.25
Capital Lease Obligations,22023289.87,88525437.53,99754547.69,112244132.82
Common Stock Equity,3565508455.86,3392825853.24,3184344907.07,1692116425.67
Total Capitalization,3565508455.86,3392825853.24,3184344907.07,1692116425.67
Total Equity Gross Minority Interest,3583613096.49,3403395097.67,3185076322.67,1692116425.67
Minority Interest,18104640.63,10569244.43,731415.6,
Stockholders Equity,3565508455.86,3392825853.24,3184344907.07,1692116425.67
Treasury Stock,10050671.83,,,
Retained Earnings,1304055136.81,1141224663.46,958819534.32,697902460.7
Additional Paid In Capital,1663914121.48,1663914121.48,1663914121.48,541890519.99
Capital Stock,471885905.0,471885905.0,471885905.0,396384160.0
Common Stock,471885905.0,471885905.0,471885905.0,396384160.0
Total Liabilities Net Minority Interest,2187713002.19,1267824812.78,1778942268.71,2348150243.52
Total Non Current Liabilities Net Minority Interest,38690628.08,103669435.44,119712915.11,131260551.55
Non Current Deferred Revenue,2199190.94,3593127.98,4987065.02,6517795.95
Non Current Deferred Taxes Liabilities,14468147.27,11550869.93,14971302.4,12498622.78
Long Term Debt And Capital Lease Obligation,22023289.87,88525437.53,99754547.69,112244132.82
Long Term Capital Lease Obligation,22023289.87,88525437.53,99754547.69,112244132.82
Current Liabilities,2149022374.11,1164155377.34,1659229353.6,2216889691.97
Current Debt And Capital Lease Obligation,519645668.74,113088441.48,75081667.69,162319061.13
Current Debt,511718412.43,100094722.22,50061111.14,149514000.0
Payables,1572578264.5,992851203.92,1502816474.91,2003571128.19
Other Payable,1070122155.09,616131758.75,1111123535.12,1352063067.14
Dividends Payable,,,,0.0
Total Tax Payable,72900282.36,85762234.37,89308510.13,88989484.62
Accounts Payable,429555827.05,290957210.8,302384429.66,562518576.43
Total Assets,5771326098.68,4671219910.45,4964018591.38,4040266669.19
Total Non Current Assets,389720270.35,409417510.18,301881841.91,284296157.8
Other Non Current Assets,17786913.31,8470680.67,3778537.83,43844167.69
Non Current Deferred Assets,11577564.58,16660737.99,17252368.38,9119107.16
Non Current Deferred Taxes Assets,50917834.3,49276677.51,33333032.08,24335487.07
Investmentin Financial Assets,102457592.92,45112747.49,28834724.01,15841277.1
Available For Sale Securities,102457592.92,45112747.49,28834724.01,15841277.1
Long Term Equity Investment,80999247.35,120099460.58,106558305.79,63713517.48
Goodwill And Other Intangible Assets,91997541.12,79461405.2,4152608.21,4064039.42
Other Intangible Assets,56380540.94,43844405.02,4152608.21,4064039.42
Goodwill,35617000.18,35617000.18,,
Net PPE,33983576.77,90335800.74,107972265.61,123378561.88
Accumulated Depreciation,,-12833987.55,-10484278.76,-7515007.54
Gross PPE,33983576.77,103169788.29,118456544.37,130893569.42
Other Properties,33983576.77,80729369.33,94722485.5,108904359.13
Machinery Furniture Equipment,,22440418.96,23734058.87,21989210.29
Current Assets,5381605828.33,4261802400.27,4662136749.47,3755970511.39
Other Current Assets,29658413.83,26788932.5,42763808.18,8846727.11
Prepaid Assets,87632412.51,24954410.83,27348785.43,41439645.52
Inventory,768776.39,,,
Finished Goods,768776.39,,,
Other Receivables,1467530130.28,1074448831.87,1642274128.87,1447025108.43
Accounts Receivable,800781953.17,888576400.17,791041250.7,1022939483.7
Allowance For Doubtful Accounts Receivable,,-64746092.65,-78586245.01,-71185394.59
Gross Accounts Receivable,,953322492.82,869627495.71,1094124878.29
Cash Cash Equivalents And Short Term Investments,2995234142.15,2247033824.9,2158708776.29,1235719546.63
Other Short Term Investments,526664373.85,688395215.9,322164222.22,
Cash And Cash Equivalents,2468569768.3,1558638609.0,1836544554.07,1235719546.63
Cash Equivalents,592698194.69,364335618.11,,
Cash Financial,1875871573.61,1194302990.89,1836544554.07,1235719546.63
