,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,466902347.66,171233789.93,-1104963791.97,1183585744.98
Repayment Of Debt,-1783977315.04,-3406532145.46,-810630000.0,-21022226.88
Issuance Of Debt,4301615085.32,3697327341.24,2169673990.39,411854742.47
Capital Expenditure,-1571700172.27,-1597709266.68,-1297642235.03,-1114338402.79
End Cash Position,6771443337.12,4695210170.76,4902917080.78,3390312107.34
Beginning Cash Position,4695210170.76,4902917080.78,3390312107.34,1723660762.29
Effect Of Exchange Rate Changes,4113978.16,-429129.97,219123.86,74690.73
Changes In Cash,2072119188.2,-207277780.05,1512385849.58,1666576654.32
Financing Cash Flow,1905982250.44,183992324.62,2660739694.97,505745091.8
Net Other Financing Charges,-503491142.44,24445300.99,1426583198.39,133578719.73
Cash Dividends Paid,-108164377.4,-96908672.15,-106677493.81,-18666143.52
Net Issuance Payments Of Debt,2517637770.28,290795195.78,1359043990.39,390832515.59
Net Long Term Debt Issuance,2517637770.28,290795195.78,1359043990.39,390832515.59
Long Term Debt Payments,-1783977315.04,-3406532145.46,-810630000.0,-21022226.88
Long Term Debt Issuance,4301615085.32,3697327341.24,2169673990.39,411854742.47
Investing Cash Flow,-1872465582.17,-2160213161.28,-1341032288.45,-1137092585.25
Net Other Investing Changes,,9223866.15,,-1114338402.79
Net Investment Purchase And Sale,-294804454.9,-571733602.26,-43332692.39,-22825089.33
Sale Of Investment,12883306.67,1022332.74,12034580.81,9180000.0
Purchase Of Investment,-307687761.57,-572755935.0,-55367273.2,-32005089.33
Net Business Purchase And Sale,-6052589.55,0.0,-139365.37,
Sale Of Business,0.0,0.0,,
Purchase Of Business,-6052589.55,0.0,-139365.37,
Net PPE Purchase And Sale,-1571608537.72,-1597703425.17,-1297560230.69,-1114267495.92
Sale Of PPE,91634.55,5841.51,82004.34,70906.87
Purchase Of PPE,-1571700172.27,-1597709266.68,-1297642235.03,-1114338402.79
Capital Expenditure Reported,,,,
Operating Cash Flow,2038602519.93,1768943056.61,192678443.06,2297924147.77
Change In Working Capital,1231264682.61,824939250.61,-1121146878.81,1332401905.58
Change In Other Current Assets,-117955062.31,-109038041.53,-178671187.1,-163546155.93
Change In Payable,2095745048.44,5282632802.55,981221810.58,7462073086.16
Change In Inventory,1122606218.55,-1518200653.71,112204437.45,-2468447700.79
Change In Receivables,-1869131522.07,-2830454856.7,-2035901939.74,-3497677323.86
Other Non Cash Items,80837286.24,80846325.46,56229683.51,19713123.45
Deferred Tax,,,,
Depreciation And Amortization,246679043.74,196124928.08,155064492.09,111151034.1
Amortization Cash Flow,8373619.02,7627833.36,6056562.33,4162577.73
Depreciation,238305424.72,188497094.72,149007929.76,106988456.37
Gain Loss On Investment Securities,-74703959.43,-65496424.17,-60484828.32,-28432974.97
Gain Loss On Sale Of PPE,-155223.29,1143052.9,1350419.63,5323151.98
Net Income From Continuing Operations,468180114.54,416417359.59,617496296.56,611766684.94
Cash Flowsfromusedin Operating Activities Direct,2038602519.93,1768943056.61,192678443.06,2297924147.77
Taxes Refund Paid Direct,-444533252.28,-431255420.37,-610300453.11,-108211240.43
Interest Received Direct,0.0,0.0,,
Interest Paid Direct,0.0,0.0,,
Classesof Cash Payments,-20903889674.89,-18843181048.94,-15372715699.87,-9347231674.5
Other Cash Paymentsfrom Operating Activities,-879532856.4,-1211278199.18,-1152456985.47,-1119748757.22
Paymentson Behalfof Employees,-694700106.91,-650866912.77,-533998566.32,-341135792.71
Paymentsto Suppliersfor Goodsand Services,-19329656711.58,-16981035936.99,-13686260148.08,-7886347124.57
Classesof Cash Receiptsfrom Operating Activities,23387025447.1,21043379525.92,16175694596.04,11753367062.7
Other Cash Receiptsfrom Operating Activities,1154556939.73,1117688396.83,450634873.32,469470355.58
Receiptsfrom Customers,22232468507.37,19925691129.09,15725059722.72,11283896707.12
