,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1827617666.0,1828211235.0,1595823804.0,2850860861.0
Share Issued,1827617666.0,1828211235.0,1595823804.0,2850860861.0
Net Debt,8756438791.18,3783131486.76,,
Total Debt,14174837734.61,9682683073.12,4314479117.36,3728945672.36
Tangible Book Value,2540845869.6,7702234654.6,8457290969.68,4692596327.39
Invested Capital,14224692436.98,17080305909.71,11721963757.81,7416026638.02
Working Capital,-10546974341.93,-5244051542.91,-631491020.38,-2234110904.4
Net Tangible Assets,2540845869.6,7702234654.6,8457290969.68,4692596327.39
Capital Lease Obligations,12557343.05,42132873.11,135159061.34,41818054.48
Common Stock Equity,3554333406.99,8679931962.14,9062217947.15,5081693027.33
Total Capitalization,10581344189.24,16225079951.37,11067467683.78,6085813151.0
Total Equity Gross Minority Interest,4953261596.25,8679931956.03,9062217947.15,5582006496.61
Minority Interest,1398928189.26,-6.11,,500313469.28
Stockholders Equity,3554333406.99,8679931962.14,9062217947.15,5081693027.33
Treasury Stock,506363009.59,493157976.27,18645491.9,
Retained Earnings,-1620848944.79,3698582953.6,3656757031.57,1421493990.69
Additional Paid In Capital,3656590049.96,3409661150.79,3917753481.08,1529993371.32
Capital Stock,1827617666.0,1828011013.0,1302116033.0,2036329187.0
Common Stock,1827617666.0,1828011013.0,1302116033.0,2036329187.0
Total Liabilities Net Minority Interest,29569744711.96,25316249923.6,15662467640.29,12318236255.39
Total Non Current Liabilities Net Minority Interest,11524786532.16,9864593133.16,4792866982.45,2662306036.07
Other Non Current Liabilities,30590390.88,3041852.82,,
Tradeand Other Payables Non Current,1478599723.21,441172985.29,446157376.6,409353854.99
Non Current Deferred Revenue,2958783651.07,1632399458.76,1753789711.33,838423063.15
Non Current Deferred Taxes Liabilities,17244641.7,200697973.95,452511096.55,368590939.78
Long Term Debt And Capital Lease Obligation,7039568125.3,7587280862.34,2140408797.97,1045938178.15
Long Term Capital Lease Obligation,12557343.05,42132873.11,135159061.34,41818054.48
Long Term Debt,7027010782.25,7545147989.23,2005249736.63,1004120123.67
Current Liabilities,18044958179.8,15451656790.44,10869600657.84,9655930219.32
Other Current Liabilities,188916911.86,43020747.14,623032910.74,40369167.79
Current Debt And Capital Lease Obligation,7135269609.31,2095402210.78,2174070319.39,2683007494.21
Current Debt,3643348247.74,855225958.34,654496074.03,1330213487.02
Payables,9816169611.08,13054012449.25,7660124731.4,6591980889.44
Other Payable,230614024.95,308525230.73,345334805.75,128630903.14
Dividends Payable,,,,
Total Tax Payable,411702385.9,127533132.84,46177081.84,11505876.85
Accounts Payable,9173853200.23,12617954085.68,7268612843.81,6451844109.45
Total Assets,34523006308.21,33996181879.63,24724685587.44,17900242752.0
Total Non Current Assets,27025022470.34,23788576632.1,14486575949.98,10478423437.08
Other Non Current Assets,575258245.22,1561688191.67,625680256.6,35920322.01
Non Current Deferred Assets,10757913.1,11569929.67,13979913.05,11213732.91
Non Current Deferred Taxes Assets,1858811009.15,604270152.05,407207303.89,439452566.85
Investmentin Financial Assets,650853722.4,901994977.95,731493533.52,
Available For Sale Securities,650853722.4,901994977.95,731493533.52,
Long Term Equity Investment,3383658.95,3489629.88,3334256.73,4552026.91
Goodwill And Other Intangible Assets,1013487537.39,977697307.54,604926977.47,389096699.94
Other Intangible Assets,1013487537.39,977697307.54,604926977.47,389096699.94
Net PPE,22871796178.68,19714835975.04,12069843615.57,9503071542.54
Accumulated Depreciation,-3983611193.43,-4453293867.97,-2939385756.26,-1852862833.77
Gross PPE,26855407372.11,24168129843.01,15009229371.83,11355934376.31
Construction In Progress,5054746936.61,4994689369.24,1802315325.84,641906797.96
Other Properties,166137087.78,196949365.88,222862680.33,120461680.18
Machinery Furniture Equipment,13539570294.25,14576568913.88,10302028856.79,8559193014.81
Buildings And Improvements,,,,
Properties,8094953053.47,4399922194.01,2682022508.87,2034372883.36
Current Assets,7497983837.87,10207605247.53,10238109637.46,7421819314.92
Other Current Assets,1291345249.67,542680605.26,285689221.02,195244741.31
Prepaid Assets,405239105.4,709144264.96,1325880113.25,985745651.59
Inventory,2549580898.66,3134748703.66,1527078163.58,2187576297.35
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,3724835.24,575814.6,1516708.91,
Finished Goods,2100749346.19,2597854702.08,614981756.72,1364424697.15
Work In Process,45081453.16,34773874.1,81859261.7,80974081.09
Raw Materials,400025264.07,501544312.88,828720436.25,742177519.11
Other Receivables,499551832.59,843976270.67,1182370613.98,1115287944.4
Accounts Receivable,838346512.74,359572361.13,201743774.83,221259461.3
Allowance For Doubtful Accounts Receivable,-11333222.26,-5862668.21,-6091491.09,-2860389.02
Gross Accounts Receivable,849679735.0,365435029.34,207835265.92,224119850.32
Cash Cash Equivalents And Short Term Investments,1913920238.81,4617483041.85,5715347750.8,2716705218.97
Other Short Term Investments,,240581.04,65584028.62,10001449.34
Cash And Cash Equivalents,1913920238.81,4617242460.81,5649763722.18,2706703769.63
Cash Equivalents,1329807751.52,2969268615.86,2792594984.35,2094995300.04
Cash Financial,584112487.29,1647973844.95,2857168737.83,611708469.59
