,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,93575331.55,127907796.21,-188328889.02,64367586.88
Repayment Of Debt,-75661279.09,-50000.0,,
Issuance Of Debt,146201778.93,44222125.04,,
Capital Expenditure,-60581867.73,-27185509.8,-54018508.13,-21823313.03
End Cash Position,370284867.39,147941266.3,259250309.96,618319798.65
Beginning Cash Position,147941266.3,259250309.96,618319798.65,21312580.72
Effect Of Exchange Rate Changes,2127343.6,474700.29,3338450.31,-632919.55
Changes In Cash,220216257.49,-111783743.95,-362407939.0,597640137.48
Financing Cash Flow,-15966216.09,13337718.17,-6905959.62,1187130724.6
Net Other Financing Charges,-61969911.55,-6362517.98,-6905959.62,1187130724.6
Cash Dividends Paid,-24536804.38,-24471888.89,,
Net Issuance Payments Of Debt,70540499.84,44172125.04,,
Net Long Term Debt Issuance,70540499.84,44172125.04,,
Long Term Debt Payments,-75661279.09,-50000.0,,
Long Term Debt Issuance,146201778.93,44222125.04,,
Investing Cash Flow,82025274.3,-280214768.13,-221191598.49,-675681487.03
Net Other Investing Changes,,,,
Net Investment Purchase And Sale,142533821.73,-253070853.33,-167202530.36,-653859790.0
Sale Of Investment,1669385074.42,1272303029.3,1035296973.46,274219281.65
Purchase Of Investment,-1526851252.69,-1525373882.63,-1202499503.82,-928079071.65
Net PPE Purchase And Sale,-60508547.43,-27143914.8,-53989068.13,-21821697.03
Sale Of PPE,73320.3,41595.0,29440.0,1616.0
Purchase Of PPE,-60581867.73,-27185509.8,-54018508.13,-21823313.03
Operating Cash Flow,154157199.28,155093306.01,-134310380.89,86190899.91
Change In Working Capital,24356286.44,57895037.3,-208306847.22,-36614260.74
Change In Other Current Assets,1603143.94,,,
Change In Payable,99442411.5,-10508765.74,-12218108.5,19226987.25
Change In Inventory,-74813732.68,50423360.51,-133947074.79,-63095908.0
Change In Receivables,-1875536.32,17980442.53,-62141663.93,7254660.01
Other Non Cash Items,-391898.63,232144.86,-2942870.38,1132270.76
Stock Based Compensation,2327930.17,,,
Depreciation And Amortization,30873101.26,29070995.04,25042469.98,19752666.17
Amortization Cash Flow,21016781.97,20239807.98,17156550.25,12888603.99
Depreciation,9856319.29,8831187.06,7885919.73,6864062.18
Gain Loss On Investment Securities,-16710617.84,-2614128.7,-9222297.61,-820614.72
Gain Loss On Sale Of PPE,84306.51,8549.7,34095.77,56411.56
Net Income From Continuing Operations,106582933.82,65058595.89,53751796.62,83947793.89
Cash Flowsfromusedin Operating Activities Direct,154157199.28,155093306.01,-134310380.89,86190899.91
Taxes Refund Paid Direct,14309557.94,989298.12,23556062.83,12034404.86
Classesof Cash Payments,-652456321.39,-477347045.81,-601968169.27,-538695327.22
Other Cash Paymentsfrom Operating Activities,-82422475.1,-71963117.4,-39530884.25,-34369240.15
Paymentson Behalfof Employees,-148439986.76,-129296761.16,-115846585.98,-104252108.07
Paymentsto Suppliersfor Goodsand Services,-421593859.53,-276087167.25,-446590699.04,-400073979.0
Classesof Cash Receiptsfrom Operating Activities,792303962.73,631451053.7,444101725.55,612851822.27
Other Cash Receiptsfrom Operating Activities,56881912.76,42509181.9,32743694.3,28620214.45
Receiptsfrom Customers,735422049.97,588941871.8,411358031.25,584231607.82
