,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1138745748.0,1152381437.0,1152381437.0,1152381437.0
Share Issued,1138745748.0,1152381437.0,1152381437.0,1152381437.0
Net Debt,129231773.0,,,
Total Debt,1009901718.75,871614489.11,848112587.59,955769539.72
Tangible Book Value,3880958039.02,3865630736.76,4064028789.85,4150337823.95
Invested Capital,7023396441.34,6957156114.64,7014659786.91,7794767103.15
Working Capital,2159419297.78,2694599392.41,2929266704.0,3206755698.49
Net Tangible Assets,3880958039.02,3865630736.76,4064028789.85,4150337823.95
Capital Lease Obligations,8616577.29,8313670.34,9541362.81,12566251.66
Common Stock Equity,6044411186.51,6114381695.63,6501232659.45,6862353600.74
Total Capitalization,6375143183.39,6421353605.03,6623049278.32,7241784433.58
Total Equity Gross Minority Interest,6051685465.87,6127305178.91,6543648542.46,6913275481.67
Minority Interest,7274279.36,12923483.28,42415883.01,50921880.93
Stockholders Equity,6044411186.51,6114381695.63,6501232659.45,6862353600.74
Treasury Stock,,,,
Retained Earnings,1974050406.29,1944578978.0,2330940412.4,2692138413.76
Additional Paid In Capital,2738778348.27,2824595073.86,2825084603.28,2826049999.78
Capital Stock,1138745748.0,1152381437.0,1152381437.0,1152381437.0
Common Stock,1138745748.0,1152381437.0,1152381437.0,1152381437.0
Total Liabilities Net Minority Interest,1876569103.6,1582752015.42,1531518047.0,1718761756.22
Total Non Current Liabilities Net Minority Interest,438031187.43,455964029.19,280491768.54,531813759.9
Non Current Deferred Revenue,57569285.83,108808527.47,111959712.88,119730477.64
Non Current Deferred Taxes Liabilities,41113327.43,31869921.98,37174073.98,20086197.76
Long Term Debt And Capital Lease Obligation,339348574.17,315285579.74,131357981.68,391997084.5
Long Term Capital Lease Obligation,8616577.29,8313670.34,9541362.81,12566251.66
Long Term Debt,330731996.88,306971909.4,121816618.87,379430832.84
Current Liabilities,1438537916.17,1126787986.23,1251026278.46,1186947996.32
Other Current Liabilities,78941424.11,54768749.81,46317073.39,41522527.53
Current Debt And Capital Lease Obligation,670553144.58,556328909.37,716754605.91,563772455.22
Current Debt,648253257.95,535802509.61,391610508.59,552982669.57
Payables,476827386.49,326844294.82,272132723.3,415550841.34
Other Payable,101253807.29,103650753.91,106201192.52,113129419.99
Dividends Payable,,,,
Total Tax Payable,47666069.34,37911869.96,41903177.5,45135264.1
Accounts Payable,327907509.86,185281670.95,124028353.28,257286157.25
Total Assets,7928254569.47,7710057194.33,8075166589.46,8632037237.89
Total Non Current Assets,4330297355.52,3888669815.69,3894873607.0,4238333543.08
Other Non Current Assets,188713991.68,7561824.06,47005340.8,178430000.0
Non Current Deferred Assets,14228087.38,16001601.99,17912368.21,17879792.01
Non Current Deferred Taxes Assets,274214831.95,262284589.99,149890162.86,73747925.27
Investmentin Financial Assets,267651235.01,266545635.01,266545635.01,352788543.01
Available For Sale Securities,267651235.01,266545635.01,266545635.01,352788543.01
Long Term Equity Investment,466601303.24,370743921.25,290399418.53,269832398.53
Goodwill And Other Intangible Assets,2163453147.49,2248750958.87,2437203869.6,2712015776.79
Other Intangible Assets,1896803618.27,1982101429.65,1896134887.36,1776381592.1
Goodwill,266649529.22,266649529.22,541068982.24,935634184.69
Net PPE,955434758.77,716781284.52,685916811.99,633639107.47
Accumulated Depreciation,,-248329171.45,-195710945.8,-151692265.61
Gross PPE,955434758.77,965110455.97,881627757.79,785331373.08
Construction In Progress,338997238.72,225608122.66,190933262.73,144477272.03
Other Properties,616437520.05,486200537.61,414925267.21,381252543.21
Machinery Furniture Equipment,,16325662.47,13842797.28,13697863.55
Buildings And Improvements,,,,
Properties,,236976133.23,261926430.57,245903694.29
Current Assets,3597957213.95,3821387378.64,4180292982.46,4393703694.81
Other Current Assets,25998911.13,100684568.81,281684784.59,437232528.49
Prepaid Assets,64729998.96,31294046.62,32711455.64,45266286.97
Inventory,799734451.93,810170650.19,838528656.81,762832684.21
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,792718453.09,785448750.89,820102684.07,760772875.24
Finished Goods,2370542.37,16337100.06,10339871.4,2059808.97
Raw Materials,4645456.47,8384799.24,8086101.34,0.0
Other Receivables,514301504.23,518158649.56,548760270.35,663286242.99
Accounts Receivable,1343438865.87,1242495752.58,1423183615.42,1482807611.67
Allowance For Doubtful Accounts Receivable,,-202671616.9,-183882437.65,-139300220.02
Gross Accounts Receivable,,1445167369.48,1607066053.07,1622107831.69
Cash Cash Equivalents And Short Term Investments,849753481.83,1118583710.88,1055424199.65,1002278340.48
Other Short Term Investments,,,,
Cash And Cash Equivalents,849753481.83,1118583710.88,1055424199.65,1002278340.48
Cash Equivalents,25934091.8,35206369.39,34409161.95,63223820.75
Cash Financial,823819390.03,1083377341.49,1021015037.7,939054519.73
