,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-418846382.29,-46058182.46,25524178.03,39061400.0
Repayment Of Debt,-44000000.0,-308044734.6,-344430000.0,-197445419.0
Issuance Of Debt,316000000.0,48980000.0,379980000.0,275795250.0
Capital Expenditure,-310716534.33,-152830662.84,-78520908.28,-75400618.75
End Cash Position,50801394.37,144418351.89,22669294.38,19601558.57
Beginning Cash Position,144418351.89,22669294.38,19601558.57,11594508.07
Effect Of Exchange Rate Changes,2270098.27,1350326.49,23982.6,563274.76
Changes In Cash,-95887055.79,120398731.02,3043753.21,7443775.74
Financing Cash Flow,202118275.51,402623891.01,-23211932.07,41871683.41
Net Other Financing Charges,-14898481.74,667027450.48,-47138736.68,-27910543.27
Cash Dividends Paid,-54983242.75,-5338824.87,-11623195.39,-8567604.32
Net Issuance Payments Of Debt,272000000.0,-259064734.6,35550000.0,78349831.0
Net Long Term Debt Issuance,272000000.0,-259064734.6,35550000.0,78349831.0
Long Term Debt Payments,-44000000.0,-308044734.6,-344430000.0,-197445419.0
Long Term Debt Issuance,316000000.0,48980000.0,379980000.0,275795250.0
Investing Cash Flow,-189875483.34,-388997640.37,-77789401.03,-73489322.78
Net Investment Purchase And Sale,119660740.69,-237905657.65,1894.78,1299.97
Sale Of Investment,347660740.69,278494342.35,3001894.78,1301299.97
Purchase Of Investment,-228000000.0,-516400000.0,-3000000.0,-1300000.0
Net PPE Purchase And Sale,-309536224.03,-151091982.72,-77791295.81,-73490622.75
Sale Of PPE,1180310.3,1738680.12,729612.47,1909996.0
Purchase Of PPE,-310716534.33,-152830662.84,-78520908.28,-75400618.75
Operating Cash Flow,-108129847.96,106772480.38,104045086.31,39061415.11
Change In Working Capital,-357461178.94,-111328779.61,-77703976.39,-105968089.53
Change In Other Current Assets,8691911.48,8068035.27,-572039.86,1030735.24
Change In Payable,62286343.25,58649686.93,62969184.2,2303490.75
Change In Inventory,-106975973.4,-18789795.42,-34519252.19,-114420386.35
Change In Receivables,-321463460.27,-159256706.39,-105581868.54,5118070.83
Other Non Cash Items,-146060.59,4106498.34,12342055.57,9357819.49
Depreciation And Amortization,84944013.41,68536364.11,60203512.44,48761502.23
Amortization Cash Flow,1975531.31,2643855.4,2168036.91,2169692.0
Depreciation,82968482.1,65892508.71,58035475.53,46591810.23
Gain Loss On Investment Securities,-5625159.5,-4251804.79,-1894.78,-1299.97
Gain Loss On Sale Of PPE,1399097.86,2646844.87,-1264854.78,-292061.66
Net Income From Continuing Operations,146300205.5,125430974.71,94900776.94,76637841.83
Cash Flowsfromusedin Operating Activities Direct,-108129847.96,106772480.38,104045086.31,39061400.0
Taxes Refund Paid Direct,35768889.81,3357395.6,-4217261.4,534233.92
Classesof Cash Payments,-1290268619.8,-1105195333.95,-710301428.4,-928292094.15
Other Cash Paymentsfrom Operating Activities,-34189969.31,-37069447.42,-21165173.97,-26509568.6
Paymentson Behalfof Employees,-294587323.48,-228539506.98,-193841727.93,-193729034.41
Paymentsto Suppliersfor Goodsand Services,-961491327.01,-839586379.55,-495294526.5,-708053491.14
Classesof Cash Receiptsfrom Operating Activities,1146369882.03,1208610418.73,818563776.11,966819275.34
Other Cash Receiptsfrom Operating Activities,12712886.82,27400298.29,22448071.98,21600488.27
Receiptsfrom Customers,1133656995.21,1181210120.44,796115704.13,945218787.07
