,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,187398892.77,-137411730.45,-37719009.74,-39862008.49
Repayment Of Debt,-292000000.0,-130000000.0,,
Issuance Of Debt,292000000.0,130000000.0,,
Capital Expenditure,-44691405.67,-52385859.3,-73502356.04,-61708470.67
End Cash Position,943291554.05,815679917.11,299849252.34,246110068.1
Beginning Cash Position,815679917.11,299849252.34,246110068.1,224155734.85
Effect Of Exchange Rate Changes,41089.14,52294.58,143345.61,-26035.2
Changes In Cash,127570547.8,515778370.19,53595838.63,21980368.45
Financing Cash Flow,-75243375.7,-117227605.77,-42504008.92,-65536635.92
Net Other Financing Charges,-17894361.54,-23105925.21,26050345.11,-5570499.41
Cash Dividends Paid,-52884529.16,-80621680.56,-66154354.03,-59966136.51
Net Issuance Payments Of Debt,0.0,0.0,,
Net Long Term Debt Issuance,0.0,0.0,,
Long Term Debt Payments,-292000000.0,-130000000.0,,
Long Term Debt Issuance,292000000.0,130000000.0,,
Investing Cash Flow,-29276374.94,718031847.11,60316501.25,65670542.19
Net Other Investing Changes,,,-7247711.0,
Net Investment Purchase And Sale,14987821.16,770081768.58,140561223.69,126852229.86
Sale Of Investment,14987821.16,3197244768.58,5835853223.69,1131522229.86
Purchase Of Investment,,-2427163000.0,-5695292000.0,-1004670000.0
Net PPE Purchase And Sale,-44264196.1,-52049921.47,-72997011.44,-61181687.67
Sale Of PPE,427209.57,335937.83,505344.6,526783.0
Purchase Of PPE,-44691405.67,-52385859.3,-73502356.04,-61708470.67
Capital Expenditure Reported,,,,
Operating Cash Flow,232090298.44,-85025871.15,35783346.3,21846462.18
Change In Working Capital,-265340456.91,-597322625.55,-439060394.67,-371315159.09
Change In Other Current Assets,-2220828.82,-13537092.13,-6744907.22,397070.19
Change In Payable,-56919082.87,20774736.14,-109661811.09,100883093.84
Change In Inventory,1773385.74,-10986043.81,-6639986.01,-2070934.51
Change In Receivables,-207973930.96,-593574225.75,-316013690.35,-470524388.61
Other Non Cash Items,6030425.1,5776256.28,1726215.85,788184.72
Deferred Tax,,,,
Depreciation And Amortization,201508378.4,122486464.17,70030218.47,64417151.56
Amortization Cash Flow,148722692.57,77797853.63,42703042.89,42808312.82
Depreciation,52785685.83,44688610.54,27327175.58,21608838.74
Gain Loss On Investment Securities,584111.07,-9836753.3,-4436363.65,-18880239.07
Gain Loss On Sale Of PPE,-47560.96,-349281.94,66558.73,74540.17
Net Income From Continuing Operations,308059545.25,359481436.34,337933937.51,320083114.27
Cash Flowsfromusedin Operating Activities Direct,232090298.44,-85025871.15,35783346.3,21846462.18
Taxes Refund Paid Direct,-127718676.28,-127042943.09,-110695465.0,-96716109.34
Classesof Cash Payments,-2154038382.78,-2022225917.77,-1769646556.56,-1577543998.7
Other Cash Paymentsfrom Operating Activities,-326431034.16,-248346143.93,-163195756.93,-206054182.98
Paymentson Behalfof Employees,-1011952625.27,-987087310.57,-948908897.19,-931250466.78
Paymentsto Suppliersfor Goodsand Services,-815654723.35,-786792463.27,-657541902.44,-440239348.94
Classesof Cash Receiptsfrom Operating Activities,2513847357.5,2064242989.71,1916125367.86,1696106570.22
Other Cash Receiptsfrom Operating Activities,33699158.94,64197762.25,46678240.33,52849029.03
Receiptsfrom Customers,2480148198.56,2000045227.46,1869447127.53,1643257541.19
