,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,306072836.0,306072836.0,306072836.0,306072836.0
Share Issued,306072836.0,306072836.0,306072836.0,306072836.0
Net Debt,508691036.47,490878851.3,409126511.51,310075621.94
Total Debt,740026905.16,725759054.27,713296437.0,652049651.54
Tangible Book Value,1007610982.27,912360473.01,966677759.35,969426070.7
Invested Capital,1769637904.91,1661818791.56,1866561460.54,1857489264.18
Working Capital,505262573.71,342964823.77,300882258.67,437668758.1
Net Tangible Assets,1007610982.27,912360473.01,966677759.35,969426070.7
Capital Lease Obligations,8996244.84,9214307.93,4484199.22,12248824.28
Common Stock Equity,1189538948.94,1100418514.02,1286505937.83,1283571797.93
Total Capitalization,1623527749.63,1505996378.3,1572758197.25,1446399173.24
Total Equity Gross Minority Interest,1191616053.68,1102210936.83,1287779511.09,1325514122.89
Minority Interest,2077104.74,1792422.81,1273573.26,41942324.96
Stockholders Equity,1189538948.94,1100418514.02,1286505937.83,1283571797.93
Retained Earnings,250776963.11,170396739.32,364365744.94,363948143.56
Additional Paid In Capital,533804981.77,533804981.77,533804981.77,553328521.48
Capital Stock,306072836.0,306072836.0,306072836.0,306072836.0
Common Stock,306072836.0,306072836.0,306072836.0,306072836.0
Total Liabilities Net Minority Interest,1439587781.04,1333001389.27,1402806454.1,1257285437.7
Total Non Current Liabilities Net Minority Interest,614876140.5,571367379.26,490753959.12,345363280.79
Other Non Current Liabilities,38244232.42,24274846.71,24032140.46,30442109.41
Tradeand Other Payables Non Current,68355113.85,68830108.49,108484655.58,52928740.31
Non Current Deferred Revenue,46223591.94,42587626.2,50239998.54,71025330.47
Non Current Deferred Taxes Liabilities,19068156.76,20882625.65,17260705.9,15890901.01
Long Term Debt And Capital Lease Obligation,442985045.53,414792172.21,290736458.64,175076199.59
Long Term Capital Lease Obligation,8996244.84,9214307.93,4484199.22,12248824.28
Long Term Debt,433988800.69,405577864.28,286252259.42,162827375.31
Current Liabilities,824711640.54,761634010.01,912052494.98,911922156.91
Other Current Liabilities,69063027.66,54523489.01,54738289.07,58410709.2
Current Debt And Capital Lease Obligation,297041859.63,310966882.06,422559978.36,476973451.95
Current Debt,146110155.28,155822413.26,293803263.29,411090090.94
Payables,448915390.54,384267858.91,415913742.49,362603499.69
Other Payable,166234927.21,194910122.36,253922765.19,138493269.74
Dividends Payable,,,,
Total Tax Payable,11547893.88,13314696.61,17085844.55,20328690.16
Accounts Payable,271132569.45,176043039.94,144905132.75,203781539.79
Total Assets,2631203834.72,2435212326.1,2690585965.19,2582799560.59
Total Non Current Assets,1301229620.47,1330613492.32,1477651211.54,1233208645.58
Other Non Current Assets,13938991.89,4457566.43,9674604.33,5482459.01
Non Current Deferred Assets,674812.39,550478.08,805751.4,1354899.95
Non Current Deferred Taxes Assets,102226523.26,104682505.25,75895845.65,66959930.73
Investmentin Financial Assets,1531339.55,1824142.28,1870218.77,2124081.45
Available For Sale Securities,1531339.55,1824142.28,1870218.77,2124081.45
Investment Properties,73844083.42,78292396.03,,
Goodwill And Other Intangible Assets,181927966.67,188058041.01,319828178.48,314145727.23
Other Intangible Assets,119483192.05,114960409.53,103852184.66,101862415.62
Goodwill,62444774.62,73097631.48,215975993.82,212283311.61
Net PPE,927085903.29,952748363.24,1069576612.91,843141547.21
Accumulated Depreciation,-420313713.71,-367612277.53,-374296823.16,-378595228.13
Gross PPE,1347399617.0,1320360640.77,1443873436.07,1221736775.34
Construction In Progress,34899917.26,38358955.06,33070267.79,406383711.18
Other Properties,85322927.48,79341496.44,61336318.63,69941559.2
Machinery Furniture Equipment,564089902.22,533848941.21,545939152.51,568150577.78
Buildings And Improvements,,,,
Properties,663086870.04,668811248.06,803527697.14,177260927.18
Current Assets,1329974214.25,1104598833.78,1212934753.65,1349590915.01
Other Current Assets,17931840.1,15203143.64,14559421.75,17046329.79
Prepaid Assets,8642604.77,7246224.96,9298969.19,14165006.49
Inventory,485601030.55,476794041.33,487764391.71,438575328.37
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,-31222682.67,-50529976.31
Finished Goods,141549949.12,126691816.3,145527593.04,169126736.48
Work In Process,203167075.38,183484703.62,186072414.3,172461485.56
Raw Materials,140884006.05,166617521.41,156164384.37,147517082.64
Other Receivables,131657161.12,77036160.64,128726597.77,215664720.9
Accounts Receivable,608501613.38,443673292.36,401458450.72,400297685.15
Allowance For Doubtful Accounts Receivable,-131782414.3,-133150472.94,-128947852.53,-116342866.48
Gross Accounts Receivable,740284027.68,576823765.3,530406303.25,469639022.25
Cash Cash Equivalents And Short Term Investments,77639964.33,84645970.85,171126922.51,263841844.31
Other Short Term Investments,6232044.83,14124544.61,197911.31,
Cash And Cash Equivalents,71407919.5,70521426.24,170929011.2,263841844.31
Cash Equivalents,69534.2,1091332.73,15881170.48,6027983.81
Cash Financial,71338385.3,69430093.51,155047840.72,257813860.5
