,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-1058795780.05,378375358.4,-237542838.16,-1015659057.12
Repayment Of Debt,-1444787810.54,-2237425963.62,-1622961972.42,-1482013678.41
Issuance Of Debt,2056648091.67,1413158851.79,1828596661.53,2635869102.18
Capital Expenditure,-2370409872.48,-1246902498.34,-1705749058.63,-2457065369.84
End Cash Position,1462359412.98,2199594935.35,2258923418.12,2269879866.45
Beginning Cash Position,2199594935.35,2258923418.12,2269879866.45,1222952283.97
Effect Of Exchange Rate Changes,16243.85,457152.09,900834.73,-1032933.43
Changes In Cash,-737251766.22,-59785634.86,-11857283.06,1047960515.91
Financing Cash Flow,335559543.52,-1531964553.36,-272647348.47,3998512045.59
Net Other Financing Charges,19143750.21,-499178297.84,-284095938.97,2987804865.98
Cash Dividends Paid,-295444487.82,-191519143.69,-194186098.61,-143148244.16
Net Issuance Payments Of Debt,611860281.13,-824267111.83,205634689.11,1153855423.77
Net Long Term Debt Issuance,611860281.13,-824267111.83,205634689.11,1153855423.77
Long Term Debt Payments,-1444787810.54,-2237425963.62,-1622961972.42,-1482013678.41
Long Term Debt Issuance,2056648091.67,1413158851.79,1828596661.53,2635869102.18
Investing Cash Flow,-2384425402.17,-153098938.24,-1207416155.06,-4391957842.4
Net Other Investing Changes,-200000000.0,,,683194.27
Net Investment Purchase And Sale,257250892.82,1073763422.57,523913513.08,-1937735179.19
Sale Of Investment,1507520892.82,5097993720.65,8169743513.08,265264820.81
Purchase Of Investment,-1250270000.0,-4024230298.08,-7645830000.0,-2203000000.0
Net Business Purchase And Sale,-76268763.65,,-28113761.66,
Purchase Of Business,-76268763.65,,-28113761.66,
Net PPE Purchase And Sale,-2365407531.34,-1226862360.81,-1703215906.48,-2454905857.48
Sale Of PPE,5002341.14,20040137.53,2533152.15,2159512.36
Purchase Of PPE,-2370409872.48,-1246902498.34,-1705749058.63,-2457065369.84
Capital Expenditure Reported,,,,
Operating Cash Flow,1311614092.43,1625277856.74,1468206220.47,1441406312.72
Change In Working Capital,30923092.59,204989145.58,74559997.31,-109104602.32
Change In Other Current Assets,22547120.43,-6292309.37,-62253016.17,-25260535.1
Change In Payable,127573874.76,411789503.89,106019622.03,181606801.71
Change In Inventory,-490628.96,207062.19,-3377031.48,-913050.98
Change In Receivables,-118707273.64,-200715111.13,34170422.93,-264537817.95
Other Non Cash Items,162896260.57,317479261.89,240071657.3,158096326.09
Deferred Tax,,,,
Depreciation And Amortization,772542229.21,718853064.38,797361069.72,564572171.37
Amortization Cash Flow,33640577.4,34125603.97,31986378.05,20467675.67
Depreciation,738901651.81,684727460.41,765374691.67,544104495.7
Gain Loss On Investment Securities,-27297586.98,-42916489.74,-35942110.35,-2469364.14
Gain Loss On Sale Of PPE,-31911676.82,-45101263.32,3893935.66,1937853.21
Net Income From Continuing Operations,346177726.42,404991137.85,-1008544685.72,815060875.31
Cash Flowsfromusedin Operating Activities Direct,1311614092.43,1625277856.74,1468206220.47,1441406312.72
Taxes Refund Paid Direct,-114250538.39,13969942.16,-70357473.56,-141693699.02
Classesof Cash Payments,-6634606257.77,-6893125776.85,-6188315910.7,-6411564387.74
Other Cash Paymentsfrom Operating Activities,-183416635.03,-177371716.0,-385243196.79,-391567803.76
Paymentson Behalfof Employees,-311294976.53,-300100610.98,-289654508.04,-275800879.94
Paymentsto Suppliersfor Goodsand Services,-6139894646.21,-6415653449.87,-5513418205.87,-5744195704.04
Classesof Cash Receiptsfrom Operating Activities,8060470888.59,8504433691.43,7726879604.73,7994664399.48
Other Cash Receiptsfrom Operating Activities,217370986.48,137558933.41,299499396.97,412925789.73
Receiptsfrom Customers,7843099902.11,8366874758.02,7427380207.76,7581738609.75
