,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,4847312564.0,4847312564.0,4847312564.0,4847312564.0
Share Issued,4847312564.0,4847312564.0,4847312564.0,4847312564.0
Net Debt,3759492187.01,5551547057.6,6341465021.78,6034323587.04
Total Debt,15674822454.99,15363167218.84,19596931789.97,14370961459.49
Tangible Book Value,16465951761.08,23325899159.77,16020850189.06,22183482935.96
Invested Capital,42130597516.15,39779885538.8,40566090419.15,38406204999.35
Working Capital,7677730974.2,5574630589.04,5148973563.45,5613055496.49
Net Tangible Assets,16465951761.08,23325899159.77,16020850189.06,22183482935.96
Capital Lease Obligations,1294655.49,8674466.67,9082025.03,9493690.84
Common Stock Equity,27392842641.1,25908781124.97,24296258564.07,24844040118.47
Total Capitalization,33845900568.57,31274903657.6,31936866011.84,28838392181.39
Total Equity Gross Minority Interest,32572351585.96,30736047423.08,28342425526.71,26921999454.82
Minority Interest,5179508944.86,4827266298.11,4046166962.64,2077959336.35
Stockholders Equity,27392842641.1,25908781124.97,24296258564.07,24844040118.47
Retained Earnings,10224662065.62,9038160619.94,7618078520.83,8431733713.88
Additional Paid In Capital,8104034418.01,8061514937.55,7920150347.33,7920150347.33
Capital Stock,4847312564.0,4847312564.0,4847312564.0,4847312564.0
Common Stock,4847312564.0,4847312564.0,4847312564.0,4847312564.0
Total Liabilities Net Minority Interest,23066312116.84,21944195948.28,26970732192.09,20709294529.54
Total Non Current Liabilities Net Minority Interest,7996235601.7,6687880692.45,8959506911.96,5325492441.5
Other Non Current Liabilities,282640932.27,75716270.44,,
Tradeand Other Payables Non Current,180648020.72,106080072.73,95801668.06,125332657.09
Non Current Deferred Revenue,202397914.06,231296015.16,258917501.36,269487057.3
Non Current Deferred Taxes Liabilities,876196151.69,899991334.82,955098269.74,926826973.35
Long Term Debt And Capital Lease Obligation,6454352582.96,5374796999.3,7649689472.8,4003845753.76
Long Term Capital Lease Obligation,1294655.49,8674466.67,9082025.03,9493690.84
Long Term Debt,6453057927.47,5366122532.63,7640607447.77,3994352062.92
Current Liabilities,15070076515.14,15256315255.83,18011225280.13,15383802088.04
Other Current Liabilities,77361788.04,46488171.3,59056509.52,31183909.09
Current Debt And Capital Lease Obligation,9220469872.03,9988370219.54,11947242317.17,10367115705.73
Current Debt,8284696947.58,8504981881.2,8629224407.31,9567812817.96
Payables,5030291590.29,4752465887.03,5358902078.43,4653396693.28
Other Payable,1676889379.36,1315620653.88,1774505115.53,1270936294.56
Dividends Payable,28007979.73,25413687.78,37346608.46,44378001.8
Total Tax Payable,494320066.61,258210040.63,305572619.86,421256299.94
Accounts Payable,2831074164.59,3153221504.74,3241477734.58,2916826096.98
Total Assets,55638663702.8,52680243371.36,55313157718.8,47631293984.36
Total Non Current Assets,32890856213.46,31849297526.49,32152958875.22,26634436399.83
Other Non Current Assets,676940142.09,468287799.6,519041774.66,472261003.19
Non Current Deferred Assets,1356014514.05,1465021314.08,1529896269.43,1500858418.29
Non Current Deferred Taxes Assets,539792196.0,398680509.92,326988609.56,290845182.03
Investmentin Financial Assets,882318586.49,986450219.54,1196996055.1,1200067941.26
Available For Sale Securities,882318586.49,986450219.54,1196996055.1,1200067941.26
Long Term Equity Investment,1461081946.74,1414629152.58,895854393.65,872219275.75
Investment Properties,19195789.82,21041714.3,22887638.78,24733563.26
Goodwill And Other Intangible Assets,10926890880.02,2582881965.2,8275408375.01,2660557182.51
Other Intangible Assets,10603589211.91,2059177039.86,7561013976.56,1944357053.73
Goodwill,323301668.11,523704925.34,714394398.45,716200128.78
Net PPE,17028622158.25,24512304851.27,19385885759.03,19612893833.54
Accumulated Depreciation,,-20785190260.36,-19333239384.03,-17716797873.12
Gross PPE,17028622158.25,45297495111.63,38719125143.06,37329691706.66
Construction In Progress,3283810601.45,2186961080.6,1615315681.3,1372219067.89
Other Properties,13744811556.8,365624424.86,332516788.8,307942587.23
Machinery Furniture Equipment,,10480487037.91,10515325442.97,10144750189.33
Buildings And Improvements,,,,
Properties,,32264422568.26,26255967229.99,25504779862.21
Current Assets,22747807489.34,20830945844.87,23160198843.58,20996857584.53
Other Current Assets,191584016.81,164073968.65,278430865.92,71147787.44
Hedging Assets Current,10756425.0,,,
Prepaid Assets,510775551.46,603284446.5,645737178.76,630361189.03
Inventory,10400624466.18,11398799213.25,11621628735.53,12045643961.48
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,1011528312.53,182409.06,
Finished Goods,1155664476.59,989623172.17,1453121365.07,1455517944.19
Work In Process,5085902664.12,5116646577.46,4883109389.34,4793258991.11
Raw Materials,4159057325.47,4281001151.09,5285215572.06,5796867026.18
Other Receivables,617513301.86,282269216.05,626994501.72,617479224.27
Accounts Receivable,38291039.99,62961644.19,59040728.35,104384128.47
Allowance For Doubtful Accounts Receivable,,-21227119.95,-36274412.98,-39654029.28
Gross Accounts Receivable,,84188764.14,95315141.33,144038157.75
Cash Cash Equivalents And Short Term Investments,10978262688.04,8319557356.23,9928366833.3,7527841293.84
Cash And Cash Equivalents,10978262688.04,8319557356.23,9928366833.3,7527841293.84
Cash Equivalents,304690072.25,7911577118.66,176908892.46,273167160.95
Cash Financial,690079434.36,157184222.2,9684827267.0,7254674132.89
