,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,15785542475.0,15856995052.0,15856995052.0,14927512111.0
Share Issued,15785542475.0,15856995052.0,15856995052.0,14927512111.0
Net Debt,,14759996341.54,1835582440.15,3945818365.16
Total Debt,102498276366.59,85310306357.08,69992457527.6,69668880617.15
Tangible Book Value,77635949480.31,68848827322.78,62045283651.69,40919957853.37
Invested Capital,167315627297.32,148121959266.98,131231122633.06,107596648715.27
Working Capital,70601156275.28,65891496923.84,61457386046.74,42999292223.55
Net Tangible Assets,77635949480.31,68848827322.78,62045283651.69,40919957853.37
Capital Lease Obligations,84106829.26,70919250.28,78591470.96,81951615.12
Common Stock Equity,80727090522.63,71962860559.82,65164663223.24,44040236566.54
Total Capitalization,99577885905.55,89214317446.98,77692241151.52,63750538411.16
Total Equity Gross Minority Interest,80727090522.63,71962860559.82,65164663223.24,44040236566.54
Stockholders Equity,80727090522.63,71962860559.82,65164663223.24,44040236566.54
Other Equity Interest,,,,1956432160.45
Treasury Stock,,511687523.97,,
Retained Earnings,40240911045.67,31615618706.57,24587662895.88,17260724718.75
Additional Paid In Capital,22219100765.18,23147656057.63,25790488565.63,13230166184.26
Capital Stock,15785542475.0,15856995052.0,13214162544.0,10366327855.0
Common Stock,15785542475.0,15856995052.0,13214162544.0,10366327855.0
Total Liabilities Net Minority Interest,225642266824.67,167615459992.34,146716066941.41,140980017427.37
Total Non Current Liabilities Net Minority Interest,19184835078.63,17535682523.27,12751487988.07,19860674906.5
Other Non Current Liabilities,142815194.41,186407898.58,117581481.53,43141263.41
Non Current Deferred Revenue,3085129.02,1120258.06,2058000.0,2058000.0
Non Current Deferred Taxes Liabilities,104032543.02,25778229.19,25679107.3,23222183.35
Long Term Debt And Capital Lease Obligation,18934902212.18,17322376137.44,12606169399.24,19792253459.74
Long Term Capital Lease Obligation,84106829.26,70919250.28,78591470.96,81951615.12
Long Term Debt,18850795382.92,17251456887.16,12527577928.28,19710301844.62
Current Liabilities,206457431746.04,150079777469.07,133964578953.34,121119342520.87
Other Current Liabilities,1224308.94,4755733.99,1946527.07,2254211.71
Current Debt And Capital Lease Obligation,83563374154.41,67987930219.64,57386288128.36,49876627157.41
Current Debt,67737741391.77,58907641820.0,53538881481.54,43846110304.11
Payables,4541447731.53,9949015687.75,4926894631.66,4124579315.31
Other Payable,3729020627.26,9454400426.18,4276987710.34,3426703338.25
Total Tax Payable,565161825.5,280915904.12,350801539.87,468864356.95
Accounts Payable,247265278.77,213699357.45,299105381.45,229011620.11
Total Assets,306369357347.3,239578320552.16,211880730164.65,185020253993.91
Total Non Current Assets,29310769325.98,23607046159.25,16458765164.57,20901619249.49
Other Non Current Assets,400000000.0,400000000.0,,-3142236877.04
Non Current Deferred Assets,46747989.21,51082768.51,56035706.87,43281828.92
Non Current Deferred Taxes Assets,29610797.45,8411098.09,79379159.67,21790038.39
Investmentin Financial Assets,22156512310.61,16284197620.95,9450059531.94,14357521432.55
Held To Maturity Securities,11828704599.63,11214877186.02,8900624630.9,14030143691.09
Available For Sale Securities,10327807710.98,5069320434.93,549434901.04,327377741.46
Long Term Equity Investment,323245154.48,343175606.45,341307601.3,380963170.98
Goodwill And Other Intangible Assets,3091141042.32,3114033237.04,3119379571.55,3120278713.17
Other Intangible Assets,145279880.08,168172074.8,173518409.31,174417550.93
Goodwill,2945861162.24,2945861162.24,2945861162.24,2945861162.24
Net PPE,3263512031.91,3406145828.21,3412603593.24,2977784065.48
Accumulated Depreciation,-1949542321.77,-1671405248.76,-1402018026.5,-1135569451.86
Gross PPE,5213054353.68,5077551076.97,4814621619.74,4113353517.34
Construction In Progress,804353031.11,649421895.91,413068094.96,123356696.08
Other Properties,1654847620.54,1678294854.06,1677275640.58,1265387537.37
Machinery Furniture Equipment,15373689.53,17804990.94,15962033.94,16293433.63
Buildings And Improvements,,,,2708315850.26
Properties,2738480012.5,2732029336.06,2708315850.26,2708315850.26
Current Assets,277058588021.32,215971274392.91,195421965000.08,164118634744.42
Other Current Assets,21882902384.01,13164313878.64,10102497149.7,10554286649.94
Hedging Assets Current,130123506.91,317146629.33,172935226.32,110767197.62
Restricted Cash,,10709860798.46,10029384672.14,10475675745.56
Prepaid Assets,5437954878.78,3704231215.6,5274393270.09,3229241186.18
Other Receivables,15203996775.47,22037830499.16,14626286735.9,11816568766.86
Accounts Receivable,737866444.91,795892173.17,1048199000.34,1819259030.82
Allowance For Doubtful Accounts Receivable,-25571408.48,-27016389.43,-31869881.82,-57138944.26
Gross Accounts Receivable,763437853.39,822908562.6,1080068882.16,1876397975.08
Cash Cash Equivalents And Short Term Investments,233665744031.24,175951859997.01,164197653617.73,136588511913.0
Other Short Term Investments,132406760440.9,114552757631.39,99966776648.06,76977918129.43
Cash And Cash Equivalents,101258983590.34,61399102365.62,64230876969.67,59610593783.57
Cash Equivalents,126088595.71,104626758.96,82120051.79,69158011.91
Cash Financial,100985211410.12,61143323464.47,64094152384.2,59413642987.15
