,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,909169625.35,643490907.5,1549860197.28,781234838.22
Repayment Of Debt,-4390630000.0,-3944950000.0,-4832270000.0,-5273678420.0
Issuance Of Debt,4101250000.0,4012063777.78,4880172809.63,5327578041.71
Capital Expenditure,-104593737.09,-124505081.72,-119224558.91,-1090928987.47
End Cash Position,2392256136.2,1921454996.47,1516063101.07,864860011.42
Beginning Cash Position,1921454996.47,1516063101.07,864860011.42,1496429649.8
Effect Of Exchange Rate Changes,,279.51,53.48,-22.59
Changes In Cash,470801139.73,405391615.89,651203036.17,-631569615.79
Financing Cash Flow,-438768485.62,-238699291.61,-898954649.11,-1410703527.91
Net Other Financing Charges,-359000.0,-88834777.78,-763123896.98,-1255030374.75
Cash Dividends Paid,-149029485.62,-216978291.61,-183733561.76,-209572774.87
Net Issuance Payments Of Debt,-289380000.0,67113777.78,47902809.63,53899621.71
Net Long Term Debt Issuance,-289380000.0,67113777.78,47902809.63,53899621.71
Long Term Debt Payments,-4390630000.0,-3944950000.0,-4832270000.0,-5273678420.0
Long Term Debt Issuance,4101250000.0,4012063777.78,4880172809.63,5327578041.71
Investing Cash Flow,-104193737.09,-123905081.72,-118927070.91,-1093029913.57
Net Other Investing Changes,,,,-7539.99
Net Investment Purchase And Sale,400000.0,600000.0,,-2107386.11
Sale Of Investment,400000.0,600000.0,,58670513.89
Purchase Of Investment,,,,-60777900.0
Net PPE Purchase And Sale,-104593737.09,-124505081.72,-118927070.91,-1090914987.47
Sale Of PPE,,,297488.0,14000.0
Purchase Of PPE,-104593737.09,-124505081.72,-119224558.91,-1090928987.47
Capital Expenditure Reported,,,,
Operating Cash Flow,1013763362.44,767995989.22,1669084756.19,1872163825.69
Change In Working Capital,-252828905.23,-357531411.74,256345839.64,600278701.03
Change In Other Current Assets,10356871.12,22953845.28,104618972.14,134819946.84
Change In Payable,-130531288.78,-807679379.93,356480566.13,609309623.18
Change In Inventory,-176391434.06,4436220.71,96521519.06,-18442007.02
Change In Receivables,43736946.49,422757902.2,-301275217.69,-125408861.97
Other Non Cash Items,153927174.84,202337646.9,251963971.81,311000430.99
Deferred Tax,,,,
Depreciation And Amortization,745811780.7,733481221.1,733797860.86,752649411.22
Amortization Cash Flow,113524813.62,109304038.87,107240962.17,121639729.88
Depreciation,632286967.08,624177182.23,626556898.69,631009681.34
Gain Loss On Investment Securities,-53870445.06,-29513672.3,-17224748.97,-19600703.73
Gain Loss On Sale Of PPE,,,211007.37,-628571.12
Net Income From Continuing Operations,200759036.79,23288437.6,193389356.63,26251786.92
Cash Flowsfromusedin Operating Activities Direct,1013763362.44,767995989.22,1669084756.19,1872163825.69
Taxes Refund Paid Direct,-770997421.79,-934659871.33,-956107834.57,-598699965.81
Classesof Cash Payments,-3616331110.15,-4262231929.86,-4297263871.47,-4917411206.51
Other Cash Paymentsfrom Operating Activities,-428427750.56,-578430174.5,-357477419.79,-774668690.02
Paymentson Behalfof Employees,-1846304248.25,-1798900365.73,-1797843857.44,-1608455923.7
Paymentsto Suppliersfor Goodsand Services,-1341599111.34,-1884901389.63,-2141942594.24,-2534286592.79
Classesof Cash Receiptsfrom Operating Activities,5401091894.38,5964887790.41,6922456462.23,7388274998.01
Other Cash Receiptsfrom Operating Activities,292377152.26,332262032.47,391659264.37,1306706404.1
Receiptsfrom Customers,5108714742.12,5632625757.94,6530797197.86,6081568593.91
