,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,2780137800.0,2540943906.0,2540939772.0,2540902097.0
Share Issued,2780137800.0,2540943906.0,2540939772.0,2540902097.0
Net Debt,9341630616.52,9987978671.17,12731189303.04,14235553056.35
Total Debt,17017684284.34,19099375985.08,18988168106.85,19091449316.52
Tangible Book Value,24406718143.32,21257500260.18,19459619381.77,17172933502.82
Invested Capital,40263410429.13,37740422473.16,36687949351.92,34943360165.91
Working Capital,7351422817.57,4191747790.23,1220075127.22,1007620514.17
Net Tangible Assets,24406718143.32,21257500260.18,19459619381.77,17172933502.82
Capital Lease Obligations,9232386.51,2015253.65,2977068.19,800662322.88
Common Stock Equity,25276572915.46,21921508684.41,19984504353.21,17792695272.91
Total Capitalization,39552870729.61,36129888766.75,34513834872.77,33113360165.91
Total Equity Gross Minority Interest,31903805801.22,27952609261.37,24526713847.36,21704926068.53
Minority Interest,6627232885.76,6031100576.96,4542209494.15,3912230795.62
Stockholders Equity,25276572915.46,21921508684.41,19984504353.21,17792695272.91
Other Equity Interest,,225591153.64,225595396.29,225635524.73
Retained Earnings,11451207065.14,9524895496.8,8374171890.44,6317518055.68
Additional Paid In Capital,7520243516.36,6245658357.04,6245634159.92,6245409295.31
Capital Stock,5021006956.0,4781813062.0,4195438212.0,4195409231.0
Common Stock,5021006956.0,4781813062.0,4195438212.0,4195409231.0
Total Liabilities Net Minority Interest,19969612070.07,22737017242.39,24003931352.08,22420567538.78
Total Non Current Liabilities Net Minority Interest,15228212374.33,15163573490.75,15420262846.5,16255162383.0
Other Non Current Liabilities,11298837.43,4572005.26,8533333.33,
Tradeand Other Payables Non Current,680469684.72,750213829.77,758463173.09,3139983.39
Non Current Deferred Revenue,82461002.06,38858489.27,45183660.73,50448232.19
Non Current Deferred Taxes Liabilities,168452649.46,159533830.46,75775091.6,80246951.54
Long Term Debt And Capital Lease Obligation,14285530200.66,14210395335.99,14532307587.75,16121327215.88
Long Term Capital Lease Obligation,9232386.51,2015253.65,2977068.19,800662322.88
Long Term Debt,14276297814.15,14208380082.34,14529330519.56,15320664893.0
Current Liabilities,4741399695.74,7573443751.64,8583668505.58,6165405155.78
Other Current Liabilities,31283345.37,41382111.45,12440260.81,4683900.48
Current Debt And Capital Lease Obligation,2732154083.68,4888980649.09,4455860519.1,2970122100.64
Current Debt,710539699.52,1610533706.41,2174114479.15,1830000000.0
Payables,1928815236.07,2607388966.89,4071958781.86,3145690940.91
Other Payable,169252536.6,168678621.24,208680930.78,243931636.72
Dividends Payable,28295.43,27453.78,26618.58,26180.1
Total Tax Payable,303970081.09,236991406.34,196792556.84,182151728.26
Accounts Payable,1455564322.95,2201691485.53,3666458675.66,2719581395.83
Total Assets,51873417871.29,50689626503.76,48530645199.44,44125493607.31
Total Non Current Assets,39780595357.98,38924434961.89,38726901566.64,36952467937.36
Other Non Current Assets,1125275034.73,877175324.16,725830536.82,1099561969.99
Non Current Deferred Assets,31871727.36,20057277.74,13427370.51,11487764.31
Non Current Deferred Taxes Assets,120830644.91,159946485.64,201622032.2,237976563.1
Investmentin Financial Assets,683289420.31,638993308.2,619909776.4,618995866.0
Available For Sale Securities,683289420.31,638993308.2,619909776.4,618995866.0
Long Term Equity Investment,9820288370.71,9342826339.88,8770821388.67,7649912812.11
Investment Properties,2098753.02,2502336.63,2905920.24,3309503.85
Goodwill And Other Intangible Assets,869854772.14,664008424.23,524884971.44,619761770.09
Other Intangible Assets,799270601.41,568633279.63,469059981.75,470935081.23
Goodwill,70584170.73,95375144.6,55824989.69,148826688.86
Net PPE,27127086634.8,27218925465.41,27867499570.36,26711461687.91
Accumulated Depreciation,,-12655107424.74,-10712696008.14,-9189468867.01
Gross PPE,27127086634.8,39874032890.15,38580195578.5,35900930554.92
Construction In Progress,2631536785.29,1543221177.86,350712218.03,7512768467.65
Other Properties,24495549849.51,29947508452.66,30051286460.94,20648655396.84
Machinery Furniture Equipment,,811400362.41,801984986.53,805268844.49
Buildings And Improvements,,,,
Properties,,7571902897.22,7376211913.0,6934237845.94
Current Assets,12092822513.31,11765191541.87,9803743632.8,7173025669.95
Other Current Assets,226583944.44,351681158.9,399706210.66,351730620.64
Prepaid Assets,21036760.88,25839839.55,87932220.09,229343944.03
Inventory,583280201.4,664194612.13,695506583.01,528953201.59
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,1158300.91,1866513.15,931080.53,
Finished Goods,34029539.17,36111854.41,35239148.66,28770616.93
Work In Process,5825363.77,9862668.69,11098622.95,12947399.05
Raw Materials,542266997.55,616353575.88,648237730.87,487235185.61
Other Receivables,71228469.95,79003566.85,66245155.25,146743935.66
Accounts Receivable,5545486239.49,4813537246.86,4582097768.12,3001142131.38
Allowance For Doubtful Accounts Receivable,,-26112756.07,-24825966.04,-9966337.06
Gross Accounts Receivable,,4839650002.93,4606923734.16,3011108468.44
Cash Cash Equivalents And Short Term Investments,5645206897.15,5830935117.58,3972255695.67,2915111836.65
Cash And Cash Equivalents,5645206897.15,5830935117.58,3972255695.67,2915111836.65
Cash Equivalents,1010.0,4914897962.98,1010.0,1010.0
Cash Financial,16804338.08,916036144.6,3972254685.67,2915110826.65
