,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,811040227.83,697383313.88,352069348.2,245490562.12
Repayment Of Debt,,,,-7000000.0
Issuance Of Debt,40000000.0,,,
Capital Expenditure,-451476537.29,-204481976.59,-111592234.19,-124254551.56
End Cash Position,1978488144.35,1827702264.61,672609928.35,515047699.89
Beginning Cash Position,1827702264.61,672609928.35,515047699.89,177347807.55
Effect Of Exchange Rate Changes,28083775.2,4184201.86,2387988.04,-6217617.26
Changes In Cash,122702104.54,1150908134.4,155174240.42,343917509.6
Financing Cash Flow,-781992669.91,-9444920.48,-128293021.86,634454278.59
Net Other Financing Charges,-148384043.49,188108704.56,28771535.34,771733859.54
Cash Dividends Paid,-673608626.42,-197553625.04,-157064557.2,-130279580.95
Net Issuance Payments Of Debt,40000000.0,,,-7000000.0
Net Long Term Debt Issuance,40000000.0,,,-7000000.0
Long Term Debt Payments,,,,-7000000.0
Long Term Debt Issuance,40000000.0,,,
Investing Cash Flow,-357821990.67,258487764.41,-180194320.11,-660281882.67
Net Other Investing Changes,,,,
Net Investment Purchase And Sale,93563756.53,462688772.32,-69009392.48,-539561472.72
Sale Of Investment,3339563756.53,2247688772.32,3251990607.52,2446238527.28
Purchase Of Investment,-3246000000.0,-1785000000.0,-3321000000.0,-2985800000.0
Net Business Purchase And Sale,,,,3020668.07
Sale Of Business,,,,
Purchase Of Business,,,,3020668.07
Net PPE Purchase And Sale,-451385747.2,-204201007.91,-111184927.63,-123741078.02
Sale Of PPE,90790.09,280968.68,407306.56,513473.54
Purchase Of PPE,-451476537.29,-204481976.59,-111592234.19,-124254551.56
Capital Expenditure Reported,,,,
Operating Cash Flow,1262516765.12,901865290.47,463661582.39,369745113.68
Change In Working Capital,-214748313.35,57152638.67,-12268462.32,-11764121.01
Change In Other Current Assets,-17387542.58,-8715484.78,-1985907.41,-2143447.04
Change In Payable,276550965.56,241541667.62,74028796.74,1474847.22
Change In Inventory,-111542071.59,-85757129.42,-28748327.44,-11324837.86
Change In Receivables,-362369664.74,-89916414.75,-55563024.21,229316.67
Other Non Cash Items,-17562624.34,-46674.14,530881.83,5937268.73
Deferred Tax,,,,
Depreciation And Amortization,123107085.13,89607399.49,83130538.88,70400703.79
Amortization Cash Flow,3323347.79,1515678.49,3387909.59,5574525.49
Depreciation,119783737.34,88091721.0,79742629.29,64826178.3
Gain Loss On Investment Securities,-7239079.5,-16779325.67,-28929628.83,-17442564.27
Gain Loss On Sale Of PPE,688695.5,19374627.86,1884028.57,-129287.49
Net Income From Continuing Operations,1342864548.81,729879047.26,404935282.38,308544325.59
Cash Flowsfromusedin Operating Activities Direct,1262516765.12,901865290.47,463661582.39,369745113.68
Taxes Refund Paid Direct,-237041617.4,-65917593.27,-46658350.78,-67282585.97
Classesof Cash Payments,-1802721493.89,-1116576343.34,-811719976.59,-728626443.19
Other Cash Paymentsfrom Operating Activities,-74355850.97,-87268308.2,-39303438.6,-41749239.25
Paymentson Behalfof Employees,-405867504.35,-291889727.22,-265046256.59,-262928709.28
Paymentsto Suppliersfor Goodsand Services,-1322498138.57,-737418307.92,-507370281.4,-423948494.66
Classesof Cash Receiptsfrom Operating Activities,3302279876.41,2084359227.08,1322039909.76,1165654142.84
Other Cash Receiptsfrom Operating Activities,133568528.6,70272564.3,23615884.83,23029933.57
Receiptsfrom Customers,3168711347.81,2014086662.78,1298424024.93,1142624209.27
