,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,103038658.79,-170174441.75,-143805081.86,74586603.5
Repayment Of Debt,-494547000.0,-210274800.0,-42447400.0,-37300000.0
Issuance Of Debt,690000000.0,563760000.0,180560000.0,64800000.0
Capital Expenditure,-27055370.08,-127820030.07,-90437113.3,-52131017.93
End Cash Position,495174469.88,225207156.09,74520769.97,105424635.7
Beginning Cash Position,225207156.09,74520769.97,105424635.7,15407588.12
Effect Of Exchange Rate Changes,-130820.42,246828.3,104611.75,
Changes In Cash,270098134.21,150439557.82,-31008477.48,90017047.58
Other Cash Adjustment Inside Changein Cash,,,0.01,
Financing Cash Flow,166600790.5,320439193.68,112685371.49,15307644.4
Net Other Financing Charges,-5203982.66,-18758788.92,-20722816.46,-10099352.66
Cash Dividends Paid,-23648226.84,-14287217.4,-4704412.05,-2093002.94
Net Issuance Payments Of Debt,195453000.0,353485200.0,138112600.0,27500000.0
Net Long Term Debt Issuance,195453000.0,353485200.0,138112600.0,27500000.0
Long Term Debt Payments,-494547000.0,-210274800.0,-42447400.0,-37300000.0
Long Term Debt Issuance,690000000.0,563760000.0,180560000.0,64800000.0
Investing Cash Flow,-26596685.16,-127645224.18,-90325880.42,-52008218.25
Net Investment Purchase And Sale,,,111232.88,82799.68
Sale Of Investment,,,40111232.88,30082799.68
Purchase Of Investment,,,-40000000.0,-30000000.0
Net PPE Purchase And Sale,-26596685.16,-127645224.18,-90437113.3,-52091017.93
Sale Of PPE,458684.92,174805.89,,40000.0
Purchase Of PPE,-27055370.08,-127820030.07,-90437113.3,-52131017.93
Operating Cash Flow,130094028.87,-42354411.68,-53367968.56,126717621.43
Change In Working Capital,-222356490.95,-518248558.57,-457695842.33,41711132.2
Change In Other Current Assets,-2626611.61,-31418336.5,-15825527.56,-3773814.03
Change In Payable,-735579645.55,169399944.64,1499019731.29,631994674.84
Change In Inventory,316812594.04,122929732.45,-1084102051.0,-240906518.93
Change In Receivables,199037172.17,-779159899.16,-856787995.06,-345603209.68
Other Non Cash Items,30009817.89,20575171.03,7659354.78,4224406.86
Depreciation And Amortization,36986231.02,42589948.65,31108174.82,13349627.26
Amortization Cash Flow,3735929.84,2517136.86,884234.27,706236.82
Depreciation,33250301.18,40072811.79,30223940.55,12643390.44
Gain Loss On Investment Securities,,,-111232.88,-82799.68
Gain Loss On Sale Of PPE,921001.0,85042.8,56543.37,-25563.08
Net Income From Continuing Operations,207773643.03,314954387.65,297509458.62,50076948.02
Cash Flowsfromusedin Operating Activities Direct,130094028.87,-42354411.68,-53367968.56,126717621.43
Taxes Refund Paid Direct,-142092975.24,-136306225.13,-49740809.19,-11036023.14
Classesof Cash Payments,-1802917568.67,-1753773559.24,-1811587377.47,-358833857.28
Other Cash Paymentsfrom Operating Activities,-82622288.44,-132431355.73,-97919715.13,-56236267.12
Paymentson Behalfof Employees,-360760257.3,-387504565.35,-311300554.66,-121577268.54
Paymentsto Suppliersfor Goodsand Services,-1359535022.93,-1233837638.16,-1402367107.68,-181020321.62
Classesof Cash Receiptsfrom Operating Activities,2075104572.78,1847725372.69,1807960218.1,496587501.85
Other Cash Receiptsfrom Operating Activities,94703287.81,21205518.31,10259582.03,7487367.68
Receiptsfrom Customers,1980401284.97,1826519854.38,1797700636.07,489100134.17
