,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,62471314.31,-253340790.57,-280119155.49,-80964167.3
Repayment Of Debt,-36000000.0,-500000.0,-78500000.0,-27000000.0
Issuance Of Debt,116000000.0,36000000.0,452455145.33,15000000.0
Capital Expenditure,-190702497.36,-306730639.02,-330520538.72,-181114953.03
End Cash Position,481332694.09,57006519.49,224361116.37,266941519.32
Beginning Cash Position,57006519.49,224361116.37,266941519.32,223875999.33
Effect Of Exchange Rate Changes,24376.02,31678.66,43369.53,
Changes In Cash,424301798.58,-167386275.54,-42623772.48,43065519.99
Financing Cash Flow,371117084.27,3001445.23,346332751.97,-63001678.8
Net Other Financing Charges,326613369.12,-20547221.89,-18852900.67,-549092.53
Cash Dividends Paid,-35496284.85,-11951332.88,-8769492.69,-50452586.27
Net Issuance Payments Of Debt,80000000.0,35500000.0,373955145.33,-12000000.0
Net Long Term Debt Issuance,80000000.0,35500000.0,373955145.33,-12000000.0
Long Term Debt Payments,-36000000.0,-500000.0,-78500000.0,-27000000.0
Long Term Debt Issuance,116000000.0,36000000.0,452455145.33,15000000.0
Investing Cash Flow,-199989097.36,-223777569.22,-439357907.68,5916413.06
Net Other Investing Changes,713400.0,-713400.0,,
Net Investment Purchase And Sale,-10000000.0,79698082.2,-109000000.0,184500260.27
Sale Of Investment,,100698082.2,,253667260.27
Purchase Of Investment,-10000000.0,-21000000.0,-109000000.0,-69167000.0
Net PPE Purchase And Sale,-190702497.36,-302762251.42,-330357907.68,-178583847.21
Sale Of PPE,,3968387.6,162631.04,2531105.82
Purchase Of PPE,-190702497.36,-306730639.02,-330520538.72,-181114953.03
Capital Expenditure Reported,,,,
Operating Cash Flow,253173811.67,53389848.45,50401383.23,100150785.73
Change In Working Capital,-213009043.06,-234045580.15,-102844019.49,-40560237.65
Change In Other Current Assets,1671615.84,2958788.67,-9666254.13,-5174588.94
Change In Payable,132938771.28,188572509.89,295696983.43,39075339.23
Change In Inventory,42099750.59,-47778565.5,-51278543.24,-58849655.72
Change In Receivables,-389719180.77,-377798313.21,-337596205.55,-15611332.22
Other Non Cash Items,186949432.68,113544564.27,56886335.63,41137845.27
Deferred Tax,,,,
Depreciation And Amortization,94147488.67,71624671.09,48574808.67,39158337.33
Amortization Cash Flow,2108587.79,1784860.09,1873990.54,1621593.19
Depreciation,92038900.88,69839811.0,46700818.13,37536744.14
Gain Loss On Investment Securities,3817433.96,-2994507.08,-2783324.72,-5681324.99
Gain Loss On Sale Of PPE,2600737.6,1990082.73,249993.28,314178.22
Net Income From Continuing Operations,136083820.85,87732957.55,45771547.0,70480157.33
Cash Flowsfromusedin Operating Activities Direct,253173811.67,53389848.45,50401383.23,100150785.73
Taxes Refund Paid Direct,-69069854.43,-55249467.59,-37476152.22,-41093167.0
Classesof Cash Payments,-842706846.17,-748199567.03,-574104141.58,-535112071.18
Other Cash Paymentsfrom Operating Activities,-65176543.97,-41581674.38,-57235429.0,-45850861.26
Paymentson Behalfof Employees,-245486352.71,-216123527.02,-185163067.25,-131703645.57
Paymentsto Suppliersfor Goodsand Services,-532043949.49,-490494365.63,-331705645.33,-357557564.35
Classesof Cash Receiptsfrom Operating Activities,1164950512.27,856838883.07,661981677.03,676356023.91
Other Cash Receiptsfrom Operating Activities,18223382.42,15689203.13,15715403.93,14029878.46
Receiptsfrom Customers,1146727129.85,841149679.94,646266273.1,662326145.45
