研报标题,摘要,评级,分享时间
天风证券-匠心家居-301061-保持高质量稀缺成长-250920,"公司发布半年报
　　25Q2公司营收9亿同增40%，归母净利2.4亿同增45%；25H1公司营收17亿同增39%，归母净利4.3亿同增51%。
　　25H1毛利率提升至38.4...",买入,2025-09-20
天风证券-宇邦新材-301266-25Q2业绩承压，未来有望受益BC技术发展-250920,事件：公司25H1实现营业收入15.18亿元，同比下降9.77%；实现归母净利润0.36亿元，同比增长0.18%。25Q2单季度实现营业收入8.80亿元，同比下降10.49%；...,增持（下调）,2025-09-20
天风证券-华旺科技-605377-积极应对内外部变化-250920,"公司发布半年报
　　25Q2公司营收8亿同减22%，归母净利0.8亿同减52%；25H1营收16亿同减16%，归母净利1.6亿同减48%。
　　2025年上半年，装饰纸市场遭遇...",买入,2025-09-20
东吴证券-北摩高科-002985-专注刹车系统平台型公司，民用拓展空间广阔可期-250920,北摩高科军品刹车业务受益于“需求复苏+耗材属性”双轮驱动，奠定坚实发展基本盘：一方面，“十四五”后半程主战装备进入批产放量期，新一代战机、运输机、无人机等加速列装，叠加老旧机型...,买入（首次）,2025-09-20
华鑫证券-诺普信-002215-公司事件点评报告：生鲜消费转型升级，品牌渠道双轮驱动-250919,"事件
　　2025年8月19日，诺普信发布2025年半年报。2025H1总营收36.79亿元（同增8%），归母净利润6.48亿元（同增17%），扣非净利润6.79亿元（同增28...",买入（首次）,2025-09-20
东吴证券-巨星科技-002444-中国手工具出海龙头，供应链国际化构筑核心壁垒-250920,中国手工具出海龙头，内生外延打造全球品牌矩阵。巨星科技是中国手工具出海龙头企业，2025H1美洲/欧洲收入占比达到65%/26%。业务结构中，手工具为基本盘，市场规模更大的电动...,买入（首次）,2025-09-20
东吴证券-星源卓镁-301398-半固态工艺先行者，镁合金应用趋势下受益链第一梯队-250918,深耕汽零镁合金十余载，产品毛利率行业领先。公司成立于2003年，2014年切入镁合金汽配领域并配套特斯拉，当前已形成铝合金+镁合金双轮驱动的产品格局，客户涵盖奇瑞、保时捷、宝马...,买入（首次）,2025-09-20
天风证券-兖矿能源-600188-盈利有望受量价双重驱动，H股高股息属性凸显-250920,"煤炭供应频现扰动，煤价迎来筑底反弹
　　中央财经委员会第六次会议提出“依法依规治理企业低价无序竞争，引导企业提升产品品质，推动落后产能有序退出等”后，国内煤炭行业供给端频现扰动...",买入,2025-09-20
天风证券-甬矽电子-688362-行业回暖驱动营收高增，先进封装布局助力盈利改善-250920,"事件：公司发布2025年半年度报告。公司实现营业收入201,028.74万元，同比增长23.37%；实现归属于上市公司所有者的净利润3,031.91万元，同比增长150.45%...",买入,2025-09-20
华福证券-天齐锂业-002466-2025中报点评：成本优势对冲锂价压力，期待矿端扩产放量-250920,"事件
　　公司发布2025中报，2025H1公司实现收入48.33亿元，同比-25%，归母净利润0.84亿元，同比+102%，扣非归母净利0.01亿元，同比+100%，SQM确...",买入,2025-09-20
光大证券-华发股份-600325-动态跟踪：股权回购推进，销售加快去化，经营业务蓄力-250920,"事件：9月17日，公司发布以集中竞价交易方式回购股份比例达到1%暨回购进展公告。
　　截至2025年9月12日，公司通过上海证券交易所交易系统以集中竞价交易方式累计回购公司股份...",增持,2025-09-20
天风证券-王力安防-605268-巩固生产、品牌及渠道优势-250920,"公司发布半年报
　　25Q2公司营收9亿同增9%，归母净利0.4亿同增14%，扣非后归母净利0.4亿同增14%。
　　25H1营收14亿同增10%，归母净利0.7亿同增24%，...",增持,2025-09-20
海通国际-海天味业-603288-跟踪报告：生产优化提振盈利能力，长期竞争优势凸显-250919,上半年营收增速较年初预期有差距，盈利能力持续增强。公司1H25实现营收152.30亿元/+7.59%；归母净利润39.14亿元/+13.35%，毛利率40.12%，同比提高3....,优于大市,2025-09-19
东吴证券-信维通信-300136-传统业务基本盘稳健，卫星与汽车业务构筑新成长曲线-250919,"投资要点
　　信维通信作为射频龙头，以全链路技术能力布局前沿领域，强化全球核心竞争力。信维通信作为国内射频器件领域的龙头企业，主营业务涵盖天线及模组、无线充电模组、EMI/EM...",买入,2025-09-19
长城证券-晶丰明源-688368-25H1利润同比扭亏为盈，高性能计算产品线打开增量空间-250919,事件：公司发布2025年半年报，2025年上半年公司实现营收7.31亿元，同比-0.44%；实现归母净利润0.16亿元，同比扭亏为盈；实现扣非净利润0.13亿元，同比扭亏为盈。...,买入,2025-09-19
长城证券-华海清科-688120-25H1业绩稳健增长，CMP先进封装占比提升-250919,事件：公司发布2025年半年报，25H1公司实现营收19.50亿元，同比+30.28%；实现归母净利润5.05亿元，同比+16.82%；实现扣非净利润4.60亿元，同比+25....,买入,2025-09-19
