研报标题,摘要,评级,分享时间
光大证券-中国石油-601857-深度分析系列报告之二：坚守长期主义深化改革转型，打造穿越周期的油气全产业链巨头-251004,新时代中国石油坚守长期主义，一体化全产业链彰显经营韧性。2022年以来外部环境波动剧烈，中国石油坚守长期主义不动摇，对内深化改革聚焦效益提升，抵御外部风险能力明显增强。2025...,买入,2025-10-05
民生证券-宏景科技-301396-首次覆盖报告：互联网大厂云出海先锋-251004,乘云出海之风，算力租赁业务高速发展。宏景科技作为深耕智慧城市领域多年的综合服务商，凭借其深厚的技术积累与企业级客户资源，已成功完成向AI算力服务商的战略转型。2024年以来，公...,推荐（首次）,2025-10-04
天风证券-康冠科技-001308-创新类显示产品取得显著增长-251003,"公司发布半年报
　　25Q2营收38亿，同增0.7%，归母净利1.7亿同减24%，扣非后归母净利1.7亿，同减5%。
　　25H1公司营收69亿，同增5%，归母净利3.8亿，同...",增持,2025-10-03
天风证券-标榜股份-301181-二季度季利润增速由负转正，新能源汽车业务持续拓展-251002,"标榜股份2025H1收入稳步增长，利润增速由负转正
　　标榜股份2025年H1实现营业收入2.69亿元，同比增长8.2%，归母净利润0.61亿元，与上年同期基本持平，整体延续稳...",增持,2025-10-02
华安证券-杰克科技-603337-全球缝制设备领军者，AI+人形机器人助力持续外拓-250930,"公司总览：经营稳健的全球缝制设备领军企业
　　公司是全球智能化服装成套装备行业产销规模最大、综合实力最强的企业之一，公司主营业务产品包括智能工业缝纫机、智能裁床、智能铺布机等工...",买入（首次）,2025-10-02
天风证券-慕思股份-001323-智能业务从探索布局迈向战略推进-251002,"公司发布25年半年报
　　25Q2营收14亿，同减5%，归母净利2.4亿同增3%，扣非后归母净利1.7亿，同减27%。
　　25H1公司营收25亿，同减6%，归母净利3.6亿，...",买入,2025-10-02
华福证券-宇晶股份-002943-深耕硬脆材料加工，多行业全面开花-251002,"投资要点：
　　公司简介：深耕硬脆材料加工，技术领先，产品多元，积极扩张公司深耕硬脆材料切磨抛加工设备的研发销售，主要产品有多线切割机和研磨抛光机，目前已实现对光伏硅片、蓝宝石...",持有（首次）,2025-10-02
太平洋证券-财富趋势-688318-2025年中报点评：业绩拐点已现，AI金融有望重估-250929,"事件：财富趋势发布2025年半年度报告。报告期内，公司实现营收1.33亿元，同比-9.96%；实现归母净利润1.07亿元，同比+6.61%。
　　软件信息行业发展，金融数字转型...",买入,2025-10-02
天风证券-地素时尚-603587-升级重塑品牌及渠道-251002,"公司发布半年报
　　25Q2营收6亿，同减1%，归母净利0.88亿同减22%，扣非后归母净利0.7亿，同减37%。
　　25H1公司营收11亿，同减6%，归母净利1.7亿，同减...",增持,2025-10-02
天风证券-恒辉安防-300952-新材料接力突破，期待业务落地-251002,"公司发布2025中报
　　25H1：营收5.9亿，同比+15%；归母净利润0.5亿，同比+12%。
　　截至2025年6月30日，公司总资产26亿，同比+3%；归属于上市公司股...",买入,2025-10-02
财通证券-建发股份-600153-销售投资表现强势，灯塔项目决胜未来-251002,"事件：2025年9月30日，克而瑞发布中国房地产企业销售排行榜单，中指院更新房地产企业拿地情况，公司旗下建发房产及联发集团均表现突出。
　　公司销售额整体双位数增长：根据克而瑞...",买入（上调）,2025-10-02
民生证券-高华科技-688539-首次覆盖报告：信息化系列#6，高可靠传感器领航者；商业航天与具身科技打开成长空间-251001,"我们首次覆盖高可靠性传感器核心企业：高华科技（688539.SH），给予“推荐”评级，核心观点如下：
　　从起步到领航，高华科技开拓传感之路。1）发展历程：2000年，公司前身...",推荐（首次）,2025-10-02
天风证券-宝钢包装-601968-反内卷多措并举助力盈利修复-251002,"公司发布半年报
　　25Q2公司营收23亿，同增13%，归母净利0.45亿，同增20%。25H1营收43亿同增7%，归母净利1亿同增10%。
　　主要系公司坚持“四化”发展方向...",买入,2025-10-02
国金证券-步步高-002251-转型精选型零售，区域龙头价值重估-250930,"零售行业为何拥有潜在发展机遇？
　　线下零售需求端刚性而庞大：电商发达背景下线下消费占比仍达70%，大量消费品类线下占比很高。湖南为代表下沉市场线上化率相对更低。供给端优质供给...",增持（首次）,2025-10-02
浦银国际-药明康德-603259-2025投资者开放日主要亮点-250930,近日，我们于现场参加了公司举办的年度投资者开放日并参观了泰兴生产基地。整体而言，更全面与更精细的数据分享以及运营情况分享有助于进一步提升市场对公司维持同行最优利润率的理解与信心...,买入,2025-10-02
天风证券-好太太-603848-加速智能家居新品迭代-251001,"公司发布半年报
　　25Q2营收4亿，同减0.58%，归母净利0.5亿，同减40%，扣非后归母净利0.5亿，同减42%。
　　25H1公司营收7亿，同减5%，归母净利0.9亿，...",增持（下调）,2025-10-01
