分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,东吴证券-博瑞医药-688166-战略合作点评：依托华润三九院外渠道打开销售天花板，共同承担研发费用-250802,事件：2025年8月1日，博瑞医药与华润三九签署《合作研发协议》，就BGM0504注射液在中国大陆的研发、注册、生产和商业化展开合作。博瑞授予三九“排他性合作开发实施许可+独占...,朱国广,买入,3,2025-08-02,zhan******158,1,2025-08-02 07:05:20,,
投研资讯,财通证券-顺络电子-002138-业绩增势延续，新兴战略市场强劲高增-250801,事件：公司发布2025半年报，上半年公司实现营收32.24亿元，同比+19.80%，实现归母净利润4.86亿元，同比+32.03%，扣非净利润4.62亿元，同比+32.87%，...,张益敏，黄梦龙,增持,3,2025-08-02,dada******gsi,1,2025-08-02 07:05:20,,
投研资讯,财通证券-东方雨虹-002271-国内需求承压，海外快速扩张-250801,"核心观点
　　事件：2Q2025营收76.14亿元同降5.64%；归母净利润3.72亿元同降37.52%；扣非归母净利润3.35亿元同降36.20%。中期分红22.10亿元，股...",毕春晖，陈琳云,增持,4,2025-08-02,jin****25,1,2025-08-02 07:05:20,,
投研资讯,国信证券-海信家电-000921-2025年中报点评：二季度经营略承压，经营性盈利表现稳健-250801,二季度小幅承压，整体表现稳健。公司2025H1实现营收493.4亿/+1.4%，归母净利润20.8亿/+3.0%，扣非归母净利润18.2亿/+6.7%。其中Q2收入245.0亿...,陈伟奇，王兆康，邹会阳,优于大市,6,2025-08-01,lkl****33,1,2025-08-02 07:05:20,,
投研资讯,华安证券-金杯电工-002533-业务结构韧劲多元，新应用领域合计份额过半-250801,"主要观点：
　　业绩
　　公司发布2025年半年报告，2025H1公司实现营业收入93.35亿元，同比+17.50%；实现归母净利润2.96亿元，同比+7.46%，扣非归母净利...",张志邦，郑洋,买入,3,2025-08-01,jy***g,1,2025-08-02 07:05:20,,
投研资讯,国信证券-金杯电工-002533-电磁线业务表现亮眼，海外产能顺利推进-250801,"核心观点
　　上半年收入利润实现稳健增长。2025年上半年公司实现营收93.35亿元，同比+17.50%，实现归母净利润2.96亿元，同比+7.46%。上半年公司销售毛利率10...",王蔚祺，王晓声,优于大市,6,2025-08-01,seu****ny,1,2025-08-02 07:05:20,,
投研资讯,华金证券-酉立智能-920007-新股覆盖研究-250731,"投资要点
　　本周二（7月29日）有一只北交所新股“酉立智能”申购，发行价格为23.99元/股、发行市盈率为11.75倍（每股收益按照2024年度经会计师事务所依据中国会计准则...",李蕙,,10,2025-08-01,x**e,1,2025-08-02 07:05:20,,
投研资讯,华金证券-南亚新材-688519-高端高速产品获全球知名AI服务器认证，持续受益国产算力发展-250731,销量增加&产品结构优化，带动公司整体效益有效改善。根据公司2025年半年度业绩预告的自愿性披露公告，2025H1，预计公司实现归母净利润0.80亿元-0.95亿元，同比增加0....,熊军，宋鹏,增持（首次）,7,2025-08-01,jyy****un,1,2025-08-02 07:05:20,,
投研资讯,开源证券-海信家电-000921-公司信息更新报告：2025H1中央空调承压，冰洗盈利能力改善-250801,"2025H1中央空调承压，冰洗盈利能力改善，维持“买入”评级
　　2025H1公司实现营业收入493.4亿元（同比+1.4%，下同），归母净利润20.8亿元（+3.0%），扣非...",吕明,买入,4,2025-08-01,mx***5,1,2025-08-02 07:05:20,,
投研资讯,民生证券-仕佳光子-688313-2025年半年报点评：业绩超预期，AI显著拉动光器件产品需求-250801,事件：7月29日，公司发布2025年半年报，2025年上半年公司实现营收9.93亿元，同比增长121.1%，实现归母净利润2.17亿元，同比增长1712.0%，实现扣非归母净利...,马天诣，马佳伟,推荐,3,2025-08-01,path******jby,1,2025-08-02 07:05:20,,
投研资讯,西南证券-华能国际-600011-火电盈利延续，风光建设加速-250730,事件：公司发布2025年中报，上半年实现营收1120.3亿元，同比下降5.7%；实现归母净利润92.6亿元，同比增长24.3%；实现扣非归母净利润88.1亿元，同比增长22.6...,韩晨，巢语欢,买入,5,2025-08-01,wang******hen,1,2025-08-02 07:05:20,,
