分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,天风证券-东鹏饮料-605499-25H1收入维持较高增速，费投影响利润增速-250721,公司发布2025年半年度业绩预增公告，预计25H1年实现收入106.3-108.4亿元，同增35.01%-37.68%（中枢为36.35%）；归母净利润23.1~24.5亿元...,张潇倩,买入,3,2025-07-21,王**富,1,2025-07-21 19:07:36,,
投研资讯,环球富盛-润贝航科-001316-航空器材解决方案综合服务商，挖掘新兴领域增长潜力-250721,公司是航空器材解决方案综合服务商。公司是集研发、生产及销售于一体的航空器材解决方案综合服务商，坚持“分销+自研”双轮驱动战略。公司积极响应航材国产化战略，上市以来持续加大对航材...,庄怀超,,4,2025-07-21,hnb****uo,1,2025-07-21 19:07:36,,
投研资讯,华鑫证券-中际旭创-300308-公司事件点评报告：毛利率逐季度提升，进一步扩产海外产能-250721,"事件
　　中际旭创发布2025年半年度业绩预告：预计2025年1-6月归属于上市公司股东的净利润为36亿元-44亿元，同比增长52.64%-86.57%；归属于上市公司股东的扣...",吕卓阳,买入（上调）,5,2025-07-21,bigf******zhz,1,2025-07-21 19:07:36,,
投研资讯,天风证券-鲁泰A-000726-非经常性损益带动上半年业绩高增-250721,"公司发布25H1业绩预告
　　25H1归母净利3.3-3.7亿，同增95%-118%；扣非归母净利润2.3-2.5亿，同减15%-5%。
　　25Q2归母净利1.8-2.2亿，...",孙海洋,买入,3,2025-07-21,do***m,1,2025-07-21 19:07:36,,
投研资讯,华安证券-新凤鸣-603225-拟投资利夫生物，卡位生物基聚酯产业链-250721,"事件描述
　　事件：7月17日，新凤鸣发布对外投资公告，拟以人民币10,000万元增资合肥利夫生物科技有限公司（简称“利夫生物”），增资后将持有其7.0175%股权。投资资金为...",王强峰，潘宁馨,买入,4,2025-07-21,胡杨***3,1,2025-07-21 19:07:36,,
投研资讯,国信证券-生益科技-600183-覆铜板龙头，高频高速产品跻身全球一流-250721,2Q25业绩预告超预期，订单饱满，NV高速板材放量带动产品结构改善。公司发布业绩预告，预计2Q25实现8.36-8.86亿元利润，中值8.61亿元(YoY+59.44%，QoQ...,胡剑，胡慧，叶子,优于大市（首次）,21,2025-07-21,mxj****22,1,2025-07-21 19:07:36,,
投研资讯,长城证券-龙源电力-001289-存量焕新夯实基本盘，增量进击开启新增长-250721,全球龙头地位与战略聚焦巩固领航优势：作为国家能源集团旗下新能源领军企业，公司凭借先发优势与深厚技术积淀构筑行业壁垒。公司深耕风电领域三十余年，率先布局优质风资源区，以及海上、低...,于夕朦，何郭香池，范杨春晓,增持,51,2025-07-21,zha****an,1,2025-07-21 19:07:36,,
投研资讯,中邮证券-苏州天脉-301626-翱翔蓝天，脉动奇迹-250721,"投资要点
　　深耕导热散热产品，热管理整体解决方案专家。公司主营业务为热管理材料及器件的研发、生产及销售，公司热管理材料及器件产品主要包括热管、均温板、导热界面材料、石墨膜等产...",吴文吉，翟一梦,买入（首次）,6,2025-07-21,vm1****50,1,2025-07-21 19:07:36,,
投研资讯,华鑫证券-新易盛-300502-公司事件点评报告：800G需求爆发驱动业绩高增，技术领先夯实成长动能-250721,"事件
　　新易盛发布2025半年度业绩预告：2025年1月1日至2025年6月30日，预计实现归母净利润37亿元-42亿元，同比增长327.68%-385.47%；预计实现扣非...",吕卓阳,买入,5,2025-07-21,yun****ao,1,2025-07-21 19:07:36,,
投研资讯,长城证券-人福医药-600079-创新崛起，未来可期-250721,一类创新药研发进入集中产出期，平台化体系加速成型。人福医药加快一类创新药布局，涵盖化药、中药、生物制品三大类型，靶点聚焦肿瘤、镇痛、自身免疫等高价值领域。2024年年报和公告显...,吴明华,买入（上调）,8,2025-07-21,lan****wu,1,2025-07-21 19:07:36,,
投研资讯,环球富盛-中化国际-600500-上半年业绩承压，筹划收购南通星辰100%股权-250721,公司是国内环氧树脂龙头企业。公司基础原料及中间体业务主要包括丙烯、酚酮、环氧氯丙烷、环氧丙烷、烧碱、芳烃系列等产品，2024年连云港碳三产业链基地已实现全线贯通。公司高性能材料...,庄怀超,,4,2025-07-21,Che****eQ,1,2025-07-21 19:07:36,,
投研资讯,第一创业-鼎佳精密-920005-深度绑定仁宝电脑，积极布局MIM技术-250721,"核心观点：
　　1.公司深耕消费电子产品行业，逐渐在市场中积累了良好的口碑和优质的客户资源。公司第一大客户仁宝电脑为行业内排名前二的笔记本电脑制造服务商，另外公司也与巨腾国际、...",郭强,,20,2025-07-21,lc***b,1,2025-07-21 19:07:36,,
投研资讯,交银国际-赛力斯-601127-问界引领高端化转型，盈利能力跃升；首予买入-250721,赛力斯深化与华为的合作，入股引望后，将进一步强化华为属性和智能化，带动品牌持续向上。问界M8和M9打入传统BBA豪华品牌市场，在各自细分市场销量领先，品牌高端定位基本确立，带动...,陈庆，李柳晓,买入（首次）,48,2025-07-21,yy4****01,1,2025-07-21 19:07:36,,
投研资讯,东方证券-北方稀土-600111-半年度业绩预告点评：供给优化提升经营质量，需求增长带来价格弹性-250721,"核心观点
　　半年度业绩预告亮眼，二季度稀土产品或量价齐升。市场原本根据二季度氧化镨钕市场价格，稀土磁材相关出口政策调整情况，预计公司二季度经营业绩或受到一定程度的影响。根据公...",刘洋,买入,5,2025-07-21,dxb2******003,1,2025-07-21 19:07:36,,
投研资讯,国投证券-宝信软件-600845-AI大模型赋能钢铁智造，国产大型PLC持续突破-250721,"事件概述
　　1)近日，2025世界人工智能大会WAIC最新公布的SAIL奖（卓越人工智能引领者奖）TOP30榜单中，宝信软件自主研发的“钢铁大模型”核心技术及应用方案成功入选...",赵阳，杨楠,买入-A,5,2025-07-21,lia****ul,1,2025-07-21 19:07:36,,
投研资讯,华西证券-科锐国际-300662-禾蛙AI2.0发布会召开，看好AI技术在人力资源行业的商业化前景-250720,"事件概述：
　　7月17日，公司旗下人力资源服务产业互联平台禾蛙AI2.0生态一周年战略发布会召开，发布会上禾蛙推出覆盖招聘全链路的9大智能体，打造招聘行业的智能体聚合平台，为...",许光辉，徐晴,增持,5,2025-07-21,duj****ui,1,2025-07-21 19:07:36,,
投研资讯,华金证券-天富龙-603406-新股覆盖研究-250719,"投资要点
　　下周三（7月23日）有一家主板上市公司“天富龙”询价。
　　天富龙（603406）：公司从事差别化涤纶短纤维的研产销，产品布局由再生有色涤纶短纤维，拓展至差别化复...",李蕙,,11,2025-07-20,kei****ng,1,2025-07-21 19:07:36,,
