研报标题,摘要,评级,分享时间
中原证券-万辰集团-300972-2025年中报点评：量贩业务保持高增，盈利水平大幅提升-250922,公司发布2025年中期报告：2025年上半年，公司实现营收225.83亿元，同比增长106.89%；实现归母扣非净利润4.51亿元，同比增长14722.34%，实现基本每股收益...,增持,2025-09-22
开源证券-欧陆通-300870-公司首次覆盖报告：AI高密化发展，国产高功率服务器电源龙头崛起-250922,"国产高功率服务器电源领军者，受益于AI高密度化发展，给予“买入”评级
　　欧陆通是国内稀缺的高功率服务器电源供应商，专注于电源领域，产品矩阵丰富，主要包括电源适配器、数据中心电...",买入（首次）,2025-09-22
山西证券-百利天恒-688506-EGFR×HER3 ADC有望成为肿瘤基石药物，HER2 ADC展现BIC潜力-250922,"公司点评
　　百利天恒是布局ADC及多抗的创新药企业。公司核心管线EGFR×HER3双抗ADC iza-bren是潜在的泛肿瘤治疗基石药物，正在国内外进行40余项肿瘤临床，3项...",买入-B（首次）,2025-09-22
天风证券-创源股份-300703-拟回购股份+参与成立产业基金，期待业务加速-250922,"公司发布公告，拟以集中竞价交易方式回购公司股份
　　回购股份将在未来适宜时机用于实施股权激励或员工持股。
　　回购价格不超过人民币41.5元/股（含）。预计回购股份数量为280...",买入,2025-09-22
华源证券-国投电力-600886-蓄水奠定业绩增量，煤电度电利润稳健-250922,事件：公司发布2025年中报，2025年上半年实现营收257亿元，同比下降5.18%；归母净利润37.95亿元，同比增长1.36%。单二季度实现营收126亿元，同比下降3.22...,买入,2025-09-22
群益证券-立讯精密-002475-iPhone销售乐观，AI业务打开成长空间-250922,"结论与建议：
　　iPhone17销售情况火热，京东、天猫平台预约数量破纪录，苹果官网多款机型售罄，发货日期延至10月，整体销售情况较iPhone16系列发售情况大相径庭。公司...",买进,2025-09-22
国投证券-汉得信息-300170-经营稳步向好，数据融合+AI驱动成效显现-250922,"事件概述
　　1）近日，汉得信息发布《2025年半年度报告》，今年上半年，公司实现营业收入15.75亿元，同比增长3.54%；归母净利润0.85亿元，同比增长1.90%；扣非归...",买入-A,2025-09-22
天风证券-浙江自然-605080-持续向内求+向外拓-250922,"公司发布25年半年报
　　25Q2公司营收3亿，同增1%，归母净利0.5亿，同减20%。25H1营收7亿同增14%，归母净利1.5亿同增45%。
　　2025年上半年，公司“向...",增持,2025-09-22
国投证券-海天味业-603288-经营业绩稳定增长，毛利率显著提升-250922,"事件：
　　公司发布2025年半年报，2025H1实现营业收入152.30亿元，同比增长7.59%；实现归母净利润39.14亿元，同比增长13.35%；实现扣非归母净利润38....",买入-A（首次）,2025-09-22
中邮证券-芯原股份-688521-拟并购芯来科技，补足优质CPU IP-250922,"投资要点
　　25Q2末在手订单30.25亿，AI算力相关订单充沛。截至2025年第二季度末，公司在手订单金额为30.25亿元，已连续七个季度保持高位，创公司历史新高。2025...",买入,2025-09-22
中邮证券-灿芯股份-688691-灿集众能，芯务集成-250922,"投资要点
　　完成流片验证项目数量同比增长奠定量产业务基础，充足订单储备支撑未来增长。2025H1，公司实现营业收入2.82亿元，受客户需求波动影响，公司本报告期营业收入同比有...",增持（首次）,2025-09-22
天风证券-比音勒芬-002832-持续推进高端化、国际化及年轻化-250922,"公司发布半年报
　　25Q2公司营收8亿，同比+22%，实现归母净利0.8亿，同比-29%；25H1公司营收21亿，同比+9%，实现归母净利4亿，同比-14%。
　　2025H...",买入,2025-09-22
群益证券-伟创电气-688698-公司产能投放在即，持续深入机器人赛道-250922,"结论与建议：
　　公司专注工业自动化赛道，核心产品包括变频器、伺服系统及PLC等。2025上半年公司实现收入9.0亿元，YOY+16.4%，整体增长稳健，并且苏州、常州生产基地...",买进,2025-09-22
山西证券-西麦食品-002956-燕麦龙头业绩高增，成本红利持续释放-250922,"事件描述
　　公司2025年上半年实现营收11.49亿元，同比增长18.1%；Q2营收4.93亿元，同比增长21.0%。公司归母净利润0.81亿元，同比增长22.5%。Q2净利...",增持-A（首次）,2025-09-22
