研报标题,摘要,评级,分享时间
西南证券-雷赛智能-002979-驱控业务稳健增长，人形机器人蓄势待发-250917,事件：公司2025年上半年实现营收8.91亿元，同比增长8.3%；实现归母净利润1.19亿元，同比增长2.2%；扣非归母净利润1.16亿元，同比增长1.6%。公司2025年Q2...,持有,2025-09-19
开源证券-源杰科技-688498-公司深度报告：AI光提速时代的国产光芯片领军企业-250918,"国内光芯片领军企业，获主流客户认可，或深度受益于AIGC发展
　　公司致力成为国际一流的光电半导体芯片和技术服务供应商，从以电信市场为主逐步发展成国内领军的“电信市场+数通市场...",买入,2025-09-19
西南证券-蓝黛科技-002765-聚焦双主业，拓展新领域-250915,"业绩总结：2025年上半年公司实现营业收入17.5亿元，同比+8.3%，归母净利润1.1亿元，同比+61.6%，扣非后归母净利润0.9亿元，同比+138.0%。
　　经营分析：...",,2025-09-19
中邮证券-宇晶股份-002943-二季度业绩环比改善，下游消费电子景气提升-250919,"事件：公司发布2025年半年报。
　　二季度业绩环比改善明显。2025H1，公司实现营收4.84元，同比-33.91%；实现归母净利润0.12亿元，同比-74.72%；实现扣非...",增持（首次）,2025-09-19
华安证券-铂科新材-300811-25Q2业绩环比改善，ASIC产品放量可期-250918,"主要观点：
　　事件：铂科新材发布2025中报
　　25H1公司实现营业收入约8.6亿元，同比增长约8.1%；实现归母净利润约1.9亿元，同比增长约3.3%；实现毛利率约39....",买入,2025-09-19
山西证券-天孚通信-300394-有源业务大幅增长，CPO项目持续推进-250919,"事件描述
　　公司发布2025年半年报。2025上半年，公司实现营收24.6亿，同比增长57.8%，实现归母净利润9.0亿元，同比增长37.5%。单二季度来看，公司实现营收15...",买入-A,2025-09-19
山西证券-德科立-688205-DCI产能持续建设中，硅基OCS已获千万订单-250919,"事件描述
　　公司发布2025年半年报。上半年，公司实现营收4.3亿元，同比增长5.9%，实现归母净利润0.3亿元，同比下滑48.2%。单二季度来看，公司实现营收2.3亿元，同...",增持-A,2025-09-19
天风证券-浙能电力-600023-煤价下滑带动成本端显著改善，Q2盈利反转-250919,事件：公司发布2025年中报，公司2025H1实现营业收入354.72亿元，同比降低11.68%，实现归母净利润35.12亿元，同比降低10.57%；2025Q2实现营业收入1...,买入,2025-09-19
国投证券-远光软件-002063-乘政策东风，以AI技术深度赋能能源电力行业-250918,"事件概述
　　1）近日，远光软件发布《2025年半年度报告》，今年上半年，公司实现营业收入10.55亿元，同比增长0.98%；归母净利润0.75亿元，同比增长33.61%；扣非...",买入-A,2025-09-19
中邮证券-星图测控-920116-业绩符合预期，面向未来布局商业航天全产业链-250919,"事件
　　公司披露了2025半年报，25H1营收0.99亿（同比+21.9%），毛利率54.57%（同比+1.39pct），归母净利润0.32亿（同比+24.26%），扣非归母...",增持（首次）,2025-09-19
东海证券-拓普集团-601689-公司简评报告：2025Q2业绩环比改善，机器人、液冷开启新成长曲线-250916,"投资要点
　　事件：公司发布2025年半年报，2025H1实现营收129.35亿元，同比+6%，归母净利润12.95亿元，同比-11%；2025Q2实现营收71.67亿元，同环...",买入,2025-09-18
东吴证券-福立旺-688678-乘人形机器人之风，3C精密制造领军者再启航-250918,"投资要点
　　深耕精密金属零部件，利润反转在即
　　1）作为科创板聚焦精密金属零部件的核心标的，福立旺以“高端客户绑定+产业协同拓展”构建竞争壁垒。2）发展历程中，公司以“技术...",增持（首次）,2025-09-18
海通国际-伊利股份-600887-跟踪报告：龙头经营韧性凸显，静待周期上行-250918,公司业绩韧性凸显。公司25H1实现营业收入619.33亿元，同比增长3.37%；归属于上市公司股东的净利润72.00亿元。25Q2实现营业收入289.15亿元，同比增长5.77...,优于大市,2025-09-18
天风证券-昇兴股份-002752-完善客户结构，海外市场积极扩张-250918,"公司发布2025年半年报
　　25Q2公司营收16亿，同增4%，归母净利0.5亿，同减51%。25H1营收32亿同增0.1%，归母净利1.5亿同减37%。
　　2025年上半年...",买入,2025-09-18
天风证券-新巨丰-301296-加强与纷美包装在业务、管理、技术等方面融合-250918,"公司发布半年报
　　25Q2公司营收9亿，同增132%，归母净利0.46亿，同增37%。25H1营收13亿同增52%，归母净利0.6亿同减31%。
　　2025H1公司积极推进...",买入,2025-09-18
华源证券-无锡晶海-836547-氨基酸原料药“小巨人”，新产能释放叠加下游领域拓展有望带来业绩增量-250918,国内开始涉足具备高附加值的氨基酸，应用领域规模不断增长。全球氨基酸市场规模预计将从2021年的261.9亿美元增长至2030年的494.2亿美元（CAGR=7.3%）。2023...,增持（首次）,2025-09-18
太平洋证券-福斯特-603806-2025年中报点评：光伏业务承压，电子材料保持较高增速-250916,事件一：公司近日发布2025年半年度报告，公司实现营业收入79.59亿元，同比-26.06%，实现归母净利润4.96亿元，同比-46.60%；其中Q2实现营收43.34亿元，同...,买入,2025-09-18
东吴证券-海康威视-002415-主业与创新业务协同并进，编织智能物联生态网络-250918,"投资要点
　　全球安防产业龙头，开拓场景数字化业务的打开成长新空间。公司以智能物联为战略定位，深耕产业二十余年，服务于安防与场景数字化业务，构建覆盖全球的完善市场营销、销售管理...",买入,2025-09-18
天风证券-可靠股份-301009-拓展产品品类，形成丰富的产品线梯队-250918,"公司发布2025年半年报
　　25Q2公司营收2.7亿，同增13%，归母净利0.1亿，同增98%。25H1营收5.5亿同增5%，归母净利0.28亿同增22%。
　　2025H1...",买入,2025-09-18
东吴证券-嘉必优-688089-一主两翼，技术立命-250918,"投资要点
　　多元布局，向新而生：嘉必优成立于2004年，公司率先实现了花生四烯酸（ARA）、二十二碳六烯酸（DHA）、SA晶体及β-胡萝卜素(BC)等多个产品的产业化，产品广...",买入（首次）,2025-09-18
