研报标题,摘要,评级,分享时间
华安证券-新宙邦-300037-25H1业绩稳健增长，电解液、有机氟业务放量-250928,"事件描述
　　2025年8月28日，新宙邦发布2025年半年报，公司2025H1实现营业收入42.48亿元，同比增长18.58%；实现归母净利润4.84亿元，同比增长16.36...",买入,2025-09-28
中航证券-润阳科技-300920-轻装上阵再出发，机器人开启新篇章-250928,"国内IXPE领先企业，布局机器人打造新发展篇章
　　公司成立于2012年，是国内领先的IXPE生产企业之一。公司凭借技术沉淀与品质优势，已构建起“研发-生产-认证-市场”全链条...",买入（首次）,2025-09-28
国投证券-侨银股份-002973-资金回笼提速，AI+人形机器人赋能环卫业务-250928,"事件：
　　公司发布2025年半年度报告，公司2025H1实现营业总收入18.71亿元（同比-3.90%），归母净利润1.25亿元（同比-27.61%），毛利率27.60%（同...",买入-A（首次）,2025-09-28
东吴证券-晶盛机电-300316-首条12英寸碳化硅衬底加工中试线正式通线，SiC衬底应用打开公司成长空间-250928,半导体收入占比不断提升，订单快速增长。12英寸碳化硅衬底加工中试线通线，可兼容导电&半绝缘型。9月26日，首条12英寸碳化硅衬底加工中试线在晶盛机电子公司浙江晶瑞SuperSi...,买入,2025-09-28
东方证券-彩讯股份-300634-AI全栈体系加速形成，智算业务开始放量-250928,"事件：
　　公司发布中报，2025H1收入9.20亿元，较上年同期上升17.7%，归母净利润1.35亿元，增长14.7%，扣非归母净利1.07亿元，下降12.8%；单Q2来看，...",买入,2025-09-28
天风证券-新特电气-301120-前瞻布局数据中心等新行业，打开新增量可期-250928,公司基本情况：公司成立于1985年，主要产品包括以变频用变压器为核心的各式特种变压器、电力变压器、电抗器、储能系列产品。变频器客户包括1）国际：施耐德（利德华福）、ABB、西门...,买入（首次）,2025-09-28
东方证券-爱柯迪-600933-收购卓尔博，将在汽车+机器人业务上形成协同效应-250928,"事件：公司完成卓尔博股权过户手续。
　　卓尔博收购完成，有望与公司形成“汽车+机器人”协同。公司拟通过发行股份及支付现金购买资产并募集资金方式完成卓尔博71%股权收购，交易价格...",买入,2025-09-28
天风证券-亚辉龙-688575-国内业绩短期承压，海外业务维持高增-250928,"事件：
　　8月25日，公司发布2025年半年报。2025年H1，公司实现营业收入8.08亿元，同比下降15.79%；归母净利润2626.93万元，同比下降84.82%，扣非净...",买入,2025-09-28
天风证券-华谊集团-600623-归母净利润同比上行，多项目完成投产-250928,事件：华谊集团发布2025年中报，上半年实现营业收入240亿元，同比-2.52%，实现归母净利润4.88亿元，同比+1.5%，实现扣非归母净利润4.03亿元，同比+3.51%。...,买入,2025-09-28
光大证券-石化油服-600871-降本增效与深化转型并进，全产业链油服龙头未来可期-250928,公司是国内一体化全产业链油服领先企业。公司拥有丰富的项目执行和经营经验。公司主营地球物理、钻井工程、测录井、井下特种作业和工程建设五大业务板块，涵盖了从勘探、钻井、完井、油气生...,增持,2025-09-28
天风证券-泽璟制药-688266-2025H1业绩符合预期，多抗平台有望持续兑现-250927,"事件：
　　公司发布2025年半年度业绩。2025H1，收入3.76亿元，同比增长56%；归母净亏损0.73亿元，同比增亏9.4%
　　在研项目ZG006、ZG005多项适应症...",买入,2025-09-28
天风证券-科兴制药-688136-2025H1早研管线发力，外销持续增长-250927,"事件
　　公司实现营业收入7亿元，同比下降7.82%，主要系国内集采因素影响，公司实现净利润0.8亿元，同比增长576.45%，扣非净利润0.45亿元，同比增长110.30%。...",买入,2025-09-28
天风证券-艾迪药业-688488-2025H1扭亏为盈，HIV上市产品积极放量，HIV在研管线持续丰富-250927,"事件
　　公司发布2025年半年报，2025H1营业收入为3.62亿元，同比增长100.19%；归母净利润919万元，同比扭亏为盈；扣非归母净利润为-511万元，亏损大幅收窄。...",买入,2025-09-28
天风证券-烽火通信-600498-拟回购股份彰显未来发展信心，各领域持续推进保持行业竞争力-250927,"事件：公司发布《关于以集中竞价方式回购股份的预案》。公司计划使用自有资金或自筹资金，以不低于人民币7,500万元（含）、不超过人民币15,000万元（含）的总金额，通过集中竞价...",增持,2025-09-28
中邮证券-三人行-605168-广告主业稳健修复，切入算力赛道培育新增长点-250928,"事件回顾
　　2025年8月29日，公司发布2025年半年报，2025H1，公司实现营业收入16.57亿元，同比下降13.36%；归母净利润1.44亿元，同比增长10.83%；...",增持（首次）,2025-09-28
东方证券-万业企业-600641-铋加工业务增收增利，半导体设备核心零部件获赋能-250928,开展铋材料加工业务，实现增收增利。全资子公司安徽万导已成为先导科技集团旗下唯一的铋金属深加工及化合物产品的平台。25年上半年，公司铋业务实现销售收入5.25亿元，占总营收的75...,增持,2025-09-28
