研报标题,摘要,评级,分享时间
东吴证券-唯捷创芯-688153-射频产业深度变革加速，技术突破与市场拓展显著-250923,射频行业在2025年将呈现显著增长与深刻变革：市场空间方面，中研普华产业研究院报告预测2025年全球射频前端市场规模将突破300亿美元，其中中国因5G基站建设的驱动，需求占比超...,买入,2025-09-23
东吴证券-卓胜微-300782-L~PAMiD国产替代提速，成长空间加速释放-250923,射频行业展现显著增长与深刻变革：市场空间方面，中研普华产业研究院的报告预测2025年全球射频前端市场规模将突破300亿美元，其中中国因5G基站建设的驱动，需求占比超过40%。行...,买入,2025-09-23
国金证券-豫园股份-600655-核心商圈“再造”，品牌出海贡献增量-250923,"公司简介
　　公司是东方美学品牌IP商业化运营的代表，以豫园商城与东方美学品牌为核心，覆盖多元消费业态。25H1消费产业运营、商业综合运营与物业综合服务、地产开发销售三大业务收...",增持（首次）,2025-09-23
太平洋证券-天秦装备-300922-深耕装备防护领域，受益弹药产业链高景气-250923,"报告摘要
　　国内装备防护领域龙头企业，产品应用覆盖多军兵种。天秦装备主要从事以高分子材料、树脂基复合材料、金属材料制品的新型加工和应用技术为核心的专用防护装置及装备零部件的研...",买入,2025-09-23
东方证券-沪农商行-601825-25H1财报点评：营收增速改善，资产质量平稳-250923,营收增速边际改善，利润维持正增长。截至25H1，沪农商行营收、PPOP、归母净利润增速（累计同比增速，下同）分别为-3.4%/-1.9%/+0.6%，较25Q1+4.0pct、...,买入,2025-09-23
天风证券-东阿阿胶-000423-现金流改善，外延拓展步伐持续推进-250923,"事件
　　2025H1，公司实现营业收入30.51亿元，同比增长11.02%；归母净利润8.18亿元，同比增长10.74%；2025Q2单季度实现营业收入13.32亿元，同比增...",买入,2025-09-23
开源证券-长江能科-920158-北交所新股申购报告：电脱设备隐形冠军，炼化一体化驱动订单放量-250923,"能源化工专用设备“小巨人”，电脱产品推陈出新
　　长江能科是一家专注于能源化工专用设备的设计、研发、制造和服务的国家级专精特新“小巨人”企业。公司在电脱设备市场的占有率均位居国...",,2025-09-23
天风证券-美格智能-002881-业绩持续快速增长，端侧AI驱动未来成长-250923,"事件：
　　公司发布2025年半年度报告，25H1实现营业收入18.86亿元，同比增长44.50%，实现归母净利润0.84亿元，同比增长151.38%，实现扣非后归母净利润0....",增持,2025-09-23
华源证券-上海谊众-688091-紫杉醇胶束有望加速放量，PD1三抗提供较大向上弹性-250923,创新转型加速推进，管线持续丰富。上海谊众成立于2009年9月，核心商业化产品“注射用紫杉醇聚合物胶束”进入加速放量阶段（医保放量+适应症拓展+产能释放），且积极拓展适应症。此外...,买入（首次）,2025-09-23
天风证券-润泽科技-300442-机柜规模快速扩张下半年有望业绩加速，IDC+液冷+AIDC领先！-250923,"事件：
　　公司发布2025半年报，25H1实现营业收入24.96亿元，同比增长15.31%；实现归母净利润8.82亿元，同比下滑8.73%。实现扣非净利润8.78亿元，同比下...",买入,2025-09-23
天风证券-奥飞数据-300738-EBITDA同比高增，资源充沛扩张能力突出-250923,"事件：
　　奥飞数据公布2025年半年报公司实现营业收入为11.48亿元，同比增加8.20%，归母净利润为8789.69万元，同比增加16.09%；扣非净利润8643.63万元...",增持,2025-09-23
天风证券-移远通信-603236-上半年业绩亮眼高增，AI+车载布局持续发力！-250923,"事件：
　　公司发布2025年半年度报告，上半年实现营业收入115.46亿元，同比增长39.98%；实现归母净利润4.71亿元，同比增长125.03%；实现扣非净利润4.51亿...",增持,2025-09-23
华西证券-水晶光电-002273-一站式光学解决方案专家，AR打造增长新引擎-250923,"深耕光学多年，多元化布局打造三大成长曲线
　　水晶光电成立于2002年，2008年于深交所上市。公司自成立以来，以薄膜光学、光学冷加工、半导体光学、光学系统设计等核心技术为轴，...",买入（首次）,2025-09-23
西南证券-全志科技-300458-专注SoC+技术领先，多点布局静待绽放-250922,"事件：公司发布2025年半年报，上半年实现收入13.4亿元，同比+25.8%，实现归母净利润1.6亿元，同比+35.4%。
　　下游多领域需求回暖，收入盈利能力改善。1）营收端...",买入（首次）,2025-09-23
中邮证券-中芯国际-688981-拟收购中芯北方少数股权，盈利能力逐步增强-250923,"投资要点
　　拟收购中芯北方少数股权，盈利能力逐步增强。公司拟向国家集成电路基金、集成电路投资中心、亦庄国投、中关村发展、北京工投发行股份购买其所持有的中芯北方49.00%股权...",买入,2025-09-23
西南证券-瑞芯微-603893-各线高速增长，拥抱AIoT 2.0新时代-250922,"事件：公司发布2025年半年报，上半年实现收入20.5亿元，同比+63.9%，实现归母净利润5.3亿元，同比+190.6%。
　　多产品线拓展放量，公司业绩高速增长。1）营收端...",买入（首次）,2025-09-23
太平洋证券-澜起科技-688008-深度报告：全球内存接口芯片龙头，AI运力芯片构筑增长新曲线-250919,全球数据处理及互连芯片设计龙头，平台化布局不断深化。公司深耕行业二十年，为DDR2至DDR5时代内存接口芯片核心供应商，在DDR5子代迭代中持续保持领先地位。同时，公司紧随算力...,买入,2025-09-23
