研报标题,摘要,评级,分享时间
国信证券-上声电子-688533-单二季度收入同比增长14%，车载声学系统产品持续放量-250914,2025Q2上声电子实现营收7.3亿元，同比增长14.0%。公司2025H1实现营业收入13.67亿元，同比增长10.35%，归母净利润0.85亿元，同比减少23.96%。拆单...,优于大市,2025-09-14
西南证券-司南导航-688592-高精度上游引领者，新兴业务加速布局-250908,事件：司南导航发布2025年中报。上半年公司营业总收入为1.71亿元，较去年同报告期营业总收入增加5028.38万元，实现两年连续上涨，同比较去年同期上涨41.82%。归母净利...,,2025-09-14
天风证券-复星医药-600196-自研创新药出海+股权激励出台，看好后续发展-250914,"事件
　　复星医药披露2025H1业绩，其中营业收入195.14亿元（yoy-4.63%）。收入承压，主要受药品集采续标及部分地方集采开展的影响，创新药品收入超43亿元，（yo...",买入,2025-09-14
太平洋证券-扬杰科技-300373-Q2收入单季度新高，海外市场增长显著-250911,事件：公司发布25年中报，25年上半年实现营业总收入34.55亿元，同比增长20.58%；归属母公司股东的净利润6.01亿元，同比增长41.55%；扣除非经常性损益后的归属母公...,买入,2025-09-14
开源证券-锦华新材-920015-北交所新股申购报告：硅烷交联剂细分领域“小巨人”，一体化布局打造循环绿色体系-250913,"精细化学品“小巨人”，一体化布局打造循环绿色体系
　　公司主要从事酮肟系列精细化学品的研发、生产和销售，主要产品包括硅烷交联剂、羟胺盐、甲氧胺盐酸盐、乙醛肟等。公司为国内硅烷交...",,2025-09-14
东方证券-岱美股份-603730-2季度毛利率同环比提升，预计顶棚多项目定点是盈利增长所在-250914,"核心观点
　　受海外工厂火灾影响2季度利润短暂承压，经营性利润整体维稳向上。公司上半年营业收入31.75亿元，同比减少3.4%；归母净利润2.41亿元，同比减少42.6%；扣非...",买入,2025-09-14
天风证券-香飘飘-603711-H1即饮板块贡献核心业绩，全年业绩预计以稳为主-250914,"业绩：2025Q2公司营业收入/归母净利润/扣非归母净利润分别为4.55/-0.79/-0.86亿元（同比：+0.18%/亏损加大/亏损加大）。
　　即饮业务同比增长，冲泡业务...",买入,2025-09-14
天风证券-敏芯股份-688286-业绩创历史新高，实现扭亏为盈，产品矩阵加速完善平台化转型-250914,事件：公司发布2025半年度报告，实现营业收入3.04亿元，同比增长47.82%，创同期历史新高。实现归母净利润2519.08万元，扭亏为盈，同比增长171.65%。实现扣非归...,买入,2025-09-14
天风证券-古井贡酒-000596-降速释压，净利率提升逻辑持续兑现-250914,"业绩：25Q2公司营业收入/归母净利润/扣非归母净利润分别为47.34/13.32/13.15亿元（yoy:-14.23%/-11.63%/-11.81%）。
　　年份原浆占比...",买入,2025-09-14
太平洋证券-九洲集团-300040-深度：装备制造稳步增长，进击的综合能源服务商-250911,"1、专注智能配电网和网络能源，大额减值完成轻装上阵
　　公司专注智能配电网和网络能源，主营可分智能装配制造、新能源发电、综合智慧能源三大业务。智能装配制造业务上，公司保持与国内...",买入（首次）,2025-09-14
华金证券-中研股份-688716-PEEK材料龙头，积极强化应用开拓-250912,"投资要点
　　事件：中研股份发布2025年半年报，2025H1实现营收1.31亿元,同比下降2.10%；归母净利润0.07亿元，同比下降59.89%；扣非归母净利润0.03亿元...",买入（首次）,2025-09-14
海通国际-神州信息-000555-2025年半年报点评：Q2利润大幅减亏，金融软服逆势稳健增长-250909,"投资要点：
　　维持“优于大市”评级。考虑行业整体承压，公司项目回款时长增加，我们调整公司2025-2026年归母净利润预测值为0.79/1.59亿元，新增2027年归母净利润...",优于大市,2025-09-14
海通国际-润和软件-300339-扣非高增，开源鸿蒙、开源欧拉、企业级AI打造新驱动力-250909,"投资要点：
　　目标价76.80元，维持“优于大市”评级。我们预测2025-2027年EPS为0.24/0.28/0.33元，由于公司新拓展发力企业级AI，构建AI全栈技术体系...",优于大市,2025-09-14
海通国际-新国都-300130-2025年半年报点评：短期商户拓新压制业绩，跨境流水增长加速-250909,"投资要点：
　　维持“优于大市”评级。考虑公司短期商户拓新压制业绩，我们调整公司2025-2027年归母净利润预测值为5.89/7.47/9.09亿元，对应EPS预测值为1.0...",优于大市,2025-09-14
华福证券-敏芯股份-688286-2025H1盈利能力大幅提升，压力和惯性产品高速增长，打造MEMS平台型企业显出成效-250914,"事件：
　　2025年8月29日，敏芯股份发布2025年半年报数据显示：2025H1实现营收3.04亿元，同比增加47.82%，创历史新高；实现归母净利润0.25亿元，同比增长...",买入（上调）,2025-09-14
国金证券-盈趣科技-002925-新烟格局生变成长加速，紧抓AI+消费时代新机遇-250912,"投资逻辑
　　公司与PMI、罗技等全球优质客户形成全方位战略合作，智能控制部件、创新消费电子、健康环境及汽车电子等多板块业务融合发展。公司自主创新UDM模式，叠加“大三角+小三...",买入（首次）,2025-09-14
国投证券-安杰思-688581-内镜赛道高成长性国产龙头，外有出海空间、内有集采改善-250914,"安杰思是内镜赛道高成长性国产龙头，新产品看点丰富。
　　目前公司已对内镜耗材领域主要品类实现全面覆盖，包括止血闭合类、EMR/ESD类、活检类、ERCP类和诊疗仪器类，与内镜耗...",买入-A（首次）,2025-09-14
天风证券-金徽酒-603919-营收释放节奏合理，结构持续升级-250913,"业绩：25Q2公司营业收入/归母净利润/扣非归母净利润分别为6.51/0.64/0.58亿元（yoy:-4.02%/-12.78%/-27.25%）。
　　年份系列引领下，结构...",买入,2025-09-13
东方证券-精锻科技-300258-海外产能建设持续推进，完善机器人布局-250913,二季度盈利端短期承压，预计下半年盈利情况将有望改善。公司上半年营业收入9.87亿元，同比减少2.0%；归母净利润0.61亿元，同比减少35.2%；扣非归母净利润0.45亿元，同...,买入,2025-09-13
