分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,财通证券-道通科技-688208-发布中报预告，上半年扣非净利润大增-250707,事件：7月6日晚，道通科技发布2025年半年度业绩预告。公司预计2025年上半年扣非净利润为4.55亿元至4.85亿元，同比增长57.32%至67.69%；预计归母净利润为4....,杨烨，王妍丹,增持,3,2025-07-08,88c****ck,1,2025-07-08 00:14:14,,
投研资讯,环球富盛-东方铁塔-002545-钢结构与钾肥并行，加快推进氯化钾项目扩产-250707,"公司为钢结构与钾肥产业并行的双主业上市公司
　　青岛东方铁塔股份有限公司是一家股份制大型企业，主营钢结构产品业务，其前身青岛东方铁塔公司始建于1982年，1996年组建青岛东方...",庄怀超,买入（首次）,38,2025-07-07,sjt****ei,1,2025-07-08 00:14:14,,
投研资讯,华西证券-麦克奥迪-300341-三大业务并驾齐驱，国资入主稳健发展-250704,"亦庄投资控股上市公司平台，股东实力强劲资源丰富
　　公司早期主要深耕环氧绝缘件领域，2012年于深交所创业板上市，上市后开始通过并购横向拓展业务版图，经2015年及2018年两...",单慧伟,买入（首次）,32,2025-07-07,mei****hn,1,2025-07-08 00:14:14,,
投研资讯,国信证券-利尔化学-002258-半年度业绩同比大幅增长，草铵膦价格有望触底反弹-250707,公司半年度业绩预计增长185.24%-196.00%。利尔化学公布2025年半年度业绩预告，1-6月公司预计实现归母净利润2.65亿元-2.75亿元，同比增长185.24%-1...,杨林,优于大市,6,2025-07-07,Yyoa******ang,1,2025-07-08 00:14:14,,
投研资讯,民生证券-普天科技-002544-公司动态报告：AI+卫星互联网的“国家队”-250707,卫星互联网龙头与“国家队”，持续研发打造自身核心竞争力。公司是中国电子科技集团有限公司控制的国有控股上市企业，以信息通信领域为核心战略布局，业务包括公网通信、专网通信与智慧应用...,吕伟，马天诣，郭新宇,推荐,17,2025-07-07,f**g,1,2025-07-08 00:14:14,,
投研资讯,东吴证券-先惠技术-688155-自动化产线+模组结构件快速放量，牵手清陶布局固态电池设备-250707,辊压机是固态电池前道工艺核心设备，公司联合清陶能源切入固态电池前道设备：与传统液态电池相比，全固态电池工艺变化主要集中在前道和中道环节。前道辊压机用量和性能要求均有所提升，辊压...,周尔双，李文意,增持（首次）,8,2025-07-07,gao****ng,1,2025-07-08 00:14:14,,
投研资讯,东海证券-旷达科技-002516-公司简评报告：汽车内饰主业稳健增长，2024年员工持股首批解锁落地-250707,"投资要点
　　事件：公司发布公告，宣布2024年员工持股计划第一个解锁期届满，36名持有人已达解锁条件，合计可解锁467.06万股，占公司总股本的0.32%。
　　2024年业...",谢建斌,买入,3,2025-07-07,xie****19,1,2025-07-08 00:14:14,,
投研资讯,东吴证券-亨通光电-600487-光通信与能源主业双轮驱动，海缆成长动能十足-250707,"投资要点
　　光通信龙头，海洋通信与能源业务起量促增长。公司成立于1999年，以光纤光缆业务起家。2006年，公司定增募集资金研发光纤预制棒，2010年研发成功实现量产；202...",曾朵红，张良卫，陈海进,买入,44,2025-07-07,86***A,1,2025-07-08 00:14:14,,
投研资讯,中邮证券-物产环能-603071-热电联产价值外延，新能源持续布局熔盐储能技术-250707,"投资要点
　　物产环能是浙江省属国企，从煤炭流通到环保能源综合服务商。公司最早可追溯于1950年成立的中国煤建公司杭州办事处；1985年，浙江省燃料公司成立；2021年上交所主...",杨帅波,买入（首次）,18,2025-07-07,mly****ll,1,2025-07-08 00:14:14,,
投研资讯,华福证券-豪悦护理-605009-制造强者品牌启新章-250707,"投资要点：
　　吸收性卫生用品制造龙头，自主品牌加快布局。公司是国内个人卫生护理用品领域领先的制造商，产品涵盖婴儿纸尿裤、成人纸尿裤、经期裤、卫生巾、湿巾等一次性卫生用品。公司...",李宏鹏，李含稚,买入（首次）,14,2025-07-07,gal****y2,1,2025-07-08 00:14:14,,
