分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,东方证券-领益智造-002600-全方位布局机器人产业，目标成为全球领先具身智能硬件制造企业-250629,发布“三位一体”机器人布局战略，从消费电子精密制造迈向机器人硬件引领者。公司近期举办机器人战略发布会，未来公司将通过核心零部件研发、全方位硬件服务及完备的工业应用场景开发，打造...,韩潇锐，蒯剑，薛宏伟,买入,5,2025-06-29,guf****82,1,2025-06-29 17:04:32,,
投研资讯,东吴证券-小商品城-600415-公司换帅董事长另有重任、公司重点战略地位不变，自上而下持续重点支持-250630,"投资要点
　　事件：6月27日公司公告，董事会于近日收到王栋先生提交的书面辞职报告，因组织上工作安排的原因，王栋先生辞去公司董事长、董事、董事会战略与ESG委员会主任委员职务。...",吴劲草，阳靖,买入,3,2025-06-29,mie****la,1,2025-06-29 17:04:32,,
投研资讯,天风证券-甬矽电子-688362-先进封装深度布局，受益 AI+浪潮业绩扬帆起航-250629,甬矽电子成立于2017年，专注深耕集成电路先进封装和测试业务，同时在业绩方面增速凸显。业务方面：公司构建起丰富产品矩阵，涵盖FC类、SiP、晶圆级封装、QFN/DFN及MEMS...,潘暕，李泓依,买入（首次）,20,2025-06-29,Daxi******jia,1,2025-06-29 17:04:32,,
投研资讯,民生证券-若羽臣-003010-动态报告：情绪消费时代的悦己小确幸-250629,若羽臣：国内领先的全球消费品品牌数字化管理公司，积极拓展自有品牌。若羽臣于2011年在广州成立，为国内首批代运营公司。公司业务从代运营起家逐步实现向品牌管理转型，同时成功孵化出...,解慧新,推荐（首次）,44,2025-06-29,xyz****28,1,2025-06-29 17:04:32,,
投研资讯,华金证券-同宇新材-301630-新股覆盖研究-250628,"投资要点
　　下周二（7月1日）有一只主板新股“同宇新材”申购，发行价格为84元/股、发行市盈率为23.94倍（每股发行价格除以每股收益，每股收益按2024年度经审计的扣除非经...",李蕙,,10,2025-06-29,zhu****i2,1,2025-06-29 17:04:32,,
投研资讯,华金证券-华电新能-600930-新股覆盖研究-250629,"投资要点
　　下周三（7月2日）有一家主板上市公司“华电新能”询价。
　　华电新能（600930）：公司的主营业务是风力发电、太阳能发电为主的新能源项目的开发、投资和运营。公司...",李蕙,,11,2025-06-29,qia****ao,1,2025-06-29 17:04:32,,
投研资讯,中航证券-曼卡龙-300945-差异化珠宝品牌定位，引流黄金年轻化潮流趋势-250626,黄金珠宝新消费引领者，全渠道战略赋能高质量增长。公司始终坚持“每一天的珠宝”品牌定位，聚焦年轻都市女性消费群体，构建了涵盖素金饰品、镶嵌饰品及IP联名产品在内的多元产品体系。依...,裴伊凡，郭念伟,买入（首次）,6,2025-06-29,紫***,1,2025-06-29 17:04:32,,
投研资讯,东吴证券-泸州老窖-000568-理性应对转型阵痛，积极作为抢占机遇-250629,"投资要点
　　事件：公司近日召开2024年度股东大会，会上公司对自身战略考量及周期思考做真诚分享，并就投资者关心问题进行解答，核心要点如下：客观剖析本轮周期，理性应对转型阵痛。...",苏铖，孙瑜,mr,3,2025-06-29,wul****rs,1,2025-06-29 17:04:32,,
投研资讯,华鑫证券-三诺生物-300298-公司动态研究报告：业绩符合预期，CGM有望进入加速兑现期-250629,"▌业绩符合预期，市场地位稳固
　　2024年实现营业收入44.43亿元，同比增长9.47%，归母公司净利润3.26亿元，同比增长14.73%；2025年第一季度实现收入10.4...",俞家宁，胡博新,买入（首次）,5,2025-06-29,we***e,1,2025-06-29 17:04:32,,
投研资讯,华鑫证券-纳思达-002180-公司动态研究报告：信创业务不断推进，芯片业务持续创新-250629,"▌业绩有所承压，集成业务业务出货稳步增长
　　2025年第一季度纳思达实现营业收入59.27亿元，同比下降5.79%。归母净利润为0.84亿元，同比下降69.64%，扣非归母净...",任春阳,买入（首次）,5,2025-06-29,醉***,1,2025-06-29 17:04:32,,
