研报标题,摘要,评级,分享时间
华安证券-精智达-688627-半导体设备订单再下一城，技术持续突破把握国产存储扩产时代机遇-250916,"主要观点：
　　精智达发布日常经营重大合同公告，金额3.23亿根据公司9月16日的公告披露，本次签订合同属于深圳精智达技术股份有限公司控股子公司合肥精智达集成电路技术有限公司日...",买入,2025-09-17
山西证券-中际旭创-300308-1.6T上量将进一步提升盈利，光模块全球最佳交付者地位不变-250917,"事件描述
　　公司发布2025年半年报。2025年半年度，公司实现营收147.9亿元，同比+37.0%；实现归母净利润40.0亿元，同比+69.4%。单Q2来看，公司实现营收8...",买入-A,2025-09-17
华安证券-鼎龙股份-300054-Q2盈利能力持续提升，新业务布局打开成长空间-250917,"事件：鼎龙股份发布2025年半年度报告
　　公司25H1实现营业收入约17.3亿元，同比增长约14.0%；实现归母净利润约3.1亿元，同比增长约42.8%；实现毛利率49.2%...",买入,2025-09-17
华源证券-康冠科技-001308-中期分红彰显经营信心，持续强化AI布局-250917,康冠科技公布2025年中报：2025年上半年，公司实现营收69.35亿元，同比增长5.06%，实现归母净利润3.84亿元，同比下滑6.03%，公司经营活动产生的现金流量净额为8...,买入,2025-09-17
东方证券-九州通-600998-2025年中报点评：经营稳健向上，加快转型升级-250917,事件：25H1公司实现收入811.1亿元，同比+5.1%，归母净利润14.5亿元，同比+19.7%，经营性净现金流-28.2亿元，较上年同期增加3.8亿元，主要系加大应收账款清...,买入,2025-09-17
东方证券-万科A-000002-经营承压，关注后续股东资金支持-250916,"核心观点
　　结算规模收缩、低毛利率叠加计提减值影响业绩，预计公司短期内结算毛利率或较难有明显改善。2025H1实现营业收入1053.2亿，同比下降26.2%，归母净利-119...",增持（下调）,2025-09-17
东方证券-诺唯赞-688105-2025年中报点评：业绩承压，新品及海外蓄势突破-250916,"核心观点
　　业绩承压，长期向好。25H1公司实现营收6.06亿元（同比-6.6%），归母净利润0.03亿元（同比-80.6%），扣非归母净利润-0.33亿元（同比-116.7...",买入,2025-09-17
东方证券-兴齐眼药-300573-2025年中报点评：业绩高增，低阿加速放量-250916,"核心观点
　　业绩高增，盈利能力大幅提升。25H1公司实现营收11.63亿元（同比+30.4%），归母净利润3.35亿元（同比+97.8%），扣非归母净利润3.31亿元（同比+...",增持,2025-09-17
天风证券-麦加芯彩-603062-上半年业绩同比高增，船舶涂料实现销售突破-250916,事件：麦加芯彩发布2025年半年报，上半年实现营业收入8.88亿元，同比+17.1%；归母净利润为1.10亿元，同比+48.8%；扣非净利润为0.95亿元，同比+56.4%。2...,买入,2025-09-16
国信证券-龙芯中科-688047-上半年收入增长11%，电子政务及安全应用工控市场逐步复苏-250916,上半年营业收入同比增长10.9%，归母净利润亏损略有扩大。公司发布2025年半年度报告，上半年营收2.44亿元(YoY 10.90%)，归母净利润-2.94亿元(较上年同期多亏...,优于大市,2025-09-16
天风证券-农业银行-601288-农业银行的故事：股票篇-250916,2025年以来，农业银行成为A股上市银行里一颗“闪亮的明珠”，截至9月9日年内涨幅高达40%，并一度夺得总市值冠军宝座。农业银行在A股市场拔得头筹并非偶然，而是经营价值被市场广...,买入,2025-09-16
国信证券-豪威集团-603501-上半年净利润同比增长48%，车载及新兴市场增速提升显著-250916,上半年营业收入同比增长15.4%，归母净利润同比增长48.3%。公司发布2025年半年度报告，上半年营业收入139.56亿元(YoY 15.42%)，主要系应用于汽车智能驾驶、...,优于大市,2025-09-16
东方证券-青岛啤酒-600600-盈利能力再提升，结构升级仍在途中-250916,"核心观点
　　Q2单季归母净利率创近年新高，毛利率同比亦高增。25Q2公司归母净利率达到22.3%，同比+1.1pct，单二季度归母净利率创近年来新高。其中，主要驱动因素在毛利...",买入,2025-09-16
天风证券-江瀚新材-603281-25Q2受行业景气影响产销小幅走弱，毛利率环比修复-250916,事件：江瀚新材发布2025年半年报，上半年实现营业收入9.45亿元，同比-19.5%；归属于母公司股东的净利润2.10亿元，同比-32.6%。按3.73亿股总股本计，实现每股收...,买入,2025-09-16
东方证券-迈威生物-688062-2025年中报点评：商业化突破在即，BD接连落地-250916,"核心观点
　　地舒增长加速，多品种放量可期。25H1公司实现营收1.01亿元（同比-12.4%），其中地舒单抗销售收入1.00亿元（同比+51.59%），归母净利润-5.51亿...",增持,2025-09-16
华源证券-中宠股份-002891-顶尖制造品质的“能力土壤”上，正长出“品牌之树”-250916,宠物经济蓬勃发展，宠物食品品牌的角逐正在进入下半场。宠物主粮作为其中消费频次最高、普及性最广的品类，对产品的安全性、稳定性有较高的要求，且切换产品需要过渡期，因此宠物主粮具有较...,买入（首次）,2025-09-16
光大证券-精工钢构-600496-跟踪点评报告：25H1钢结构销量同比快速增长，现金流收现比同比改善-250916,事件：精工钢构发布2025年中报。25H1，公司实现总营收/归母净利润/扣非净利润分别为99亿元/3.5亿元/3.0亿元，同比+29%/+28%/+23%；25Q2，公司实现总...,买入,2025-09-16
华金证券-泽宇智能-301179-发力电力AI领域研发，参建国网项目提升行业地位-250915,事件：公司发布2025年半年报，25H1实现营业收入4.04亿元，同比-24.80%；实现归母净利润0.35亿元，同比-66.27%；实现扣非归母净利润0.03亿元，同比-95...,买入（首次）,2025-09-16
华金证券-盟固利-301487-25Q2业绩扭亏为盈，实现前瞻材料突破-250915,"投资要点
　　事件：公司发布2025年半年报。上半年实现营业收入10.18亿元，同比+23.19%；归母净利润303.84万元，同比-60.87%；扣非后归母净利润183.90...",增持（首次）,2025-09-16
华金证券-沃特股份-002886-业绩显著增长，项目建设和研发逐步落地，深化高分子新材料平台战略-250914,"事件：沃特股份发布2025年半年报，2025年上半年实现营收9.06亿元,同比增长12.29%；归母净利润0.18亿元，同比增长23.94%；扣非归母净利润0.12亿元，同比增...",买入（首次）,2025-09-16
华金证券-利安隆-300596-25Q2业绩同环比增长，抗老化助剂稳健，润滑油添加剂量利齐升-250913,事件：利安隆发布2025年半年报，2025H1公司实现营收29.95亿元，同比增长6.21%；归母净利润2.41亿元，同比增长9.60%；扣非归母净利润2.36亿元，同比增长1...,增持,2025-09-16
国信证券-洲明科技-300232-上半年净利润同比增长20.6%，推动“LED+AI”全面渗透-250916,上半年营业收入同比增长7.4%，归母净利润同比增长20.6%。公司发布2025年半年度报告，上半年实现营业收入36.58亿元(YoY 7.38%)，归母净利润1.21亿元(Yo...,优于大市,2025-09-16
天风证券-青岛啤酒-600600-中高档销量比重增长，成本优化驱动盈利提升-250916,【业绩总结】2025H1公司实现营业收入204.9亿元（同比+2.1%）；实现归母净利润39.0亿元（同比+7.2%）；2025Q2公司实现营业收入100.46亿元（同比+1....,买入,2025-09-16
华西证券-煌上煌-002695-主业利润改善，收购立兴进军冻干食品-250915,"上半年成本下降+费用优化推动利润改善
　　公司上半年实现营业收入9.84亿元，同比下降7.19%；归母净利润7691.99万元，同比增长26.90%；扣非净利润增幅达40.27...",买入（首次）,2025-09-16
长城证券-亿纬锂能-300014-技术为先，以产品力驱动出海之路-250916,事件：9月8日-12日，亿纬锂能亮相2025年德国国际汽车及智慧出行博览会（IAAMOBILITY 2025)，重点展示了大圆柱电池及系统、低压电池系统、机器人及低空经济电池等...,增持,2025-09-16
华源证券-潮宏基-002345-推进H股发行上市，有望加速全球化进程-250916,潮宏基发布公告--公司向香港联交所递交境外上市股份（H股）发行上市申请并刊发申请资料。根据公告，潮宏基已于2025年9月12日向香港联交所递交了发行境外上市股份（H股）并在香港...,增持,2025-09-16
长城证券-阿科力-603722-聚醚胺行业处于底部，公司业绩短期承压，看好COC产品未来逐步放量-250916,事件：2025年8月27日，阿科力发布2025年半年报，公司2025年上半年收入为2.14亿元，同比下降11.63%；归母净利润为-0.05亿元，同比下降367.84%；扣非归...,买入,2025-09-16
