分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,华鑫证券-耐普矿机-300818-公司事件点评报告：合同订单稳步推进，参股矿山值得期待-250705,"事件
　　耐普矿机于2025年6月30日发布签订日常经营重大合同公告：合同金额合计1,885.25万美元（不含税，折合人民币约13,517.23万元）。耐普矿机于2025年与哈...",尤少炜,买入,5,2025-07-05,as***y,1,2025-07-05 21:03:58,,
投研资讯,华鑫证券-孩子王-301078-公司事件点评报告：坚持“三扩”战略，内生外延双轮驱动-250705,"事件
　　2025年7月1日，孩子王发布2025年半年度业绩预告。2025H1预计归母净利润1.20-1.60亿元（同增50%-100%），扣非净利润0.96-1.20亿元亿元...",孙山山,买入（首次）,5,2025-07-05,hen****qh,1,2025-07-05 21:03:58,,
投研资讯,天风证券-匠心家居-301061-重新定义制造成长逻辑-250705,"创新能力打开成长空间
　　电动沙发作为成熟度逐渐提高的功能品类，表面看似“创新空间有限”。但实际上围绕用户体验、技术集成、生活场景和健康功能，仍存在广阔的创新空间。真正竞争力来...",孙海洋,买入,4,2025-07-05,何**东,1,2025-07-05 21:03:58,,
投研资讯,华西证券-稳健医疗-300888-棉柔巾及奈丝公主共振，线上发力弯道超车-250704,"投资建议
　　我们分析，公司前期股价下跌主要受到315事件对棉柔巾和卫生巾的扰动影响，但我们认为公司基于医用背书、在棉花方面的产品优势、通过线上发力实现弯道超车的趋势不变，继续...",唐爽爽，李佳妮,买入,22,2025-07-05,ypy****11,1,2025-07-05 21:03:58,,
投研资讯,天风证券-锐捷网络-301165-AI时代的网络先锋-250704,"行业领先的网络解决方案设备商
　　锐捷网络成立于2003年，在全球拥有8大研发中心，业务覆盖100多个国家和地区，助力各行业客户实现数字化转型和价值升级。公司主要聚集网络设备、...",王奕红，康志毅，唐海清,增持（首次）,24,2025-07-04,GTI****12,1,2025-07-05 21:03:58,,
投研资讯,国金证券-分众传媒-002027-公司深度研究：收购扩渠道，携手支付宝打通转化链路，看好后续增长-250704,"投资逻辑
　　1、收购新潮传媒的影响：完成后公司将从3方面受益。1）二者点位、覆盖人群重合度低，满足的客户需求也有差异，收购整合完成后，更能满足广告主多样化需求。公司点位覆盖全...",易永坚,买入,18,2025-07-04,zyd****11,1,2025-07-05 21:03:58,,
投研资讯,环球富盛-亚钾国际-000893-受益于钾肥价格上涨，未来产能持续扩张-250704,"公司专注钾肥业务
　　亚钾国际成立于1998年，专注于钾盐矿开采、钾肥生产及销售业务。公司秉承“资源、规模、创新”发展理念，以“打造世界级钾肥供应商”为战略目标，以“一年新增一...",庄怀超,买入,41,2025-07-04,y**t,1,2025-07-05 21:03:58,,
投研资讯,国信证券-江丰电子-300666-靶材实现国产化供应链，零部件打开第二成长曲线-250704,1Q25营收同比增长29.53%，归母净利润同比增长163.58%。公司2025年第一季度实现营收10.00亿元(YoY +29.53%，QoQ +2.11%)，归母净利润1....,胡剑，胡慧，叶子,优于大市,14,2025-07-04,xi***d,1,2025-07-05 21:03:58,,
投研资讯,东方证券-劲仔食品-003000-魔芋等创新产品上新提速，胖东来验证健康标签-250704,产能项目推进节奏调整，不改募投方向与整体规划。劲仔食品近日公告，公司“湘卤风味休闲食品智能生产项目”达到预定可使用状态的日期由2025年6月延期至2025年12月，已投入募集资...,谢宁铃,买入,5,2025-07-04,lia****jz,1,2025-07-05 21:03:58,,
投研资讯,环球富盛-三维化学-002469-“工程+化工”同步发展，积极扩展醋酸丁酸纤维素产品-250704,公司“工程+化工”同步发展。山东三维化学集团股份有限公司成立于1994年11月，于2010年9月在深圳证券交易所上市。公司是一家集化工石化技术和产品研发、工程技术服务、催化剂及...,庄怀超,,3,2025-07-04,sun****71,1,2025-07-05 21:03:58,,
投研资讯,太平洋证券-华峰测控-688200-发布股权激励计划，彰显公司业绩高增长信心-250703,"事件：公司发布《2025年限制性股票激励计划（草案）》拟向激励对象授予88.80万股限制性股票，约占本激励计划草案公告时公司股本总额13,553.3225万股的0.66%。其中...",张世杰，罗平,买入,5,2025-07-04,ali****ai,1,2025-07-05 21:03:58,,
投研资讯,中航证券-三晖电气-002857-机器人商业化先锋，引领康养产业智能升级-250629,"报告摘要
　　◆储能已成第一主业，切入机器人赛道
　　三晖电气成立于1996年，经过多年的发展，依托电能表检定核心环节的技术优势，形成了电能表标准检测设备、电能表自动化流水线型...",刘牧野,买入（首次）,12,2025-07-04,hel****me,1,2025-07-05 21:03:58,,
投研资讯,中航证券-浙数文化-600633-AI战略加速落地，数字产业多点开花-250701,"◆“文化+科技”战略引领数字经济布局，AI赋能驱动产业创新升级。
　　公司坚定实施“传媒控制资本、资本壮大传媒”的发展理念“1335”战略行动方案，聚焦“数字文化+”、“数字技...",裴伊凡，郭念伟,买入（首次）,6,2025-07-04,慕**昊,1,2025-07-05 21:03:58,,
投研资讯,山西证券-大全能源-688303-在手现金充裕，供给侧改善预期增长-250704,"事件描述
　　7月1日，中央财经委员会第六次会议召开，会议强调纵深推进全国统一大市场建设，要聚焦重点难点，依法依规治理企业低价无序竞争，引导企业提升产品品质，推动落后产能有序退...",肖索，贾惠淋,买入-B（首次）,5,2025-07-04,wu***i,1,2025-07-05 21:03:58,,
投研资讯,财通证券-吉贝尔-688566-独家品种迅速放量，创新药即将上市-250703,公司营运稳定，创新药布局初见成效：公司创立于2001年，核心品种利可君片2007年获得专利授权，依托该核心品种，公司营业收入处于长期增长趋势。与此同时公司提高运营效率，销售费用...,华挺,增持（首次）,26,2025-07-04,sa***v,1,2025-07-05 21:03:58,,
投研资讯,东方证券-技源集团-603262-主板投资价值研究报告：营养原料行业的龙头企业之一-250623,预计全球膳食营养补充行业市场稳定增长，细分产品中HMB增速较快，公司通过产能扩张及拓展新客户有望持续提升业绩。随着人们健康意识提升，叠加老龄化趋势，全球膳食营养补充行业市场有望...,谢宁铃,,78,2025-07-04,ivy****12,1,2025-07-05 21:03:58,,
投研资讯,国投证券-长川科技-300604-业绩预增亮眼，各产品线订单放量加速-250704,"事件：2025年6月25日，公司公告2025年中报业绩预告
　　25H1公司业绩表现亮眼，预计实现归母净利润3.6-4.2亿元，同比增长67.5%-95.5%；扣非归母净利润2...",马良,买入-A,5,2025-07-04,122****23,1,2025-07-05 21:03:58,,
投研资讯,东莞证券-胜宏科技-300476-深度报告：乘AI东风，业绩加速释放-250704,乘AI东风，业绩加速释放。公司多年来始终深耕PCB的研发、生产和销售，产品包括刚性电路板（多层板和HDI为核心）、柔性电路板（单双面板、多层板、刚挠结合板）全系列。今年Q1受益...,罗炜斌，陈伟光,买入,16,2025-07-04,pan****01,1,2025-07-05 21:03:58,,
投研资讯,中航证券-宇信科技-300674-经营业绩稳健，创新拓展边界-250702,"◆近年来经营业绩维持稳健，银行金融科技市场地位领先
　　公司以金融机构数字化转型需求为核心，主要围绕银行、非银金融机构及海外金融市场三大客户群体，提供咨询规划、软件开发及服务、...",卢正羽，刘牧野,买入（首次）,6,2025-07-04,1390******531,1,2025-07-05 21:03:58,,
投研资讯,群益证券-中微公司-688012-先进制程产能扩张将利好核心设备企业-250704,"结论与建议：
　　伴随中美贸易摩擦升级，先进制程的产能问题已经成为制约中国AI产业发展的最核心问题，因此我们预计2H25开始，中国政府会有更多资金、政策向包括光刻机、EDA工具...",朱吉翔,买进,3,2025-07-04,yan****36,1,2025-07-05 21:03:58,,
投研资讯,华安证券-阳光诺和-688621-STC007达成授权合作，重视创新管线资产价值-250703,"事件概述
　　7月2日公司发布公告，公司与上海乐旷惠霖医药科技有限公司于近期就共同开发STC007（镇痛适应症）达成合作并签署相应的《技术开发（合作）合同》，里程碑付款累计总金...",谭国超,买入,4,2025-07-04,le_****ng,2,2025-07-05 21:04:00,,
投研资讯,民生证券-上汽集团-600104-系列点评十一：2025H1销量表现亮眼，自主+出口驱动增长-250704,事件概述：公司发布6月产销快报，2024年6月上汽集团批发销售36.5万辆，2025上半年205.3万辆，同比+12.4%。分品牌看：6月上汽大众销量9.3万辆，2025上半年...,崔琰,推荐,4,2025-07-04,cct****ll,2,2025-07-05 21:04:00,,
投研资讯,海通国际-鼎捷数智-300378-AI峰会“破界生长”，启幕数智新战略-250626,"投资要点：
　　投资建议：维持“优于大市”评级，维持目标价46.70元。我们预计公司2025-2027年EPS分别为0.72 / 0.90 /1.14元（25-26年原预测0....",Lin Yang，Liang Song,优于大市,11,2025-07-04,gt***k,2,2025-07-05 21:04:00,,
投研资讯,华泰金融控股（香港）-华润三九-000999-巩固有机基础，拓展业务发展（英译中）-250627,医药行业的领先者，华润三九专注于化学制药（CHC）业务，同时通过收购科宝药业和天士力，提升在老年医疗保健和中医药创新领域的布局。我们相信其CHC业务凭借品牌和渠道优势，展现出强...,戴文，唐启雷,增持,7,2025-07-04,to***0,2,2025-07-05 21:04:00,,
