分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,国信证券-工业富联-601138-预告上半年利润增长36.8%~39.1%，云计算业务营收持续高增-250708,"核心观点
　　初步核算2025年上半年归母净利润同比增长36.84%至39.12%。公司发布2025年半年度业绩预告，初步核算2025年上半年归母净利润119.58-121.5...",胡剑，胡慧，叶子,优于大市,6,2025-07-08,flo****ye,1,2025-07-08 10:05:24,,
投研资讯,开源证券-芭薇股份-837023-北交所信息更新：研发+检测双轮驱动，海外蓝海打开ODM龙头增长空间-250708,"2025Q1：营收1.62亿元，同比+40%，归母净利润862万元，同比+9%
　　公司发布2024年报与2025年一季报，2024年，公司实现营收6.95亿元，同比增长48....",诸海滨,增持,4,2025-07-08,1375******571,1,2025-07-08 10:05:24,,
投研资讯,群益证券-兆威机电-003021-公司发布新一代灵巧手，积极推进生态建设-250708,事件：近期公司发布新一代灵巧手ZWHAND，聚焦具身智能的各种应用场景。其中，DM17采用直线电机直驱解决方案，主动自由度为17，四指指尖压力5-12N，通讯接口丰富；LM06...,赵旭东,买进,3,2025-07-08,llg****89,1,2025-07-08 10:05:24,,
投研资讯,群益证券-贵州茅台-600519-销售公司完成上半年经营任务，转变思路，提升服务质量-250708,"结论与建议：
　　事件概要：
　　7月7日，茅台酒销售公司召开半年市场工作会，透露完成上半年既定经营任务。
　　点评：
　　预计Q2业绩平稳。25Q1公司营收同比增10.7%，...",顾向君,区间操作,3,2025-07-08,you****05,1,2025-07-08 10:05:24,,
投研资讯,群益证券-工业富联-601138-AI需求高速增长，2Q25业绩超预期-250708,"结论与建议：
　　受惠于AI云端产品拉货动能强劲，公司1H25净利润增长近4成，创历史新高。长期来看，公司在工业互联网、5G、AI等领域优势明显。得益于海外AI投资的快速推进，...",朱吉翔,买入,2,2025-07-08,sara******111,1,2025-07-08 10:05:24,,
投研资讯,长城证券-煌上煌-002695-数字化赋能营销和产品端，并购预期有望打开新增长曲线-250707,事件：5月24日，“破界·向新而生”煌上煌2025年全国营销峰会隆重召开，会上明确了“向善、守正、敬业、利他”的核心理念，提出六大升级路径（品牌觉醒、商品革新、业态裂变等），并...,刘鹏，袁紫馨,买入,4,2025-07-08,luy****57,1,2025-07-08 10:05:24,,
投研资讯,长城证券-金禾实业-002597-三氯蔗糖行业领先企业之一，随产品价格上行，公司业绩开始改善，静待新产能逐步放量-250707,点评：公司居三氯蔗糖行业前列，龙头优势凸显。甜味剂作为食品添加剂的重要组成部分，伴随全球健康消费趋势深化，需求进入新阶段。人工甜味剂凭借稳定性和高性价比，在食品工业中维持基础地...,刘鹏，肖亚平,买入,5,2025-07-08,bl***3,1,2025-07-08 10:05:24,,
投研资讯,长城证券-佐力药业-300181-研发实力获权威认证，安全性驱动科室拓展-250707,"事件：6月20日，在“2025 PDI医药研发·创新大会”上，佐力药业荣登“2025中国中药研发实力前50强”榜单，位列第27位，彰显公司在中药研发领域的深厚积累与持续突破。
...",刘鹏，袁紫馨,买入,4,2025-07-08,je***n,1,2025-07-08 10:05:24,,
投研资讯,长城证券-玲珑轮胎-601966-公司业绩稳步增长，看好塞尔维亚基地产能爬坡及巴西基地建设-250707,事件1：2025年4月24日，玲珑轮胎发布2024年年报。公司2024年收入为220.58亿元，同比上升9.39%；归母净利润为17.52亿元，同比上升26.01%；扣非归母净...,肖亚平,买入,5,2025-07-08,eric******229,1,2025-07-08 10:05:24,,
投研资讯,华鑫证券-道通科技-688208-公司事件点评报告：AI数智能源业务已于Q2实现盈利，华为稀缺合作打开增长空间-250707,"事件
　　道通科技发布2025年半年度业绩预告：实现扣非归母净利润4.55-4.85亿元，同比+57.32-67.69%；实现归母净利润4.6-4.9亿元，同比+19-26.7...",张伟保，任春阳，张涵,买入（首次）,5,2025-07-08,爱一***活,1,2025-07-08 10:05:24,,
