分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,中邮证券-东方雨虹-002271-零售业务保持韧性，期待下半年盈利拐点-250805,"事件
　　公司发布25年半年报，25年上半年实现收入135.7亿元，同比下滑10.8%，实现归母净利润5.6亿元，同比下滑40.2%，其中单Q2实现收入76.1亿元，同比下滑5...",赵洋,买入,5,2025-08-05,zic****44,1,2025-08-05 05:12:00,,
投研资讯,民生证券-禾信仪器-688622-2025年半年报点评：传统主业亏损大幅缩窄，高歌迈进量子计算-250805,禾信仪器发布2025年半年度业绩。2025年8月4日，禾信仪器发布1H25业绩，实现收入0.53亿元，同比下滑48.9%，归母净利润亏损1765万元，较上年同期亏损幅度缩窄20...,吕伟，谢致远,谨慎推荐,3,2025-08-05,pi***5,1,2025-08-05 05:12:00,,
投研资讯,太平洋证券-萤石网络-688475-2025Q2业绩稳健增长，H1海外+智能入户表现优秀-250805,事件：2025年8月1日，萤石网络发布2025年半年报。2025H1公司实现营收28.27亿元(+9.45%)，归母净利润3.02亿元(+7.38%)，扣非归母净利润2.98亿...,孟昕，赵梦菲,买入,5,2025-08-05,hz***6,1,2025-08-05 05:12:00,,
投研资讯,东吴证券-嘉和美康-688246-电子病历龙头，深度拓展AI应用-250804,"投资要点
　　嘉和美康是国内最早从事医疗信息化软件研发与产业化的企业之一，国寿、阿里系参股。公司以电子病历为基础，拓展了医疗临床、运营管理、医疗数据、生命科学等业务板块。业务模...",王紫敬,买入（首次）,17,2025-08-05,jon****ng,1,2025-08-05 05:12:00,,
投研资讯,民生证券-沪光股份-605333-深度报告：国产线束之光，连接器助力成长-250805,智能电动方兴未艾国产线束之光加速替代。沪光股份主要从事汽车线束的研发、制造及销售，产品涵盖整车客户定制化线束、新能源汽车高压线束、仪表板线束、发动机线束、车身线束、门线束、顶棚...,崔琰，杜丰帆,推荐,42,2025-08-05,lxy****97,1,2025-08-05 05:12:00,,
投研资讯,光大证券-九号公司-689009-2025年半年报业绩点评：两轮车经营势能强劲，新兴品类保持高增-250804,"事件：
　　2025H1公司营业总收入117亿元（同比+76%）；归母净利润/扣非归母净利润12/13亿元（同比+108%/+125%）。其中，25Q2实现营收66亿元（同比+...",洪吉然，倪昱婧，周方正,增持,4,2025-08-05,ding******765,1,2025-08-05 05:12:00,,
投研资讯,国信证券-顺络电子-002138-季度营收创历史新高，汽车、算力业务高增-250804,单季度营收创历史新高，手机业务表现超预期。公司1H25年实现营收32.24亿元(YoY +19.80%)，归母净利润4.86亿元(YoY +32.03%)，对应2Q25实现营收...,胡剑，胡慧，叶子,优于大市,5,2025-08-04,wat****94,1,2025-08-05 05:12:00,,
投研资讯,民生证券-禾盛新材-002290-投资熠知电子，实现AI上下游一体化-250804,禾盛新材公告对外投资熠知电子10%股权。2025年08月01日，禾盛新材发布公告，公司以自有资金或自筹资金2.5亿元向熠知电子增资，公司于本次投资后预计持有熠知电子10%股权。...,马佳伟，谢致远,推荐,3,2025-08-04,jes****ma,1,2025-08-05 05:12:00,,
投研资讯,民生证券-中国神华-601088-事件点评：大规模资产收购启动，黑金龙头再启航-250804,事件：8月1日，公司发布《关于筹划发行股份及支付现金购买资产并募集配套资金暨关联交易事项的停牌公告》，拟由公司发行股份及支付现金购买国家能源集团持有的煤炭、坑口煤电以及煤制油煤...,周泰，李航，王姗姗,推荐,3,2025-08-04,vm1****57,1,2025-08-05 05:12:00,,
投研资讯,东吴证券-九号公司-689009-2025年半年报点评：归母净利润同比+108%超市场预期，电动两轮车延续高增趋势-250804,"事件：2025年8月2日，公司发布2025年半年度报告。
　　归母净利润同比+108%超市场预期，电动两轮车延续高增趋势
　　2025H1公司实现营业收入117.4亿元，同比+...",周尔双，黄瑞,买入,3,2025-08-04,day****ng,1,2025-08-05 05:12:00,,
投研资讯,国投证券-康缘药业-600557-“一体两翼”战略价值凸显，创新布局未来可期-250804,核心观点：公司以中药为主体，化药及生物药为两翼的战略价值持续凸显。公司持续深化中药管线开发，品种布局丰富、价值量高，营销改革持续取得进展有望夯实中药主业基石；同时，多个化生药创...,李奔，冯俊曦,买入-A,24,2025-08-04,Lamb******ail,1,2025-08-05 05:12:00,,
投研资讯,国联民生证券-长安汽车-000625-7月销量点评：7月销量同比高增，中国长安汽车集团成立-250804,"事件
　　长安汽车发布7月产销快报，公司7月实现批发销量21.06万辆，同比+23.43%，环比-10.42%。其中自主品牌7月销量17.77万辆，同比+27.69%，环比-9...",高登，喻虎,买入,6,2025-08-04,cath******y87,1,2025-08-05 05:12:00,,
投研资讯,东吴证券-仕净科技-301030-光伏配套+制造双轮驱动，拓展多元业务板块-250804,积极拓展多元业务板块，降低单一业务依赖风险。从收入结构看：1）制程污染防控设备作为公司的传统核心业务，2024年实现收入11.15亿元，占营业收入比重为54.31%（上年同期：...,袁理，陈孜文,增持（首次）,13,2025-08-04,簏**铭,1,2025-08-05 05:12:00,,
投研资讯,开源证券-日联科技-688531-中小盘信息更新：订单高景气，内生+外延打造全球检测平台型龙头-250804,"国内工业X射线检测龙头，内生+外延进军全球检测领域平台型龙头
　　公司长期专注于X射线全产业链技术研究，已经发展成为具备较强稀缺性的国内工业X射线检测龙头。一方面，公司是国内少...",周佳，孟鹏飞,买入,4,2025-08-04,zhen******926,1,2025-08-05 05:12:00,,
投研资讯,国投证券-九号公司-689009-Q2两轮车收入持续高增，单季经营表现亮眼-250804,事件：九号公司公布2025年中报。公司2025年上半年实现收入117.4亿元，YoY+76.1%；归母净利润12.4亿元，YoY+108.5%；扣非后归母净利润13.1亿元，Y...,余昆，陈伟浩,买入-A,5,2025-08-04,che****99,1,2025-08-05 05:12:00,,
投研资讯,光大证券-东方雨虹-002271-2025年中报点评：收入下滑收窄，全球布局加速-250804,事件：东方雨虹25H1实现营收/归母净利/扣非归母净利135.7/5.6/5.1亿元，同比-10.8%/-40.2%/-39.3%。单Q2实现营收/归母净利/扣非归母净利76....,孙伟风，鲁俊,买入,3,2025-08-04,gar****07,1,2025-08-05 05:12:00,,
投研资讯,华安证券-萤石网络-688475-25Q2：延续利润率修复态势-250803,"公司发布25Q2业绩：
　　25Q2：收入14.5亿元（同比+7.5%），归母净利润1.6亿（同比+5.0%），扣非归母净利润1.6亿（同比+3.3%）；
　　25H1：收入2...",邓欣,买入,4,2025-08-04,god****e1,1,2025-08-05 05:12:00,,
