分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,东方证券-千味央厨-001215-动态跟踪：加大线上推广，有望参与京东餐饮即时零售-250805,"核心观点
　　积极进行C端拓展，加大线上推广。目前公司C端业务主要通过电商平台与KA商超的自有品牌定制渠道开展。电商实质上是餐饮零售化的转化，公司主要围绕适合于家庭便捷加工、1...",谢宁铃,增持,5,2025-08-05,liq****ng,1,2025-08-05 11:06:11,,
投研资讯,财通证券-芯原股份-688521-在手订单金额创新高，业绩环比快速提升-250804,"事件：公司发布2Q2025经营情况公告，公司2Q2025实现营收约为5.84亿元，环比+49.90%；预计公司2Q2025盈利能力持续改善，单季度亏损环比大幅收窄。
　　IP授...",张益敏，朱陈星,增持,3,2025-08-05,农**园,1,2025-08-05 11:06:11,,
投研资讯,东海证券-萤石网络-688475-公司简评报告：深耕AIoT赛道，加强海外布局-250805,"投资要点
　　事件：公司2025H1实现营收28.27亿元，同比+9.45%，实现归母净利润3.02亿元，同比+7.38%。公司2025Q2实现营收14.47亿元，同比+7.4...",王敏君,买入,4,2025-08-05,dd***m,1,2025-08-05 11:06:11,,
投研资讯,民生证券-长安汽车-000625-系列点评二十八：自主稳步上量，新集团成立加快整合-250805,事件概述：公司发布7月产销快报：集团7月批发销量为21.0万辆，同比+23.4%，环比-10.4%；1-7月累计批发156.6万辆，同比+4.1%；自主品牌7月批发销量为17....,崔琰，马天韵,推荐,4,2025-08-05,sh***y,1,2025-08-05 11:06:11,,
投研资讯,东吴证券-宇通客车-600066-7月销量同环比下降，淡季加库或为后续放量做库存准备【勘误版】-250805,"投资要点
　　公司公告：宇通客车2025年7月总销量3219辆，同环比-4%/-46%；7月传统淡季符合预期；7月产量3849辆，加库630辆，今年1-7月累计加库722辆，公...",黄细里,买入,3,2025-08-05,ai***h,1,2025-08-05 11:06:11,,
投研资讯,民生证券-芯原股份-688521-2025年第二季度业绩预告点评：ASIC带动业绩高增，在手订单快速增长-250805,事件：8月2日，芯原股份发布《2025年第二季度经营情况的自愿性披露公告》，2Q25公司预计实现总营业收入5.84亿元，环比增长49.90%，截止2Q25公司在手订单为30.2...,方竞，宋晓东,推荐,3,2025-08-05,yj***7,1,2025-08-05 11:06:11,,
投研资讯,长城证券-海康威视-002415-现金流向好毛利率提升，基本面边际改善-250805,事件：海康威视发布2025年半年报，2025H1公司实现营业总收入418.18亿元，同比增长1.48%；归母净利润56.57亿元，同比增长11.71%；扣非净利润54.89亿元...,侯宾，黄俊峰,买入,3,2025-08-05,xsy****02,1,2025-08-05 11:06:11,,
投研资讯,光大证券-石化油服-600871-公告点评：中标国家管网35.97亿元总承包项目，国内市场再获重大突破-250805,事件：公司发布《工程中标公告》，子公司中石化石油工程建设有限公司中标国家石油天然气管网集团有限公司长春-石家庄天然气管道工程（长岭-张家口段）施工总承包第二、四、五标段项目，中...,赵乃迪，蔡嘉豪，王礼沫,增持,3,2025-08-05,ll***5,1,2025-08-05 11:06:11,,
投研资讯,华安证券-益生股份-002458-鸡苗价格下跌拖累盈利，种猪销售步入释放期-250805,"2025归母净利润615.5万元，Q2环比扭亏为盈
　　公司公布中报：1H2025实现收入13.2亿元，同比下降4.0%，实现归母净利润615.5万元，同比下降96.6%，实现...",王莺,买入,4,2025-08-05,5255******2qd,1,2025-08-05 11:06:11,,
投研资讯,中原证券-东鹏饮料-605499-2025年中报点评：饮料主业保持较快增长，盈利趋势回升-250805,"公司发布2025年中报：20251H，公司实现营收107.37亿元，同比增36.37%；实现归母净利润23.75亿元，同比增37.22%。
　　能量饮料的销售收入保持了较快增长...",刘冉,增持,4,2025-08-05,氓**蚩,1,2025-08-05 11:06:11,,
