分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,国金证券-科达制造-600499-非洲建材加速贡献利润，瓷砖玻璃出海先锋-250714,"业绩简评
　　2025年7月14日，公司发布2025年半年报预增公告：取业绩快报区间中值，25H1实现归母净利7.45亿元，同比+64%，扣非归母净利6.95亿元，同比+74%...",李阳,买入,4,2025-07-15,幸**吧,1,2025-07-15 00:14:14,,
投研资讯,国金证券-华新水泥-600801-利润表现超预期，持续看好水泥出海先锋-250714,"业绩简评
　　2025年7月14日，公司发布2025年半年报预增公告：取业绩快报区间中值，25H1实现归母净利11.14亿元，同比+52%，扣非归母净利10.78亿元，同比+5...",李阳,买入,4,2025-07-15,md***h,1,2025-07-15 00:14:14,,
投研资讯,东吴证券-瀚蓝环境-600323-2025中期业绩预告点评：粤丰整合露锋芒，内生提效超预期-250715,"投资要点
　　事件：2025年7月14日，公司发布2025年半年度业绩预增公告。
　　粤丰并表&降本增效&业绩赔偿，25H1业绩超预期。2025H1公司归母净利润9.67亿元，...",袁理，陈孜文,买入,3,2025-07-15,剑**心,1,2025-07-15 00:14:14,,
投研资讯,东吴证券-华新水泥-600801-2025年半年度业绩预增点评：Q2盈利超预期，海外增量+国内改善有望支撑中长期增长-250714,"投资要点
　　公司发布2025年半年度业绩预增公告：预计2025年半年度实现归属于母公司所有者的净利润为109,583.00万元至113,236.00万元，同比增加50%到55...",黄诗涛，石峰源,增持,3,2025-07-15,hui****14,1,2025-07-15 00:14:14,,
投研资讯,东吴证券-泽璟制药-688266-创新进入收获期，ZG006及ZG005均有望成为BIC-250714,"投资要点
　　ZG006（CD3/DLL3/DLL3）疗效数据优异，打造小细胞肺癌基石疗法。ZG006为结构新颖的DLL3三抗，2025ASCO数据亮眼，针对三线及以上SCLC...",朱国广，张翀翯，苏丰,买入（首次）,37,2025-07-15,luya******003,1,2025-07-15 00:14:14,,
投研资讯,东吴证券-亨通光电-600487-光通信与能源主业双轮驱动，海缆成长动能十足 -250714,光通信龙头，海洋通信与能源业务起量促增长。公司成立于1999年，以光纤光缆业务起家。2006年，公司定增募集资金研发光纤预制棒，2010年研发成功实现量产；2020年收购华为海...,曾朵红，郭亚男，胡隽颖,买入,44,2025-07-14,zs1****65,1,2025-07-15 00:14:14,,
投研资讯,民生证券-呈和科技-688625-首次覆盖报告：点石成金，拓荒聚合物助剂国产化-250714,公司是高分子助剂的代表企业，成核剂是公司核心产品。公司是生产制造环保、安全、高性能特种高分子材料助剂的高新技术企业、经工信部认定的国家级专精特新“小巨人”企业。公司总部位于广州...,刘海荣，费晨洪,推荐（首次）,25,2025-07-14,蓝**海,1,2025-07-15 00:14:14,,
投研资讯,东方证券-博俊科技-300926-优质的客户配套及规模效应释放，促进盈利实现较高增长-250714,"核心观点
　　事件：公司发布2025年半年度业绩预告。
　　主要客户及车型放量带动下，公司2季度业绩超市场预期。公司上半年预计归母净利润3.41-3.87亿元，同比增长47.0...",姜雪晴，袁俊轩,买入,4,2025-07-14,be***e,1,2025-07-15 00:14:14,,
投研资讯,环球富盛-骏鼎达-301538-受益于新能源汽车增长需求，拓展新兴领域-250714,"骏鼎达：主要产品为功能性保护套管
　　公司主营业务为高分子改性保护材料的设计、研发、生产与销售。公司主营业务为高分子改性保护材料的设计、研发、生产与销售，主要产品包括功能性保护...",庄怀超,优于大市,38,2025-07-14,218****71,1,2025-07-15 00:14:14,,
投研资讯,国金证券-心脉医疗-688016-业绩环比快速恢复，创新研发顺利推进-250714,"业绩简述
　　2025年7月14日，公司发布2025年半年度业绩预告，预计2025上半年实现收入7.08亿元~7.87亿元，同比-10%~0%；归母净利润3.04亿元~3.61...",甘坛焕，何冠洲,买入,4,2025-07-14,ODx****ng,1,2025-07-15 00:14:14,,
