研报标题,摘要,评级,分享时间
光大证券-中国石油-601857-公告点评：古龙页岩油示范区新增1.58亿吨探明储量，助力页岩油开发突破-250930,"事件：中国石油集团公众号消息，大庆古龙陆相页岩油国家级示范区新增1.58亿吨页岩油探明储量。
　　点评：
　　新增探明储量为页岩油开发提供资源保障，古龙页岩油示范区实现跨越式发...",买入,2025-09-30
中邮证券-柳药集团-603368-业绩阶段性承压，员工激励及参股海外创新药公司布局长远-250930,"业绩阶段性承压
　　公司发布2025年中报：2025H1营业收入103.01亿元（-3.21%），归母净利润4.29亿元（-7.52%），扣非净利润4.22亿元（-7.55%）...",买入（首次）,2025-09-30
太平洋证券-同花顺-300033-2025年中报点评：技术赋能助力发展，市场需求持续释放-250929,事件：同花顺发布2025年半年报。报告期内，公司实现营业收入17.79亿元，同比+28.07%；实现归母净利润5.02亿元，同比+38.29%；ROE（加权）为6.77%，同比...,买入,2025-09-30
东方证券-宝武镁业-002182-半年度业绩点评：项目产能快速释放，镁产业链齐头并进-250930,"核心观点
　　矿价上涨产能释放，白云石利润贡献或显著提升。白云岩矿资源方面，公司青阳项目当前具备产能1350万吨，650万吨白云石破碎项目预计于2025年底投产，根据项目建设进...",买入,2025-09-30
民生证券-云天励飞-688343-深度报告：算法芯片化助力，全产业链发展打造推理AI龙头-250930,公司AI产品以消费级、企业级、行业级三方向发展。公司以“算法芯片化”作为底层优势，在消费级、企业级、行业级三种场景部署产品和服务。企业级场景主要为AI推理芯片与相关产品、算力服...,推荐（首次）,2025-09-30
财信证券-信立泰-002294-创新产品持续放量，JK07等重点项目进展积极-250926,公司简介：国内心血管慢病领域龙头企业。公司主营业务涉及药品、医疗器械产品的研发、生产、销售，主要产品包括心血管类药物及医疗器械、头孢类抗生素及原料、骨科药物等。其中，公司主要的...,增持（首次）,2025-09-30
华龙证券-首都在线-300846-公司深度研究：把握AI机遇，全球化+智算开启新叙事-250923,"推进智算+全球化布局，营收结构持续改善。首都在线作为中国最早的IDC服务商之一，经过多年发展已形成覆盖云服务、通信网络服务和IDC服务的多元化业务体系,主营业务包括智算云、计算...",增持,2025-09-30
东海证券-邮储银行-601658-公司简评报告：非息收入亮眼，储蓄代理费率调整效果显现-250930,"投资要点
　　事件：邮储银行此前公布2025半年度报告。上半年，公司实现营业收入1794.46亿元（+1.50%，YoY），归母净利润492.28亿元（+0.85%，YoY）。...",增持,2025-09-30
国元证券-道通科技-688208-事件点评：TPMS位列北美第一，有望持续高成长-250930,"事件：
　　2025年9月24日，道通科技微信公众号发布：北美权威轮胎行业媒体《现代轮胎经销商》(Modern Tire Dealer)近日发布的《2025年TPMS品牌洞察研...",买入,2025-09-30
华安证券-歌尔股份-002241-回归成长轨道，AI注入新动力-250929,"逐步回归成长轨道。
　　公司收入表现整体较为稳健，从2018年的237.5亿元增长到2022年的1048.9亿元，之后经历2022-2024年波折，营收保持在1000亿附近。从...",买入（首次）,2025-09-30
华安证券-沪硅产业-688126-25H1利润端承压，关注300mm产能扩张及产品进展-250929,"事件：沪硅产业发布2025年半年度报告
　　25H1实现营业收入17.0亿元，同比增长8.2%；实现归母净利润-3.7亿元，亏损同比收窄；实现毛利率-13.1%，同比下降约2....",增持,2025-09-30
