分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,国投证券-南网科技-688248-新型储能系统试验成功，电力机器人业务注入新增量-250720,"事件概述
　　1)近日，由南网科技和国家新型储能创新中心联合研发的百兆瓦时级构网型储能系统在云南文山丘北220kV宝池储能电站圆满完成黑启动试验，这也是南方电网区域内首次成功的...",赵阳，杨楠,买入-A,5,2025-07-20,zi***5,1,2025-07-20 07:05:46,,
投研资讯,华西证券-中微公司-688012-先进刻蚀/LPCVD快速放量，Q2营收加速增长-250718,"事件概述
　　公司发布2025年第二季度业绩预告。
　　先进刻蚀/LPCVD快速放量，Q2收入端提速明显。
　　2025H1公司预计实现收入49.61亿元，同比+43.88%，...",黄瑞连,买入,5,2025-07-20,xiao******521,1,2025-07-20 07:05:46,,
投研资讯,国投证券-广联达-002410-发布CIM平台和建筑AI白皮书，赋能城市高质量发展-250720,"事件概述
　　1)7月14-15日，中央城市工作会议在北京举行，习近平总书记针对城市工作提出明确要求：以推动城市高质量发展为主题，以推进城市更新为重要抓手，走出一条中国特色城市...",赵阳，杨楠,买入-A,5,2025-07-20,dela******hie,1,2025-07-20 07:05:46,,
投研资讯,海通国际-京北方-002987-公司跟踪报告：人工智能和信创双驱动，新机遇值得期待-250717,"本报告导读：
　　人工智能和信创双重启动；新机遇值得期待。
　　投资要点：
　　维持“优于大市”评级。我们认为，公司AI+信创+稳定币是业绩增长的驱动力。我们预计，公司2025...",Lin Yang，Liang Song,优于大市,11,2025-07-20,ti***2,1,2025-07-20 07:05:46,,
投研资讯,国信证券-东方电气-600875-雅鲁藏布江下游水电工程开工，水电设备持续成长-250720,事件：根据新华社消息，中国雅江集团有限公司成立大会近日在北京举行，中共中央政治局委员、国务院副总理张国清出席并为公司成立揭牌。7月19日，雅鲁藏布江下游水电工程开工仪式在西藏自...,王蔚祺，徐文辉,优于大市,5,2025-07-20,zo***w,1,2025-07-20 07:05:46,,
投研资讯,东方证券-株冶集团-600961-2025半年度业绩预告点评：看好双轮驱动下冶炼龙头分红潜力-250720,"核心观点
　　贵金属价格涨势延续推动业绩迅速增长，看好金银产能提升预期下公司业绩长虹。受益于锌冶炼加工费回暖及贵金属价格的上涨，公司25H1归母净利润同环比均显著增长，预计可实...",刘洋,买入,5,2025-07-20,aar****wu,1,2025-07-20 07:05:46,,
投研资讯,华鑫证券-万源通-920060-公司动态研究报告：全球AI算力需求进一步上升，中高端PCB厂商开启第二增长曲线-250718,"▌公司业绩稳步增长，受益于行业景气上行
　　2024年，公司实现营收10.43亿元，同比增长5.96%；归母净利润1.23亿元，同比增长4.45%，扣非归母净利润1.16亿元，...",吕卓阳,买入（首次）,6,2025-07-20,565****04,1,2025-07-20 07:05:46,,
投研资讯,东吴证券-拓荆科技-688072-2025中报业绩预告点评：25Q2业绩高速增长，薄膜沉积&先进封装设备进入收获期-250719,"投资要点
　　2025Q2业绩高增，新产品开始贡献正向业绩：2025Q2单季营业收入预计为12.1-12.6亿元，同比+52%至58%，环比+70.7%至77.7%。期间归母净...",周尔双，李文意,买入,3,2025-07-20,lij****hi,1,2025-07-20 07:05:46,,
投研资讯,天风证券-百隆东方-601339-国内及海外市场订单饱满，整体产能利用率提升-250719,"公司发布25H1业绩预增公告
　　公司预计25H1归母净利3.50至4.10亿，同比增长50%到76%。2025H1扣除非经常性损益后归母净利3.23至3.83亿，同比增长20...",孙海洋,持有,3,2025-07-19,sunn******116,1,2025-07-20 07:05:46,,
投研资讯,太平洋证券-中远海特-600428-2025H1利润稳健增长，服务国家海洋经济的质效跃升-250718,"事件
　　近日，中远海特披露2024年报。本报告期内，实现营业总收入167.8亿，同比增+37.57%；归母净利15.31亿，同比增+43.8%；扣非归母净利12.98亿，同比...",程志峰,增持,4,2025-07-19,152****18,1,2025-07-20 07:05:46,,
投研资讯,华金证券-汉桑科技-301491-新股覆盖研究-250718,"投资要点
　　下周二（7月22日）有一家创业板上市公司“汉桑科技”询价。
　　汉桑科技（301491）：公司致力于提供高性能音频、创新音频等产品的研发、设计、制造一体化服务。公...",李蕙,,12,2025-07-19,zou****ei,1,2025-07-20 07:05:46,,
投研资讯,华金证券-华勤技术-603296-多元化业务持续发力，25年H1业绩超预期-250717,事件点评：公司发布2025半年度主要经营数据的公告，2025年上半年度，公司预计实现营业收入830亿元到840亿元，同比增长110.7%到113.2%；预计实现归属于上市公司股...,熊军，王臣复,买入,5,2025-07-19,lhm****ss,1,2025-07-20 07:05:46,,
投研资讯,光大证券-海尔智家-600690-动态跟踪报告：北方空调加速普及，海尔智家尤为受益-250719,"事件：据中国新闻周刊援引京东集团数据，7月7日-7月13日东北地区空调销量大幅增长，辽宁省/吉林省/黑龙江省空调成交额同比增长10/25/6倍。
　　点评：
　　海尔-北方空调...",洪吉然,买入,4,2025-07-19,yola******ccy,1,2025-07-20 07:05:46,,
投研资讯,天风证券-恒鑫生活-301501-可降解餐饮具领军企业，全球化供应优势显现-250719,国内领先的可降解餐饮具制造商，业绩稳健增长。公司是一家致力于可生物降解制品研发、生产、销售与一体的高新技术企业，在全国拥有多个生产基地，产品覆盖快餐、外卖、饮品等餐饮行业，以及...,孙海洋,增持（首次）,14,2025-07-19,永**通,1,2025-07-20 07:05:46,,
