研报标题,摘要,评级,分享时间
东吴证券-久远银海-002777-2025年半年报点评：经营质量改善，AI+持续赋能-250915,"事件：公司发布2025年中报，公司2025H1实现营收4.39亿元，同比增长11%；归母净利润0.30亿元，同比增长160%，超市场预期。
　　投资要点
　　经营质量改善：分业...",买入,2025-09-15
华西证券-美埃科技-688376-25H1业绩稳健增长，深度受益固态电池/先进制程产业趋势-250915,"耗材快速放量+出海加速，25H1收入端快速增长
　　2025H1公司实现收入9.35亿元，同比+23.51%；其中Q2收入为6.18亿元，同比+27.73%，实现快速增长，主要...",增持（首次）,2025-09-15
华西证券-壶化股份-003002-业绩新高，民爆智能化加快推进，“西进战略”迎机遇-250912,"事件概述
　　公司发布2025年半年度报告。2025上半年，公司实现营业收入6.25亿元，同比增长28.36%；归母净利润0.96亿元，同比增长53.07%；EPS 0.48元...",增持,2025-09-15
太平洋证券-卡莱特-301391-业绩恢复增长，积极转型AI-250915,公司为LED显控行业领军企业。卡莱特成立于2012年1月，是一家以视频处理算法为核心、硬件设备为载体，为客户提供视频图像领域综合化解决方案的公司。公司产品主要分为LED显示控制...,买入,2025-09-15
东方证券-楚江新材-002171-天鸟产能规模显著提升，新业务拓展顺利，看好长期增长空间-250915,事件：2025年H1公司实现营收288.03亿（+16.05%）；实现归母净利润2.51亿（+48.83%）。单季度看，2025年Q2公司实现营收156.58亿（+11.66%...,买入,2025-09-15
国投证券-今世缘-603369-25Q2释放压力寻求长期高质量成长-250915,"事件：
　　公司发布2025年半年报，2025H1实现营业收入69.5亿元，同比减少4.84%；实现归母净利润22.29亿元，同比减少9.46%；实现扣非归母净利润22.24亿...",买入-A,2025-09-15
光大证券-奥来德-688378-动态跟踪：携手OLED龙头京东方，设备及材料层面全方位合作-250915,"事件：9月15日，公司公众号发布消息表示公司近日与京东方科技集团股份有限公司（以下简称“京东方”）在北京正式签署战略合作框架协议，双方就此建立战略合作伙伴关系。
　　点评：
　...",买入,2025-09-15
华鑫证券-天承科技-688603-公司事件点评报告：认购产业基金加强半导体布局，AIPCB实现头部客户突破-250915,"事件
　　公司9月12日晚发布公告：拟以5000万元参与认购上海君华孚创电子材料产业发展私募投资基金合伙企业基金份额，该基金目标规模预计66900万元，主要投向高端电子化学品及...",买入,2025-09-15
华鑫证券-君亭酒店-301073-公司事件点评报告：竞争加剧业绩承压，持续关注门店爬坡-250915,"事件
　　2025年8月28日，君亭酒店发布2025年半年报。2025H1总营收3.26亿元（同减1%），归母净利润0.06亿元（同减55%），扣非净利润0.03亿元（同减79...",买入,2025-09-15
开源证券-华宝新能-301327-公司信息更新报告：发布全新激励计划聚焦营收增长，关注2026年移动家储新品放量-250915,"发布全新股票激励计划，绑定核心团队&聚焦收入增长，维持“买入”评级
　　公司发布2025年限制性股票激励计划，2025-2027年营收复合增速目标值达40%左右，绑定核心团队彰...",买入,2025-09-15
天风证券-立高食品-300973-渠道升级加速，稀奶油驱动成长-250915,事件：2025H1营收20.7亿元，同比+16.2%；归母净利润1.71亿元，同比+26.2%。其中单二季度营收10.24亿元，同比+18.4%；归母净利润0.82亿元，同比+...,买入,2025-09-15
天风证券-百润股份-002568-渠道轻装上阵，期待H2潜在弹性表现-250915,"业绩：2025Q2公司营业收入/归母净利润/扣非归母净利润分别为7.52/2.08/1.78亿元（yoy:-8.98%/-10.85%/-22.61%）。
　　Q2预调鸡尾酒仍...",买入,2025-09-15
国信证券-西子洁能-002534-资深余热锅炉装备制造商，打造光热发电设备龙头+核电设备供应商-250915,资深余热锅炉装备制造商，进军核能和清洁能源装备制造。西子洁能成立于1955年，前身为中国余热锅炉企业杭州锅炉集团股份有限公司，是国内最早从事余热锅炉研发和制造的企业之一。199...,优于大市（首次）,2025-09-15
