分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,西南证券-丽珠集团-000513-LZM012的III期临床达到主要终点-250723,事件：7月21日，丽珠集团重组抗IL-17A/F人源化单克隆抗体注射液（LZM012）的III期临床试验达到主要终点，用于中重度斑块型银屑病患者，近期已向CDE递交上市许可前的...,杜向阳,,5,2025-07-24,cn_y******123,1,2025-07-24 08:06:13,,
投研资讯,开源证券-中孚实业-600595-公司首次覆盖报告：成本优化+电解铝权益产能提升，公司盈利弹性可期-250723,"成本优化+电解铝权益产能提升，公司盈利弹性可期
　　2021年公司顺利完成重整，经营情况大幅改善，2022~2025年公司陆续收购林丰铝电、中孚铝业少数股东权益，至今已实现电解...",孙二春，温佳贝,买入（首次）,30,2025-07-24,ste****ai,1,2025-07-24 08:06:13,,
投研资讯,华金证券-鼎佳精密-920005-新股覆盖研究-250721,"投资要点
　　本周二（7月22日）有一只北交所新股“鼎佳精密”申购，发行价格为11.16元/股、发行市盈率为15.29倍（每股收益按照2024年度经会计师事务所依据中国会计准则...",李蕙,,10,2025-07-24,ab***5,1,2025-07-24 08:06:13,,
投研资讯,中航证券-杰华特-688141-高端计算产品持续发力，并购信号链拓展消费电子业务-250722,"报告正文
　　并购天易合芯协同增效，扩大信号链产品布局杰华特及公司全资子公司杰瓦特拟以合计人民币3.1874亿元直接和间接收购南京天易合芯合计40.89%的股权的股东权益,并实...",刘牧野,买入,4,2025-07-24,coo****18,1,2025-07-24 08:06:13,,
投研资讯,中邮证券-神州细胞-688520-成功实现扭亏为盈，临床管线值得期待-250724,"重组八因子稳健增长，抗体产品管线持续丰富
　　2024年公司实现收入25.13亿元，同比增长33.13%，2025Q1公司实现收入5.20亿元，同比下降15.15%。核心产品重...",盛丽华，陈成,买入（首次）,4,2025-07-24,王者归****69,1,2025-07-24 08:06:13,,
投研资讯,华金证券-瑞芯微-603893-半年报持续超预期，首发端侧AI协处理器-250723,"投资要点：公司发布2025年半年度业绩预告，预计2025年半年度实现营业收入204,500万元，与上年同期相比，将增加约79,640万元，同比增长约64%；预计2025年半年度...",熊军，王臣复,买入,5,2025-07-24,und****ly,1,2025-07-24 08:06:13,,
投研资讯,国信证券-民士达-833394-二季度净利同环比提升，芳纶纸需求持续增长-250724,公司2025年二季度营收及净利同环比提升。2025年上半年，公司实现营业收入2.37亿元（同比+27.9%），归母净利润0.63亿元（同比+42.3%）。其中，2025年二季度...,杨林，余双雨,优于大市,6,2025-07-24,1876******013,1,2025-07-24 08:06:13,,
投研资讯,中航证券-方正科技-600601-锚定AI浪潮，高端PCB引领增长新势能-250721,"◆PCB全能战士
　　方正科技专业从事PCB产品的设计研发、生产和制造全流程，并为客户提供QTA和NPI服务。产品主要包括高密度互连板、多层板(2-56层)、软硬结合板和其它个...",刘一楠，刘牧野,买入（首次）,5,2025-07-24,ztq****12,1,2025-07-24 08:06:13,,
投研资讯,中邮证券-丽珠集团-000513-IL~17A/F三期临床达到终点，头对头数据优效-250724,"IL-17 A/F单抗临床三期达到终点，数据亮眼
　　7月22日，公司发布公告，重组抗人IL-17A/F人源化单克隆抗体注射液Ⅲ期临床试验达到主要研究终点。该Ⅲ期临床研究是一项...",盛丽华，陈成,买入,5,2025-07-24,jho****on,1,2025-07-24 08:06:13,,
投研资讯,群益证券-士兰微-600460-家电、工业需求向好，业绩弹性有望显现-250724,"结论与建议：
　　作为目前国内少数的民营IDM模式的综合型半导体产品企业。公司IPM（智能功率模块）产品在家电、工业领域竞争力强，将充分受益于家电类产品国补、工业复苏带来的需求...",朱吉翔,买进,3,2025-07-24,于**徽,1,2025-07-24 08:06:13,,
