研报标题,摘要,评级,分享时间
华鑫证券-诚益通-300430-公司动态研究报告：康复医疗空间广阔，脑机接口技术有望迎来收获期-250927,"投资要点
　　▌业绩符合预期，下游客户短期需求扰动业绩
　　2025年上半年，公司实现营业收入4.08亿元，同比下降36.65%；归母净利润0.51亿元，同比下降38.76%。...",买入,2025-09-28
华鑫证券-昌红科技-300151-公司动态研究报告：全球合作战略不断深化，医疗与半导体板块持续突破-250927,"投资要点
　　▌业绩符合预期，收入稳步修复
　　2025年上半年，公司实现营业收入4.98亿元，同比增长2.95%；归母净利润0.31亿元，同比下降28.6%；毛利率为24.9...",买入,2025-09-28
华鑫证券-理邦仪器-300206-公司动态研究报告：业绩符合预期，多板块战略持续推进-250927,"▌基数影响逐步出清，业绩稳步向上
　　2025年上半年，公司实现营业收入9.14亿元，同比下降0.91%；归母净利润1.54亿元，同比增长23.47%。其中，2025年一季度，...",买入,2025-09-28
华鑫证券-生益电子-688183-公司事件点评报告：业绩高增长兑现，产能扩张+多元化布局驱动中长期成长-250927,"事件
　　公司发布2025年中报：2025年上半年公司实现营业收入37.69亿元，同比增加91.00%；实现归母净利润5.31亿元，同比增加452.11%；实现扣非归母净利润5...",买入,2025-09-28
光大证券-神马股份-600810-公告点评：控股股东实施战略重组，有望实现产业链深度协同-250928,事件：公司发布《关于公司控股股东拟实施战略重组的提示性公告》，2025年9月25日，神马实业股份有限公司(以下称公司)接到控股股东中国平煤神马控股集团有限公司(以下简称中国平煤...,增持,2025-09-28
华安证券-中芯国际-688981-产能及产能利用率双增长，晶圆本土化持续受益-250924,"事件
　　公司2025年第二季度实现营业收入22亿美元，环比减少2%，好于公司指引；毛利率20%，环比下降2 pct，略高于公司指引；归母净利润1亿美元。公司预计三季度收入环比...",增持,2025-09-28
中邮证券-华策影视-300133-全年影视项目储备丰富，关注国庆档影片表现-250928,"事件回顾
　　2025年8月19日，公司发布2025年半年报，2025H1，公司实现营业收入7.90亿元，同比增长114.95%；归母净利润1.18亿元，同比增长65.06%；...",买入,2025-09-28
华安证券-巨化股份-600160-25H1归母净利高增，看好制冷剂业务长期格局-250927,"事件描述
　　2025年8月27日，公司发布2025年半年度报告，2025年上半年公司实现营业收入133.31亿元，同比增长10.36%；实现归母净利润20.51亿元，同比增长...",买入,2025-09-28
东方证券-经纬恒润-688326-2季度扭亏为盈，智驾业务加速放量-250927,"核心观点
　　2季度公司实现扭亏为盈。公司上半年营业收入29.08亿元，同比增长43.5%；归母净利润-0.87亿元（去年同期-3.33亿元）；扣非归母净利润-1.15亿元（去...",买入,2025-09-28
华金证券-西安奕材-688783-新股覆盖研究-250927,"投资要点
　　10月13日有一家科创板上市公司“西安奕材”询价。
　　西安奕材（688783）：公司专注于12英寸硅片的研发、生产和销售，产品广泛应用NANDFlash/DRA...",,2025-09-27
华鑫证券-大洋电机-002249-公司动态研究报告：电机及驱动控制领先企业，前瞻布局机器人-250926,"▌电机及驱动控制领先企业，两大事业部全球布局
　　公司是领先的电机及驱动控制系统供应商，目前形成了以建筑通风及家居电器电机产品为主的BHM事业部和以汽车用关键零部件为主的车辆事...",买入（首次）,2025-09-27
华鑫证券-阳光诺和-688621-公司事件点评报告：并购朗研生命，实现CRO+医药工业布局-250927,"事件
　　阳光诺和发布公告：拟通过发行股份及可转换公司债券方式，购买利虔、朗颐投资等38名朗研生命全体股东持有的朗研生命100%股权，并向不超过35名特定投资者发行股份募集配套...",买入（首次）,2025-09-27
华鑫证券-阳光电源-300274-公司动态研究报告：储能强势增长，布局AIDC打开新成长空间-250927,"投资要点
　　▌业绩稳定增长，盈利能力提升
　　2025H1，公司实现营业收入435.3亿元，同比增长40%，归母净利润77.3亿元，同比增长56%；毛利率达34.36%，同比...",买入（首次）,2025-09-27
国信证券-中油工程-600339-受益于上游资本开支提升，公司接连签署中东大额合同-250927,"事项：
　　公司公告：1）近日，公司全资子公司中国石油管道局工程有限公司与伊拉克巴士拉石油公司就伊拉克巴士拉省海水输送管道总包项目签署EPC承包合同，合同金额25.24亿美元（...",优于大市,2025-09-27
民生证券-紫光国微-002049-事件点评：股权激励高目标彰显信心，特种芯片龙头焕新机-250927,事件：紫光国微9月25日晚发布2025年股权激励计划（草案），计划向激励对象授予股票期权1680万份，占公司股本的1.98%，其中首次授予股票期权1560.14万份，首次授予激...,推荐,2025-09-27
民生证券-凯文教育-002659-公告点评：牵手智谱战略布局，AI+教育未来可期-250927,事件：公司公告拟与北京智谱华章科技股份有限公司（以下简称“智谱华章”）、北京鸿智睿师管理咨询合伙企业（有限合伙）（以下简称“鸿智睿师”）共同出资设立北京智启文华教育科技有限公司...,推荐,2025-09-27
华鑫证券-松霖科技-603992-公司动态研究报告：机器人新业务稳步推进，布局越南全品类产能-250926,"▌机器人：聚焦护理与后勤，千台订单落地
　　进军机器人，聚焦护理+后勤。公司于今年2月成立全资子公司松霖机器人，3月底收购威迪思100%股权，切入机器人赛道。目前公司以松霖机器...",买入（首次）,2025-09-27
