分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,华安证券-博雅生物-300294-采浆量增速领先行业，高浓度静丙获批上市增添新动能-250912,"事件
　　2025年8月23日，博雅生物发布2025年半年度报告，公司2025年上半年实现营收10.08亿元，同比+12.51%；实现归母净利润2.25亿元，同比-28.68%...",谭国超，李雨涵,买入,4,2025-09-13,Amb****el,1,2025-09-13 14:39:59,,
投研资讯,华安证券-科兴制药-688136-海外收入增长显著，上半年盈利能力高速增长-250912,"事件
　　2025年8月22日，科兴制药发布2025年半年度报告，公司实现营业收入7.00亿元，同比-7.82%；归母净利润0.80亿元，同比+576.45%；扣非归母净利润0...",谭国超，任婉莹,增持,4,2025-09-13,huib******iqu,1,2025-09-13 14:39:59,,
投研资讯,太平洋证券-兴业银行-601166-2025年中报点评：多维协同发力，盈利边际改善-250911,事件：兴业银行发布2025年半年度报告。2025年上半年，公司实现营业收入1104.58亿元，同比-2.29%；实现归母净利润431.41亿元，同比+0.21%，同比增速由负转...,夏芈卬,买入,3,2025-09-13,股痴***3,1,2025-09-13 14:39:59,,
投研资讯,华安证券-奥特维-688516-光伏业务仍受周期影响，锂电、半导体业务收入及订单增长-250912,"事件概况
　　奥特维于2025年8月25日发布2025年半年报：
　　2025年上半年公司实现营业收入33.79亿元，同比下降23.57%；归母净利润为3.08亿元，同比下降5...",徒月婷，张志邦,买入,4,2025-09-13,asu****ke,1,2025-09-13 14:39:59,,
投研资讯,天风证券-源杰科技-688498-半年业绩高增，CW新品和EML有望进一步带动业绩-250913,"上半年业绩高速增长
　　公司发布2025年半年报，1H25实现营业收入2.05亿元，同比增长71%，归母净利润4626万元，同比增长330%。2Q单季实现营业收入1.21亿元，...",王奕红，康志毅，唐海清,增持,3,2025-09-13,lil****ng,1,2025-09-13 14:39:59,,
投研资讯,天风证券-长飞光纤-601869-多模光纤、MPO、AOC等贡献增量，多元化不断深入-250913,"因去年收购RFS确认非经收益导致净利润下滑，扣非利润稳步增长
　　公司发布2025年半年报，1H25实现营业收入63.84亿元，同比增长19%，归母净利润2.96亿元，同比减少...",王奕红，康志毅，唐海清,增持,3,2025-09-13,人**花,1,2025-09-13 14:39:59,,
投研资讯,华金证券-双杰电气-300444-新能源业务高增，发力源网荷储一体化项目-250912,"投资要点
　　事件：公司发布2025年中报。报告期内实现营业收入23.76亿元，同比+41.95%；实现归母净利润1.035亿元，同比+20.11%；实现扣非归母净利润1.03...",贺朝晖，周涛,买入,5,2025-09-13,xn***n,1,2025-09-13 14:39:59,,
投研资讯,华金证券-珠海冠宇-688772-钢壳电池量产出货，人形机器人领域陆续送样-250911,"投资要点：
　　1、公司发布2025年半年报，报告期内，公司实现营业总收入609,762.57万元，较上年同期上升14.03%；实现归属于母公司所有者的净利润11,682.41...",熊军，王臣复,买入（首次）,7,2025-09-13,曦***,1,2025-09-13 14:39:59,,
投研资讯,华鑫证券-可靠股份-301009-公司事件点评报告：营收企稳回升，利润改善明显-250911,"事件
　　2025年8月24日，可靠股份发布2025年半年报。2025H1总营收5.49亿元（同增5%），归母净利润0.28亿元（同增22%），扣非净利润0.25亿元（同增15...",孙山山,买入（首次）,5,2025-09-13,yan****15,1,2025-09-13 14:39:59,,
投研资讯,太平洋证券-宁德时代-300750-2025年中报业绩点评：全球市占率持续领先，创新产品矩阵再升级-250911,"事件：公司发布2025年半年度报告，2025年上半年实现收入1,788.86亿元，同比+7.27%；实现归母净利润304.85亿元，同比+33.33%；扣非净利润271.97亿...",谭甘露，刘强,买入,5,2025-09-13,zou****en,1,2025-09-13 14:39:59,,
