研报标题,摘要,评级,分享时间
华鑫证券-玲珑轮胎-601966-公司事件点评报告：轮胎产销高增，盈利能力短期承压-250915,"事件
　　玲珑轮胎发布2025年半年度业绩报告：2025年上半年公司实现营业总收入118.12亿元，同比增长13.80%；实现归母净利润8.54亿元，同比下滑7.66%。其中，...",买入,2025-09-15
天风证券-贝达药业-300558-2025H1利润端承压，展望今年即将迎来多项进展-250915,事件：近日，公司发布2025年半年报，2025 H1营业收入17.31亿元，同比增长15.37%；归母净利润1.40亿元，同比下降37.53%；扣非归母净利润1.91亿元，同比...,增持,2025-09-15
江海证券-水羊股份-300740-2025年中报点评：高端自有品牌持续增长，盈利能力提升-250915,"事件：
　　公司发布2025年半年度业绩报告。报告显示，水羊股份实现营业收入25.00亿元，同比增长9.02%；实现归母净利润1.23亿元，同比增长16.54%，实现扣非归母净...",买入,2025-09-15
华鑫证券-祥源文旅-600576-公司事件点评报告：核心主业精耕不辍，多元布局持续赋能-250915,"事件
　　2025年8月22日，祥源文旅发布2025年半年报。2025H1总营收5.00亿元（同增35%），归母净利润0.92亿元（同增54%），扣非净利润0.79亿元（同增3...",买入,2025-09-15
华鑫证券-西麦食品-002956-公司事件点评报告：发力药食同源赛道，深化多元渠道布局-250914,"事件
　　2025年9月12日，西麦食品举办投资者交流调研会。
　　投资要点
　　▌组建西一生物科技，发力药食同源
　　7月公司与一阳生联合组建西一生物科技公司，在大健康领域深...",买入,2025-09-15
江海证券-威贸电子-833346-公司发布半年报，注塑集成件业务稳步增长-250915,"事件：
　　威贸电子发布2025年半年报。
　　投资要点：
　　威贸电子发布2025年半年报。威贸电子发布2025年半年报，公司2025年上半年营业收入为1.4亿元，同比增长1...",增持,2025-09-15
长城证券-佰维存储-688525-Q2业绩环比逐步改善，布局AI端侧技术与产品-250915,事件：公司发布2025年半年报，2025年上半年，公司实现营收39.12亿元，同比增长13.70%；实现归母净利润-2.26亿元，同比转亏；实现扣非净利润-2.32亿元，同比转...,买入,2025-09-15
群益证券-圣邦股份-300661-模拟芯片龙头，受益于国产替代趋势-250915,"结论与建议：
　　中国开展模拟芯片反倾销调查，国产芯片份额有望快速提升，公司作为国内料号最为丰富的模拟芯片龙头有望显著受益。
　　展望未来，伴随工业领域需求的逐步复苏以及国内模...",买进,2025-09-15
民生证券-金风科技-002202-动态报告：风机盈利修复，海外成长可期-250915,"事件：公司发布2025年半年报
　　2025H1公司实现收入285.37亿元，同比增长41.26%；归母净利润14.88亿元，同比增长7.26%；扣非归母净利润13.68亿元，...",推荐（首次）,2025-09-15
开源证券-华立科技-301011-公司首次覆盖报告：游戏游艺设备龙头，乘动漫IP“谷子”之风再启航-250915,"商用游戏游艺设备龙头，加码布局动漫IP衍生品业务
　　公司为国内商用游戏游艺设备龙头公司，主业为游艺设备和动漫IP衍生品销售，同时经营游乐场及设备合作运营，已形成完整游戏游艺设...",买入（首次）,2025-09-15
中邮证券-安琪酵母-600298-国内外双轮驱动，格局改善与成长动能兼具-250915,"投资要点
　　近年来，酵母行业经历了产能快速扩张期，后随着成本压力持续和市场需求变化，行业进入整合期。中小酵母厂因技术、资金和规模劣势逐步退出市场，行业竞争对手扩张动能减弱，转...",买入,2025-09-15
中邮证券-高伟达-300465-经营质量提升，AI开启新篇章-250915,"金融IT服务商，AI开启新篇章
　　公司自设立以来，专注于以银行业为主的金融信息化领域，能够为客户提供金融领域信息化完整IT解决方案。经过多年的技术研发和服务创新，公司形成了核...",增持（首次）,2025-09-15
