研报标题,摘要,评级,分享时间
开源证券-华洋赛车-834058-北交所公司深度报告：品牌文化为核加速驶入海外，布局能源摩托车创新突围全球赛道-250926,"公司概览：自主创新驱动成长，华洋赛车加速出海新征程
　　华洋赛车作为拥有20年自主研发生产经验的专业动力运动装备制造商，已建立起以两轮越野摩托车和全地形车为核心的产品体系，形成...",增持,2025-09-26
华西证券-友升铝业-603418-新股介绍|全球汽车铝合金零部件核心企业-250926,公司是铝合金零部件核心供应商。公司主营业务为铝合金汽车零部件的研发、生产和销售，公司主要产品为汽车结构零部件，可分为门槛梁系列、电池托盘系列、保险杠系列、副车架系列等，不同系列...,,2025-09-26
东海证券-杰克科技-603337-公司简评报告：AI赋能缝制设备，新品牌艾图亮相-250926,"投资要点
　　“小单快反”趋势下，服装制造行业更加需要数字化管理和智能化设备。对于服装制造行业，经营的关键，一方面在于快速应对需求变化，一方面在于保障库存安全。近年国内外电商的...",买入（首次）,2025-09-26
华源证券-中兴通讯-000063-乘AI之风，算力、终端业务有望开启新一轮增长-250926,全球领先的综合信息与通信技术解决方案提供商。公司深耕ICT行业40年，拥有ICT行业完整的、端到端的产品和解决方案，集设计、开发、生产、销售、服务于一体，聚焦运营商网络、政企业...,买入（首次）,2025-09-26
华源证券-富创精密-688409-半导体设备零部件领军者，平台化构筑全链路优势-250926,"投资要点：
　　专注半导体精密零部件制造，产品矩阵持续完善。公司于2008年成立，是国内半导体设备精密零部件的领军企业，专注于金属材料零部件精密制造技术。公司产品主要为半导体设...",增持（首次）,2025-09-26
国投证券-东方精工-002611-联手乐聚进军机器人领域，在手订单充沛业绩稳增可期-250926,"事件：2025年9月19日，东方精工与乐聚智能合资设立的东方元启智能机器人（广东）有限公司正式成立，注册资本1亿元，业务涵盖服务消费机器人制造、智能家庭消费设备制造等领域。
　...",买入-A,2025-09-26
中原证券-立高食品-300973-2025年中报点评：烘焙市场表现良好，原料需求高增-250926,"投资要点：
　　公司发布2025年中期报告：2025年上半年，公司实现营收20.7亿元，同比增长16.2%；实现归母扣非净利润1.67亿元，同比增长33.28%。
　　烘焙主业...",增持（首次）,2025-09-26
东方证券-容知日新-688768-渠道改革顺利，公司成长可期-250926,事件：公司发布2025年半年报，公司实现营业收入2.56亿（+16.6%），归母净利0.14亿（+2063%）；扣非净利0.13亿（+3091%）。其中2025Q2实现收入1....,买入,2025-09-26
开源证券-浙江仙通-603239-公司信息更新报告：与浩海星空达成战略合作，开启机器人业务新篇章-250926,"入股“浩海星空”10%并成立合资公司“浩海仙通”，战略切入机器人领域
　　公司发布公告，拟以4000万元对浩海星空进行增资，投资完成后将持有浩海星空10%的股份。同时，双方将共...",买入,2025-09-26
国信证券-光峰科技-688007-发布AR显示光机和水下蓝光激光雷达，打开新赛道空间-250926,"事项：
　　公司在深圳光博会上推出多款基于激光核心技术的新品：（1）用于AR眼镜的激光+LCOS路线的AR显示光机（单绿色的一拖二双眼AR显示光机蜻蜓G1和全彩单眼AR显示光机...",优于大市,2025-09-26
光大证券-石化油服-600871-公告点评：签署道达尔3.59亿美元EPSCC合同，与国际能源巨头合作深化-250926,事件：公司发布《关于子公司签订项目合同的公告》，全资子公司中国石化集团国际石油工程有限公司与道达尔能源拉塔维项目公司就伊拉克拉塔维油区二期井场及井间管线项目（NWP项目）正式签...,增持,2025-09-26
中邮证券-大连重工-002204-业绩稳健增长，经营质量持续向好-250926,"投资要点
　　事件：公司发布2025年半年报。
　　上半年营收利润双双保持正增长。2025H1，公司实现营收74.53元，同比+6.38%，港口和散料机械行业、风电行业市场形势...",增持（首次）,2025-09-26
东兴证券-汉钟精机-002158-业绩短期承压，有望迎来拐点-250926,"事件：9月22日英伟达和OpenAI宣布达成合作，包括建设庞大数据中心计划，以及英伟达对OpenAI最高1000亿美元（约合7115亿元人民币）的投资。
　　磁悬浮压缩机渗透率...",强烈推荐,2025-09-26
华源证券-珂玛科技-301611-先进陶瓷零部件领先者，半导体业务未来可期-250926,深耕先进陶瓷和表面处理业务，先进陶瓷零部件持续成长。珂玛科技是中国第一家拥有自主知识产权，从高精密陶瓷部件设计制造到清洗维护的综合性解决方案提供商。公司主营业务包括先进陶瓷材料...,增持（首次）,2025-09-26
中邮证券-聚辰股份-688123-VPD驱动新增长-250926,"投资要点
　　SSD接口升级驱动VPD芯片的需求与技术迭代。SSD接口技术经历了从PATA、SATA到PCIe和NVMe的演变，早期的SATA接口提供了足够的速度，以满足机械硬...",买入,2025-09-26
华鑫证券-通富微电-002156-公司事件点评报告：乘AMD与AI东风，先进封装驱动高增长-250926,"事件
　　公司发布2025年半年报：2025年上半年公司实现营业收入130.38亿元，同比增长17.67%；实现归母净利润4.12亿元，同比增长27.72%；实现扣非归母净利润...",买入,2025-09-26
天风证券-乐歌股份-300729-海外仓业务保持高速增长-250926,"公司发布半年报
　　25Q2公司实现营收16亿，同比+23%，归母净利0.8亿，同比-4%，扣非归母0.5亿，同比-20%；
　　25H1公司实现营收31.4亿，同比+30%，...",买入,2025-09-26
国投证券-西麦食品-002956-深耕燕麦核心赛道，健康消费红利下迎增长新周期-250926,"西麦食品：燕麦行业标杆品牌
　　西麦食品公司于1994年创立，专注于以燕麦为代表的健康谷物食品的研发、生产、销售，并于2019年成功登陆深交所，成为“燕麦第一股”。公司治理上，...",买入-A（首次）,2025-09-26
华安证券-华菱钢铁-000932-品类结构优化，盈利能力修复-250926,"主要观点：
　　华菱钢铁发布2025年半年报
　　华菱钢铁2025年上半年实现营收630.92亿元，同比-16.93%；实现归母净利润17.48亿元，同比+31.31%。单Q2...",买入,2025-09-26
开源证券-焦作万方-000612-公司首次覆盖报告：锦江集团入主，助力公司实现一体化腾飞-250925,"锦江集团入主，助力公司实现一体化腾飞
　　焦作万方扎根焦作，拥有42万吨合规电解铝产能指标，其中35万吨产能在焦作市运行，另外7万吨产能于2024年10月出租给宁夏宁创，收取指...",买入（首次）,2025-09-26
太平洋证券-百合股份-603102-客户结构变化影响盈利表现，外延并购高成长标的-250923,事件：近期公司发布2025年半年报，2025H1公司实现收入4.20亿元，同比+2.06%，实现归母净利润0.72亿元，同比-13.37%。其中2025Q2实现收入2.13亿元...,买入（首次）,2025-09-26
东吴证券-当升科技-300073-三元构筑盈利基石，固态材料实现关键卡位-250926,事件：当升科技在投资者关系活动中介绍了公司在固态锂电正极材料、富锂锰基材料、固态电解质、三元材料、钴酸锂产品、磷酸（锰）铁锂业务以及国际市场开发等方面的进展。其中，公司固态锂电...,买入,2025-09-26
华金证券-长江能科-920158-新股覆盖研究-250925,本周三（9月24日）有一只北交所新股“长江能科”申购，发行价格为5.33元/股、发行市盈率为15.48倍（每股收益按照2024年度经会计师事务所依据中国会计准则审计的扣除非经常...,,2025-09-25
华金证券-禾元生物-688765-新股覆盖研究-250924,"下下周四（10月9日）有一家科创板上市公司“禾元生物”询价。
　　禾元生物（688765）：公司利用水稻胚乳细胞生物反应器高效重组蛋白表达平台(OryzHiExp)和重组蛋白纯...",,2025-09-25
华鑫证券-生益科技-600183-公司事件点评报告：高频高速覆铜板领军企业，受益于终端AI服务器旺盛需求-250925,"事件
　　公司发布2025年半年报：2025年上半年公司实现营业收入126.80亿元，同比增长31.68%；实现归母净利润14.26亿元，同比增长52.98%；实现扣非归母净利...",买入（首次）,2025-09-25
国金证券-恩华药业-002262-自研新药报产迎破局，创新步入收获期-250922,"投资逻辑
　　精麻龙头再起航，高壁垒产品助增长。(1)历久弥新，公司历年总营收及归母净利润均保持稳健增长，过去十年（2014A-2024A）公司总营收GAGR约为8.6%,归母...",买入（首次）,2025-09-25
华安证券-思瑞浦-688536-平台化战略取得成效，信号链与电源管理双攀升-250924,"事件
　　公司2025年第二季度实现营业收入5亿元，同比增加72%，环比增加25%；归母净利润5012万元，环比增加222%；扣非净利3595万元，环比增加1981%。
　　公...",增持,2025-09-25
中航证券-协鑫能科-002015-能源服务快速放量，新能源RWA打造新增长引擎-250922,"报告摘要
　　◆事件：公司发布2025年半年报，2025年上半年公司实现营业收入54.22亿元，同比增长15.29%；归母净利润5.19亿元，同比增长26.42%；扣非归母净利...",买入,2025-09-25
中航证券-四川九洲-000801-2025年中报点评：军民空管装备领军企业，积极布局低空经济新赛道-250919,"报告摘要
　　◆事件：公司8月27日公告，2025H1实现营收（18.54亿元，+5.53%)，归母净利润(0.73亿元，+7.85%)，毛利率(20.73%，-0.90pct...",买入,2025-09-25
