研报标题,摘要,评级,分享时间
天风证券-裕同科技-002831-成长扎实稳健-250919,"公司发布半年报
　　25Q2公司营收42亿同增8%，归母净利3.1亿同增12%；
　　25H1公司营收79亿同增7%，归母净利5.5亿同增11%。
　　25H1公司纸质精品包装...",买入,2025-09-19
长城证券-士兰微-600460-25H1归母净利润同比扭亏为盈，看好SiC产品持续放量-250919,事件：公司发布2025年半年报，2025年上半年公司实现营收63.36亿元，同比+20.14%；实现归母净利润2.65亿元，同比扭亏为盈；实现扣非净利润2.69亿元，同比+11...,增持,2025-09-19
长城证券-利扬芯片-688135-25H1盈利能力持续改善，Q2营收创单季度历史新高-250919,事件：公司发布2025年半年报，25H1公司实现营收2.84亿元，同比+23.09%；实现归母净利润-0.07亿元，同比+16.38%；实现扣非净利润-0.07亿元，同比+15...,增持（下调）,2025-09-19
长城证券-金禾实业-002597-2025半年报点评：1H25公司业绩同比提升，多领域在建项目持续推进，打开长期发展空间-250919,事件：2025年8月29日，金禾实业发布2025年半年度报告，公司2025年上半年营业收入为24.44亿，同比下跌3.73%；归母净利润3.34亿元，同比上涨35.29%；扣非...,买入,2025-09-19
东方证券-益丰药房-603939-2025年中报点评：精细运营盈利优化，新零售增长可期-250919,事件：25H1公司实现收入117.2亿元，同比-0.3%，归母净利润8.8亿元，同比10.3%，扣非归母净利润8.6亿元，同比9.1%，收入下滑利润上升主要系在行业出清期，公司...,买入,2025-09-19
西南证券-福安药业-300194-原料药及制剂一体化核心企业，具备稀缺精麻资质-250912,事件：公司发布2025年中报，25H1，公司实现总营业收入9.21亿元，同比减少35.76%；实现归母净利润1.13亿元，同比减少47.74%。25Q1/Q2分别实现营收4.6...,,2025-09-19
东方证券-百洋医药-301015-2025年中报点评：产品结构优化，创新转型提速-250919,事件：25H1公司实现收入37.5亿元，同比-6.0%，归母净利润1.6亿元，同比-59.5%，经营性净现金流3.9亿元，同比-16.9%，利润承压主要系公司进一步聚焦创新药和...,买入,2025-09-19
财通证券-伯特利-603596-制动为基品类扩张，海外提供重要增量-250919,深耕制动二十余年，智能电控业务快速放量：公司2004年成立，主营业务包括机械制动、智能电控和机械转向。2025年公司发行可转债，募集资金总额不超过28.02亿元，主要用于智能电...,买入（首次）,2025-09-19
长城证券-汇顶科技-603160-25H1利润同比高速增长，多品类产品持续放量-250919,事件：公司发布2025年半年报，2025年上半年，公司实现营收22.51亿元，同比下降0.20%；实现归母净利润4.31亿元，同比增长35.74%；实现扣非净利润3.40亿元，...,增持,2025-09-19
华源证券-乐惠国际-603076-设备业务行业领先，鲜啤业务势头正盛-250919,啤酒设备领军企业，“整厂交钥匙”能力突出。公司作为啤酒装备行业龙头，凭借深厚的技术积累与成本优势，在全球市场竞争中脱颖而出。其“整厂交钥匙”服务能力独树一帜，能为客户提供全流程...,增持（首次）,2025-09-19
中邮证券-唯捷创芯-688153-拐点已至-250919,毛利率环比增长6.76pct，下半年营收有望逐季增长。公司上半年实现营收9.87亿元，同比下降7.93%，其中射频功率放大器模组为收入的主要来源，占主营业务收入比重80.19%...,买入,2025-09-19
群益证券-申通快递-002468-8月单票收入好于预期，公司利润弹性有望释放-250919,"事件：
　　公司公布2025年8月运营数据，8月单月快递业务实现收入44.34亿元，YOY+14.47%；完成业务量21.47亿件，YOY+10.92%；单票收入录得2.06亿...",买进,2025-09-19
江海证券-昊志机电-300503-国内中高端机床核心零部件制造领域领先企业，人形发展形成第二成长曲线-250919,国内中高端机床核心零部件制造领域领先企业，研发技术实力强劲。广州市昊志机电股份有限公司于2006年成立（前身分别为大族高精、昊志有限），2016年公司成功登陆创业板，是国内外主...,买入（首次）,2025-09-19
山西证券-新易盛-300502-二季度收入环比大幅增长，高端产品上量利好盈利能力-250919,"事件描述
　　公司发布2025年半年报。上半年，公司实现营收104.4亿元，同比增长282.6%；实现归母净利润39.4亿元，同比增长355.7%。25Q2，公司实现营收63....",买入,2025-09-19
