研报标题,摘要,评级,分享时间
华福证券-德业股份-605117-Q2业绩符合预期，工商储放量明显-250922,"业绩点评
　　公司发布25H1业绩公告，25H1实现营收55.35亿元，同比+16.58%；归母净利润15.22亿元，同比+23.18%；扣非归母净利润14.62亿元，同比+2...",买入,2025-09-22
交银国际-中微公司-688012-刻蚀设备优势明显，产品进一步多元化-250922,存储器电路结构复杂拉动刻蚀/沉积需求：此前，我们曾在主题报告和北方华创首次覆盖报告中阐述逻辑电路制程升级会增加刻蚀和沉积设备需求，本文中，我们深度剖析3DNAND的制作过程，随...,买入（首次）,2025-09-22
华源证券-东方电气-600875-毛利率和费用率改善，今年有望迎交付高峰-250922,公司发布2025年中期报告。25H1实现营收376.2亿元（同比+14.3%），实现归母净利润19.1亿元（同比+12.9%）。其中25Q2实现营收213.3亿元（同比+17....,买入,2025-09-22
华西证券-致尚科技-301486-深耕精密制造，“光+算”布局开新篇-250922,"深耕精密制造多年，服务核心终端客户完成关键卡位
　　公司早期业务围绕富士康，深耕精密制造领域多年，后收购春生电子，开始紧密服务N客户、索尼及Meta等核心客户，在游戏主机制造领...",买入（首次）,2025-09-22
华安证券-正帆科技-688596-产品结构持续改善，外延并购蓄力成长-250922,"主要观点：
　　事件：正帆科技发布2025中报
　　公司25H1实现营业收入20.2亿元，同比增长8.9%；实现归母净利润0.9亿元，同比下降10.2%；实现毛利率23.7%，...",增持,2025-09-22
华安证券-豪威集团-603501-25H1稳健增长，新业务多点开花-250922,"事件：公司发布2025中报
　　公司2025年上半年实现营业收入139.6亿元，同比增长15.4%；实现归母净利润20.3亿元，同比增长48.3%；实现毛利率30.5%，同比增...",增持,2025-09-22
天风证券-中天科技-600522-Q2业绩拐点或现，新业务向AI布局紧抓行业浪潮-250922,"事件：
　　中天科技发布2025年半年报，实现营业收入236亿元，同比增长10.19%；实现归母净利润15.68亿元，同比增长7.38%；实现扣非净利润14.68亿元，同比增长...",买入,2025-09-22
西南证券-蔚蓝锂芯-002245-传统圆柱周期向上，新业务打开弹性空间-250919,事件：公司2025年上半年实现营收37.27亿元，同比增长21.6%；实现归母净利润3.33亿元，同比增长99.1%；扣非归母净利润3.56亿元，同比增长186.5%。公司20...,持有,2025-09-22
光大证券-中复神鹰-688295-跟踪点评报告：25Q2盈利能力显著改善，时隔一年首次扭亏-250922,事件：中复神鹰发布2025年半年报。25H1，公司实现收入/归母净利润/扣非净利润9.2/0.12/0.02亿元，同比+26%/-52%/+110%。25Q2，公司实现收入/归...,增持,2025-09-22
长城证券-盛美上海-688082-半导体设备需求持续强劲，25H1净利润同比高增-250922,事件：公司发布2025年半年报，2025年上半年公司实现营收32.65亿元，同比+35.83%；实现归母净利润6.96亿元，同比+56.99%；实现扣非净利润6.74亿元，同比...,买入,2025-09-22
