研报标题,摘要,评级,分享时间
海通国际-道通科技-688208-公司跟踪报告：智能诊断和能源高增，AI巡检前景广阔-250929,"本报告导读：
　　公司业绩实现强劲增长；AI战略成效显著，软件业务高增；维修智能终端稳健，TPMS业务爆发；能源智能中枢（充电桩）迈入收获期；AI巡检前景广阔。
　　投资要点：...",优于大市,2025-09-29
海通国际-国盾量子-688027-公司跟踪报告：量子计算驱动业绩高增，与中电信协同效应显著-250929,"投资要点：
　　维持“优于大市”评级。我们预计，公司2025-2027年营业收入分别为3.64/4.93/6.40亿元，每股收入分别为3.54/4.80/6.22元人民币。参考...",优于大市,2025-09-29
海通国际-润泽科技-300442-公司跟踪报告：AIDC业务结构优化，盈利能力正在边际改善-250929,"本报告导读：
　　中报业绩稳健；AIDC业务结构优化；一线核心资源限制严格，更具稀缺性；REITs成功上市，“轻重分离”模式打通。
　　投资要点：
　　维持“优于大市”评级。我...",优于大市,2025-09-29
天风证券-华致酒行-300755-行业调整期阶段承压，静待改革发力-250929,"事件：公司发布2025年半年度报告。
　　2025Q2实现营收10.98亿元（同比-39.36%）；实现归母净利润-0.29亿元（同比-215.37%）；实现扣非归母净利润-0...",增持（下调）,2025-09-29
国信证券-云南铜业-000878-铜冶炼盈利稳健，大股东优质资产注入-250929,国内老牌铜企，中铝集团旗下唯一铜上市平台。云南铜业前身是国家“一五计划”重点建设项目，主要业务是铜的采选冶，冶炼产能140万吨，在国内仅次于铜陵有色和江西铜业，旗下矿山分布在云...,优于大市,2025-09-29
华鑫证券-伟星股份-002003-公司事件点评报告：股权激励再落地，三年增长目标彰显发展信心-250929,"事件
　　伟星股份发布公告：董事会薪酬与考核委员会关于第六期股权激励计划的核查意见，同意公司实施第六期股权激励计划。
　　投资要点
　　▌三年业绩增长目标明确，2026-202...",买入,2025-09-29
华鑫证券-聚光科技-300203-公司动态研究报告：业绩短期承压，高端科学仪器国产替代趋势不改-250929,"▌收入小幅下降，业绩短期承压
　　2025年上半年，公司实现营业收入12.95亿元，同比下降8.23%；归母净利润-0.51亿元，同比下降210.86%。分板块看，仪器及耗材实...",买入,2025-09-29
东方证券-航天电子-600879-中小型无人机市场空间广阔，商业航天带来新增量-250929,"核心观点
　　内需外贸共振，公司无人机业务迎来快速增长，“鸿栅”无人装备管理系统有望引领无人作战新趋势。（1）全球范围看，军用中小型无人机有望实现快速增长。从俄乌冲突等实战效果...",买入（首次）,2025-09-29
华鑫证券-赛力斯-601127-公司事件点评报告：国际化战略迈出关键一步，融资助力海外渠道建设-250929,"事件
　　 2025年9月25日，赛力斯发布公告称，其发行境外上市外资股（H股）的计划已获中国证监会备案通过。根据备案通知，公司拟发行不超过3.31亿股普通股，并在香港联合交易...",买入,2025-09-29
国信证券-中泰股份-300435-前三季度利润预增71%~87%，深化海外布局，切入液冷业务-250929,"核心观点
　　2025年上半年营业收入同比下滑4.79%，归母净利润同比增长9.14%。2025年上半年实现营收13.02亿元，同比下滑4.79%；归母净利润1.35亿元，同比...",优于大市,2025-09-29
东方证券-伟星股份-002003-新一期股权激励方案出炉，预计中期形势好于短期-250929,"核心观点
　　公司发布第六期股权激励计划，新计划针对26-28年制定业绩考核目标，25年仍沿用第五期激励计划要求，反映了公司对中短期经营形势的基本判断。本期激励计划公司拟授予的...",买入,2025-09-29
