分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,开源证券-日联科技-688531-中小盘信息更新：订单高景气，内生+外延打造全球检测平台型龙头-250804,"国内工业X射线检测龙头，内生+外延进军全球检测领域平台型龙头
　　公司长期专注于X射线全产业链技术研究，已经发展成为具备较强稀缺性的国内工业X射线检测龙头。一方面，公司是国内少...",周佳，孟鹏飞,买入,4,2025-08-04,zhen******926,1,2025-08-04 15:05:20,,
投研资讯,国投证券-九号公司-689009-Q2两轮车收入持续高增，单季经营表现亮眼-250804,事件：九号公司公布2025年中报。公司2025年上半年实现收入117.4亿元，YoY+76.1%；归母净利润12.4亿元，YoY+108.5%；扣非后归母净利润13.1亿元，Y...,余昆，陈伟浩,买入-A,5,2025-08-04,che****99,1,2025-08-04 15:05:20,,
投研资讯,光大证券-东方雨虹-002271-2025年中报点评：收入下滑收窄，全球布局加速-250804,事件：东方雨虹25H1实现营收/归母净利/扣非归母净利135.7/5.6/5.1亿元，同比-10.8%/-40.2%/-39.3%。单Q2实现营收/归母净利/扣非归母净利76....,孙伟风，鲁俊,买入,3,2025-08-04,gar****07,1,2025-08-04 15:05:20,,
投研资讯,华安证券-萤石网络-688475-25Q2：延续利润率修复态势-250803,"公司发布25Q2业绩：
　　25Q2：收入14.5亿元（同比+7.5%），归母净利润1.6亿（同比+5.0%），扣非归母净利润1.6亿（同比+3.3%）；
　　25H1：收入2...",邓欣,买入,4,2025-08-04,god****e1,1,2025-08-04 15:05:20,,
投研资讯,东吴证券-铁大科技-872541-轨交信号行业享红利，布局无人物流与机器人产业待腾飞-250804,轨交信号监测行业优质供应商：公司经过30多年的科技成果产业化，已成为集信号产品自主设计、研发、制造、销售、工程、服务于一体，提供行业解决方案的高新技术企业，并形成了设备监测（监...,朱洁羽，易申申，余慧勇,买入（首次）,21,2025-08-04,ch***n,1,2025-08-04 15:05:20,,
投研资讯,民生证券-上汽集团-600104-系列点评十二：自主品牌销量亮眼 尚界H5催化可期-250804,"事件概述：公司发布7月产销快报，2025年7月上汽集团批发销售33.8万
　　辆，2025M1-7销量239.0万辆，同比+15.0%。
　　分品牌看：7月上汽大众销量8.0万...",崔琰,推荐,4,2025-08-04,art****65,1,2025-08-04 15:05:20,,
投研资讯,东方证券-三全食品-002216-出海加码叠加产能扩张，三全加速多元化增长布局-250804,设厂澳洲，开启出海落地第一步。7月21日公司公告，拟投资2.8亿澳元在澳大利亚设立生产基地，正式启动海外本地化战略。具体路径为：公司在中国香港设立全资子公司，再由其在开曼设立全...,谢宁铃,买入,5,2025-08-04,北京***工,1,2025-08-04 15:05:20,,
投研资讯,中邮证券-药明康德-603259-盈利能力稳步提升，上调全年业绩指引-250804,"事件
　　公司发布2025年半年报，上半年实现营业收入208.0亿元（+20.6%，同比增速，下同），其中持续经营业务收入204.1亿元（+24.2%）；归母净利润85.6亿元...",盛丽华，陈灿,买入（首次）,5,2025-08-04,li***7,1,2025-08-04 15:05:20,,
投研资讯,西南证券-道道全-002852-主业稳健增长，渠道扩张成效显现-250802,业绩总结：公司发布2025年半年度报告，2025年上半年公司实现营收27.92亿元，同比增长1.16%；归母净利润1.81亿元，同比增长563.15%；扣非后归母净利润1.57...,徐卿，赵磐,买入,5,2025-08-04,je***8,1,2025-08-04 15:05:20,,
投研资讯,长城证券-九号公司-689009-2Q25利润超预期，电动两轮车业务高增长-250804,事件：1H25公司实现营收117.42亿，同比+76.1%；归母净利润12.42亿，同比+108.5%；扣非净利润13.12亿，同比+125.3%。2Q25公司实现营收66.3...,陈逸同，金瑞,买入,3,2025-08-04,贺**君,1,2025-08-04 15:05:20,,
