研报标题,摘要,评级,分享时间
西南证券-东宏股份-603856-“双线”战略驱动强劲，智能管网全链布局-250923,事件：公司发布2025年半年度报告，2025H1公司实现营业总收入10.61亿元，同比-32.78%，实现归母净利润1.02亿元，同比-32.31%；2025年单二季度实现营业...,买入（首次）,2025-09-25
民生证券-博通股份-600455-首次覆盖报告：华丽蜕变“高教第一股”，城市学院未来可期-250925,华丽蜕变“高校第一股”。上市之初，博通股份主要从事应用软件、行业解决方案的研发、销售等业务，2005年11月公司联合西安交大合作创办城市学院，城市学院发展迅速，目前在校生约11...,谨慎推荐（首次）,2025-09-25
华安证券-富创精密-688409-技术与市场双向突破，稳健布局未来-250924,"事件
　　公司2025年第二季度实现营业收入10亿元，同比增加20%，环比增加26%；归母净利润3443万元，同比减少44%，环比增加255%；扣非净利2681万元，同比减少5...",增持,2025-09-25
东莞证券-恒瑞医药-600276-事件点评：出海步伐不断加速-250925,"投资要点：
　　事件：9月24日，公司发布公告，公司与GlenmarkSpecialty S.A.（以下简称“Glenmark Specialty”）达成协议，将公司具有自主知...",买入,2025-09-25
东方证券-微电生理-688351-2025年中报点评：业绩符合预期，海外市场加速拓展-250925,事件：公司公布2025年中报，报告期内实现营收2.2亿元，同比12.8%，主要得益于国内外市场均衡布局和压力导管快速放量。2025H1，公司实现归母净利润0.33亿元，同比92...,增持,2025-09-25
华安证券-华大智造-688114-2025Q2业绩季度环比改善，装机量快速提升-250925,"事件：
　　公司发布2025年中期报告，2025年上半年实现营业收入11.14亿元（yoy-7.90%），归母净利润-1.04亿元，扣非归母净利润-2.03亿元。
　　其中20...",买入,2025-09-25
中邮证券-南芯科技-688484-车规新品发布-250925,"事件
　　公司推出全新ASIL-D功能安全等级的车规级SBCSC6259XQ，可应用于12V和24V系统，单芯片集成多达7路电源。
　　投资要点
　　车规新品发布，助力汽车智能...",买入,2025-09-25
天风证券-同仁堂-600085-收入表现稳健，毛利率有望逐步修复-250925,"事件
　　2025H1，公司实现营业收入97.69亿元，同比增长0.06%；归母净利润9.45亿元，同比-7.39%；2025Q2单季度实现营业收入44.93亿元，同比-0.0...",买入,2025-09-25
东吴证券-联合动力-301656-新能源汽车电驱动龙头，技术&产品&客户构筑护城河-250924,"投资要点
　　新能源车电驱动龙头，厚积薄发持续高增。联合动力前身为汇川技术汽车电子事业部，2016年独立运营后成长为电动车电驱系统平台型龙头，业务覆盖电驱系统与电源系统，并实现...",,2025-09-25
国信证券-丽珠集团-000513-创新转型成果初见，在研管线值得期待-250924,2025年上半年业绩逐步企稳，盈利能力持续提升。2025年上半年公司实现营收62.72亿元（-0.2%），归母净利润12.81亿元（+9.4%），扣非归母净利润12.58亿元（...,优于大市（首次）,2025-09-24
太平洋证券-保利发展-600048-2025年中报点评：营收业绩短期承压，融资渠道畅通-250924,"事件：
　　公司发布2025年中报，2025年上半年公司实现营业收入1168.57亿元，同比下降16.08%，归母净利润27.11亿元，同比下降63.47%。
　　要点：
　　...",买入,2025-09-24
华鑫证券-宏华数科-688789-公司动态研究报告：业绩稳健增长，研发与全球扩张双轮驱动-250924,"投资要点
　　▌业绩稳健增长，主营业务驱动营收与利润双提升
　　2025年上半年，宏华数科实现营业收入10.38亿元，同比增长27.16%；归属于上市公司股东的净利润达2.51...",买入（首次）,2025-09-24
华鑫证券-炬光科技-688167-公司事件点评报告：Q2利润实现扭亏为盈，光通信、消费电子双成长赛道打开新空间-250924,"事件
　　炬光科技发布2025年半年度报告：2025年上半年实现营业收入3.93亿元，同比增长26.20%；实现归母净利润-0.25亿元，同比减亏；实现扣非后归母净利润-0.2...",买入,2025-09-24
华鑫证券-长春高新-000661-公司事件点评报告：合作引入脱敏管线，自主研发布局肿瘤方向-250924,"事件
　　长春高新发布公告：控股子公司长春金赛药业有限责任公司与丹麦ALK-Abelló A/S公司达成变应原特异性免疫治疗（AIT）产品合作。
　　投资要点
　　▌合作拓展脱...",买入,2025-09-24
华鑫证券-拓斯达-300607-公司动态研究报告：核心技术突破驱动业绩增长，新兴市场拓展打造新增长极-250924,"投资要点
　　▌行业政策利好，高端制造需求持续释放
　　公司所处的工业机器人、数控机床及注塑机行业属于国家战略性新兴产业，受益于“智能制造装备产业”政策支持及制造业转型升级趋势...",买入（首次）,2025-09-24
太平洋证券-蜂助手-301382-身处智能化蓝海，不断打开成长空间-250923,"国内知名的数字虚拟商品运营服务商,拓展物联网+云终端领域。蜂助手成立于2012年，是一家互联网数字化虚拟商品综合服务提供商，主要为移动互联网相关场景客户提供移动互联网数字化虚拟...",买入,2025-09-24
天风证券-长春高新-000661-与ALK合作，有望开启中国脱敏新时代-250924,"事件：
　　2025年9月17日，长春金赛药业有限责任公司（以下简称“金赛药业”）与全球最大的脱敏治疗药企ALK-Abelló A/S公司（以下简称“ALK”）签署合作协议，双...",买入,2025-09-24
中邮证券-艾为电子-688798-AW86501BDC新品发布，助力CGM新未来-250924,"投资要点
　　AW86501BDC新品发布，助力CGM新未来。公司以核心产品HyperHall？构建磁传感器产品全品类布局，细分为三大产品系列：S系列（聚焦稳定可靠）；R系列（...",买入,2025-09-24
华安证券-科沃斯-603486-科沃斯投资探讨——如何看待科沃斯未来潜力空间-250923,"公司2023年业绩触底，2024-25H1已迎经营拐点，如何看待未来潜力空间？把握①产品周期&全球化/②平台化/③产业链三重预期差。
　　空间之一：全球化空间
　　行业步入“活...",,2025-09-24
西南证券-长安汽车-000625-新能源放量，全球化与智能化打开新空间-250924,"业绩总结：公司2025年上半年实现营业收入726.9亿元，同比-5.3%；归母净利润22.9亿元，同比-19.1%。
　　经营分析：25H1，公司营收小幅下滑主要受行业竞争加剧...",买入（首次）,2025-09-24
山西证券-福莱特-601865-光伏玻璃供需格局改善，公司盈利能力有望修复-250924,"事件描述
　　公司发布2025年半年报，2025年上半年实现营收77.4亿元，同比- 27.7%；实现归母净利润2.61亿元，同比-82.6%。Q2单季度实现营业收入36.6亿...",买入-A,2025-09-24
东方证券-佰仁医疗-688198-2025年中报点评：业绩亮眼，研发成果有序落地-250924,TAVR成功上市，业绩符合预期。25H1公司实现收入2.5亿元，同比30.1%；实现归母净利润0.7亿元，同比102.9%，剔除股份支付影响，归母净利润同比增长64.7%，表现...,买入,2025-09-24
中原证券-仕佳光子-688313-中报点评：净利润高速增长，AI带动光通信产品需求扩容-250924,事件：公司发布2025年中报，25H1，公司实现营收9.93亿元，同比+121.12%，归母净利润2.17亿元，同比+1712.00%。25Q2，公司实现营收5.56亿元，同比...,买入,2025-09-24
华安证券-盛美上海-688082-2025年上半年业绩持续成长，成为半导体设备平台型公司-250924,"主要观点:
　　●事件:盛美上海公布2025年半年报
　　2025年1-6月公司营业收入为32.65亿元，同比增长35.83%，主要原因是中国大陆市场需求强劲，公司凭借技术差异...",买入,2025-09-24
中原证券-润泽科技-300442-中报点评：大规模数据中心集中交付，智算服务高速增长-250924,公司公布了2025年半年报：2025H1公司收入24.96亿元，同比增长15.31%；净利润8.82亿元，同比下滑9.48%；扣非后净利润8.78亿元，同比下滑7.55%。20...,买入,2025-09-24
山西证券-祥和实业-603500-利润高增彰显成长韧性，铁路智能检测装备打开发展空间-250924,"事件描述
　　近日，祥和实业股份发布2025年中报。2025年H1公司实现营业收入3.81亿元，同比+6.49%；归母净利润为0.64亿元，同比+96.56%；扣非净利润为0....",增持-A（首次）,2025-09-24
群益证券-太辰光-300570-MPO产业具备先发优势，产能持续爬坡释放-250924,"事件：
　　公司是全球最大的光连接产品制造商之一，部分无源光器件领域的细分产品技术水平在业内处于领先地位，产品广泛应用于数据中心建设。公司自研制造的MPO连接器已实现规模化生产...",买进,2025-09-24
东方证券-普门科技-688389-2025年中报点评：海外稳健发展，国内短期承压-250924,事件：公司发布2025年中报，报告期内实现营收5.1亿元（同比-14.1%），归母净利润1.2亿元（同比-29.3%）。分板块来看，公司体外诊断业务2025H1实现收入3.9亿...,买入,2025-09-24
天风证券-晋控煤业-601001-煤炭业务稳健发展，产能增量可期-250924,"存量利润丰厚，增量利润可期
　　公司目前主要的资产是塔山煤矿、色连煤矿和同忻煤矿，三个煤矿产能分别为2660万吨/年、800万吨/年、1600万吨/年。其中合并报表范围内的核定...",买入（首次）,2025-09-24
国投证券-物产环能-603071-煤炭贸易短期承压，热电联产稳步发展-250924,"事件：
　　公司发布2025年半年度报告，公司2025H1实现营业总收入184.22亿元（同比-7.56%），归母净利润3.02亿元（同比+15.96%）。25H1营业收同比减...",买入-A（首次）,2025-09-24
群益证券-亿纬锂能-300014-公司出货量将保持较快增长，盈利能力逐步改善，建议“买进”-250924,"结论与建议：
　　公司出货量保持较快增长，2025年上半年储能/动力电池出货量分别为28.71GWh/21.48GWh，同比分别增37%和58.6%；下半年，公司动力电池有望保...",买进,2025-09-24
东方证券-威高骨科-688161-2025年中报点评：盈利快速释放，海外迎来突破-250924,"事件：25H1，公司实现收入7.4亿元，同比-1.3%，归母净利润1.4亿元，同比52.4%，扣非归母净利润1.4亿元，同比52.0%。
　　市场份额扩大销售模式改革，盈利快速...",增持,2025-09-24
西南证券-秦安股份-603758-基本盘稳健，新能源新材料启新篇-250915,"业绩总结：2025年上半年公司实现营业收入6.8亿元，同比-13.2%，归母净利润8039万元，同比+30.0%，扣非后归母净利润8382万元，同比-14.8%。
　　经营分析...",,2025-09-24
群益证券-北特科技-603009-加码人形机器人产业，泰国工厂稳步推进-250924,"结论与建议：
　　公司业务涵盖转向器齿条、减震器活塞杆、空调压缩机等汽车零部件产品，2025上半年营业收入、扣非后归母净利润yoy分别为14.7%、61.3%。凭借在汽零加工领...",买进,2025-09-24
西南证券-壹连科技-301631-电连接组件增长稳健，下游应用领域不断打开-250921,事件：公司2025年上半年实现营收20.67亿元，同比增长22.1%；实现归母净利润1.37亿元，同比增长18.5%；扣非归母净利润1.24亿元，同比增长15.4%。公司202...,买入（首次）,2025-09-24
中邮证券-晶盛机电-300316-碳化硅驱动新增长-250924,"投资要点
　　碳化硅衬底材料：加速产业化，提升国际化供应能力。为提升性能，英伟达在新一代Rubin处理器的开发蓝图中，计划把CoWoS先进封装环节的中间基板材料，由硅换成碳化硅...",买入,2025-09-24
中邮证券-瑞迈特-301367-境外业务快速推进，耗材占比持续增长-250924,"业绩简评
　　公司发布2025年半年报，2025年H1公司实现营业收入5.44亿元，同比上涨42.30%；实现归属于母公司所有者的净利润1.31亿元，同比上涨42.19%；归属...",买入,2025-09-24
华鑫证券-溯联股份-301397-公司事件点评报告：传统主业相对稳健，液冷业务持续推进-250923,"事件
　　公司近期发布2025半年报：报告期内公司实现营收6.68亿元，同比增长26.30%，实现归母净利润6776.25万元，同比下降4.43%。对此，我们点评如下：投资要点...",买入,2025-09-24
国金证券-中泰股份-300435-国内深冷潮头立，出海爆发欲试锋-250923,"投资逻辑：
　　国内深冷装置核心玩家，出海起步业绩高增。公司主营化工能源领域的深冷装置，2025年增长动能由国内切换到海外，带动利润高增、盈利能力改善。根据中报，25H1公司海...",买入,2025-09-24
东吴证券-唯捷创芯-688153-射频产业深度变革加速，技术突破与市场拓展显著-250923,射频行业在2025年将呈现显著增长与深刻变革：市场空间方面，中研普华产业研究院报告预测2025年全球射频前端市场规模将突破300亿美元，其中中国因5G基站建设的驱动，需求占比超...,买入,2025-09-23
东吴证券-卓胜微-300782-L~PAMiD国产替代提速，成长空间加速释放-250923,射频行业展现显著增长与深刻变革：市场空间方面，中研普华产业研究院的报告预测2025年全球射频前端市场规模将突破300亿美元，其中中国因5G基站建设的驱动，需求占比超过40%。行...,买入,2025-09-23
国金证券-豫园股份-600655-核心商圈“再造”，品牌出海贡献增量-250923,"公司简介
　　公司是东方美学品牌IP商业化运营的代表，以豫园商城与东方美学品牌为核心，覆盖多元消费业态。25H1消费产业运营、商业综合运营与物业综合服务、地产开发销售三大业务收...",增持（首次）,2025-09-23
太平洋证券-天秦装备-300922-深耕装备防护领域，受益弹药产业链高景气-250923,"报告摘要
　　国内装备防护领域龙头企业，产品应用覆盖多军兵种。天秦装备主要从事以高分子材料、树脂基复合材料、金属材料制品的新型加工和应用技术为核心的专用防护装置及装备零部件的研...",买入,2025-09-23
东方证券-沪农商行-601825-25H1财报点评：营收增速改善，资产质量平稳-250923,营收增速边际改善，利润维持正增长。截至25H1，沪农商行营收、PPOP、归母净利润增速（累计同比增速，下同）分别为-3.4%/-1.9%/+0.6%，较25Q1+4.0pct、...,买入,2025-09-23
