分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,天风证券-圣晖集成-603163-订单&营收均实现高增，海外收入同比增长191%-250808,"H1收入实现高增长，看好公司中长期增长前景维持“买入”评级
　　25H1公司实现营收12.95亿，同比+39.04%，归母净利润0.62亿，同比+9.63%；Q2单季营收7.2...",鲍荣富，王涛，王雯,买入,3,2025-08-08,虎少***7,1,2025-08-08 02:45:32,,
投研资讯,东吴证券-广信科技-920037-特高压绝缘材料龙头，行业高景气推动量利双升-250808,深耕绝缘纤维材料领域，供需偏紧下盈利持续上行：公司成立于2004年，二十余年持续专注绝缘纤维材料领域，产品全电压等级覆盖，2025年登陆北交所。受益于下游需求旺盛，供需偏紧下价...,朱洁羽，曾朵红，余慧勇,买入（首次）,27,2025-08-08,刘***,1,2025-08-08 02:45:32,,
投研资讯,中航证券-中宠股份-002891-盈利能力支撑业绩快增，品牌和全球战略推进-250805,"报告摘要
　　25H1业绩快增，盈利能力显著提升
　　中宠股份2025年上半年实现营业收入24.32亿元(同比+24.32%)，归母净利润2.03亿元(同比+42.56%)，扣...",彭海兰，陈翼,买入,5,2025-08-08,四***,1,2025-08-08 02:45:32,,
投研资讯,国信证券-中国移动-600941-2025年上半年净利润同比增长5%，中期派息同比增长5.8%-250808,"2025年上半年公司经营业绩稳健增长。2025年上半年，公司实现营收5438亿元（同比-0.5%），通信服务收入达4670亿元（同比+0,7%）。归母净利润842亿元（同比+5...",袁文翀,优于大市,7,2025-08-08,xio****un,1,2025-08-08 02:45:32,,
投研资讯,国信证券-常熟银行-601128-2025年半年报点评：做小做散，分红率提升至25%-250808,"核心观点
　　业绩韧性较强，分红率提升至25%。公司此前已披露业绩快报，2025年上半年实现营收60.6亿元，同比增长10.1%，归母净利润19.7亿元，同比增长13.5%。公...",王剑，田维韦,优于大市,4,2025-08-08,sli****ay,1,2025-08-08 02:45:32,,
投研资讯,华西证券-顺丰控股-002352-深度研究2：如何看顺丰降本控费的持续性？-250807,"长期角度：所处赛道为19万亿元+大行业。我们在22年12月4日外发的《顺丰控股深度研究1：如何看顺丰的长、中、短期成长空间？》总结,中国物流行业是一个大而又分散的行业。作为中国...",游道柱,买入,34,2025-08-08,1872******014,1,2025-08-08 02:45:32,,
投研资讯,国金证券-爱旭股份-600732-Q2盈利转正，看好公司ABC产品的可持续竞争力-250808,"业绩简评
　　2025年8月7日，公司发布2025年半年报。2025上半年公司实现营业收入84.46亿元，同比+63.63%；实现归母净利润-2.38亿元，同比减亏；其中Q1/...",姚遥,买入,4,2025-08-08,zh_****an,1,2025-08-08 02:45:32,,
投研资讯,国金证券-中国移动-600941-股东回报持续提升，智算规模扩展-250808,"业绩简评
　　2025年8月7日，公司发布2025年半年度报告。2025年上半年实现营收5437.69亿元，同比-0.5%；实现归母净利润842.35亿元，同比+5.0%。Q2...",张真桢,买入,4,2025-08-08,we***i,1,2025-08-08 02:45:32,,
投研资讯,国金证券-甘李药业-603087-制剂业务持续高增，研发及国际化稳步推进-250807,"业绩简评
　　2025年8月7日，公司发布2025年半年度报告，上半年公司实现营业总收入20.67亿元，同比增长57.18%，实现归母净利润6.04亿元，同比增长101.96%...",甘坛焕，马居东,买入,4,2025-08-08,jjj****hh,1,2025-08-08 02:45:32,,
投研资讯,国金证券-禾望电气-603063-新能源、海外业务同比高增，传动业务稳步迈进-250807,"业绩简评
　　2025年8月7日公司披露半年报，上半年实现营收18.84亿元，同比增长36%；实现归母净利润2.43亿元，同比增长57%；实现扣非归母净利润2.28亿元，同比增...",姚遥，宇文甸,买入,4,2025-08-08,cnb****tt,1,2025-08-08 02:45:32,,
投研资讯,万联证券-东鹏饮料-605499-点评报告：业绩维持高增长，东鹏补水啦增速亮眼-250807,"报告关键要素: 
　　2025年7月26日，公司发布2025年半年度报告。2025年上半年，公司实现营收107.37亿元（同比+36.37%），归母净利润23.75亿元（同比+...",陈雯,增持,4,2025-08-07,hu***n,1,2025-08-08 02:45:32,,
投研资讯,浦银国际-百济神州-688235-2Q25业绩再超预期，全年指引上调-250807,"公司2Q25业绩好于预期，公司轻微上调2025年收入、毛利率及现金流指引。维持“买入”评级，上调美股、港股和A股目标价。
　　2Q25收入、盈利均超预期：2Q25总收入为13....",阳景，胡泽宇,买入,10,2025-08-07,nyh****08,1,2025-08-08 02:45:32,,
投研资讯,开源证券-光环新网-300383-公司深度报告：IDC领军企业开启AIDC新篇章-250807,"IDC领军企业，AIDC时代开启新篇章
　　光环新网成立于1999年，2001年在北京市率先开展IDC服务，并持续投入各地IDC建设，2015年收购无双科技跨入云计算领域，20...",蒋颖,买入（上调）,23,2025-08-07,zha****_l,1,2025-08-08 02:45:32,,
投研资讯,东方证券-杰瑞股份-002353-25Q2点评：Q2收入和扣非利润大幅增长，经营能力上升有望提升公司价值-250807,"核心观点
　　经营能力提升有望提升公司价值。公司25Q2的收入和扣非业绩均实现增速上升，我们认为数据背后反映了杰瑞以下3个方面的经营能力变化，并有望在未来为企业带来更多增长机会...",杨震,买入,6,2025-08-07,chri******vis,1,2025-08-08 02:45:32,,
投研资讯,海通国际-景嘉微-300474-显卡、通用GPU双线布局，管理变革推动创新-250807,"本报告导读：
　　公司持续保持高研发投入追求技术领先，产品方面景宏GPU、显卡JM11双线布局，内部管理体系变革推动企业创新。
　　投资要点：
　　维持优于大市评级，目标价86...",Lin Yang，Liang Song,优于大市,11,2025-08-07,jxw****14,1,2025-08-08 02:45:32,,
投研资讯,交银国际-豪威集团-603501-汽车智能驾驶业务驱动收入创新高-250807,我们调整了豪威集团的盈利预测。我们认为公司产品在汽车智能驾驶领域持续渗透或是驱动公司2Q25收入创历史新高的推动力。我们下调豪威2025/26年收入预测到311亿/368亿元（...,王大卫，童钰枫,买入,5,2025-08-07,mai****01,1,2025-08-08 02:45:32,,
投研资讯,中原证券-通达股份-002560-2025年中报点评：电缆订单大幅增长，航空机械加工毛利率快速回升-250807,"投资要点：
　　2025年7月26日，通达股份(002560.SZ)发布2025年中报：2025年上半年，公司实现营业收入36.18亿元，同比增长37.28%；归母净利润618...",刘智,买入,6,2025-08-07,mou****lj,1,2025-08-08 02:45:32,,
投研资讯,光大证券-萤石网络-688475-2025年半年报点评：25Q2主业营收稳健增长，智能入户&出海表现亮眼-250807,公司发布半年报，25Q2实现营收14.47亿元（YoY +7.48%，QoQ+4.85%），归母净利润1.64亿元（YoY +4.95%，QoQ +19.07%）；25H1实现...,施鑫展，刘凯，王之含,增持,3,2025-08-07,kel****ou,1,2025-08-08 02:45:32,,
投研资讯,东莞证券-塔牌集团-002233-2025年中报点评：上半年业绩大增，盈利能力提升-250807,"塔牌集团（002233）发布2025年中报，上半年实现营业收入20.56亿元，同比上升4.05%；实现归属于上市公司股东净利润4.35亿元，同比上升92.47%。
　　上半年业...",何敏仪,增持,4,2025-08-07,liu****ng,1,2025-08-08 02:45:32,,
投研资讯,江海证券-博迅生物-836504-深耕生命科学仪器领域，技术与需求共振开启增长空间-250807,公司深耕生命科学实验设备领域29年，技术积淀深厚，累计获得15项发明专利、40项实用新型专利及33项软件著作权，参与制定4项国家标准和3项团体标准，技术壁垒显著，行业地位稳固，...,吴春红,持有（首次）,23,2025-08-07,wen****ni,1,2025-08-08 02:45:32,,
投研资讯,江海证券-捷昌驱动-603583-线性驱动系统领域领先企业，携手灵巧智能布局人形机器人赛道——成功打开第二成长曲线（首次覆盖）-250807,线性驱动系统领域领先企业，技术研发实力强劲。捷昌驱动成立于2000年3月，于2018年9月成功在上海证券交易所主板上市。公司自成立以来，始终专注于线性驱动系统的研发、生产和销售...,张诗瑶,增持（首次）,33,2025-08-07,swj****08,2,2025-08-08 02:45:34,,
投研资讯,山西证券-中宠股份-002891-国内业务保持高增，品牌出海值得期待-250807,"事件描述
　　公司发布2025年半年报，2025年上半年公司实现营收24.32亿元，同比+24.32%；实现归母净利润2.03亿元，同比+42.56%；实现扣非归母净利润1.9...",陈振志，张彦博,增持-A,5,2025-08-07,sbb****ao,2,2025-08-08 02:45:34,,
投研资讯,光大证券-海康威视-002415-跟踪报告之五：25Q2延续高增长，毛利率验证高质量增长-250807,25Q2延续高质量增长：25Q2营收232.9亿元（YoY -0.5%），归母净利润36.2亿元（YoY +14.9%），扣非净利润35.6亿元（YoY +2.3%）；25H1...,施鑫展，刘凯，王之含,买入,3,2025-08-07,wang******sun,2,2025-08-08 02:45:34,,
投研资讯,光大证券-海信家电-000921-2025年半年报点评：内销短期承压，海外持续发力-250807,"事件：
　　公司发布2025年半年报：2025年上半年公司实现营收493.4亿元，YoY+1.4%；归母净利润20.8亿元，YoY+3.0%。公司25Q2实现营收245.0亿元...",洪吉然,增持,4,2025-08-07,1397******588,2,2025-08-08 02:45:34,,
