,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,600000000.0,600000000.0,600000000.0,600000000.0
Share Issued,600000000.0,600000000.0,600000000.0,600000000.0
Total Debt,3443509.78,2769869.92,2043874.39,3754797.16
Tangible Book Value,10016359755.96,9236229970.85,8388411558.22,7720460423.69
Invested Capital,10514369954.86,9749366681.26,8904207926.86,8249413499.01
Working Capital,5521832973.62,4989924843.09,4290422231.74,4209058074.17
Net Tangible Assets,10016359755.96,9236229970.85,8388411558.22,7720460423.69
Capital Lease Obligations,115370.46,,322314.01,151252.93
Common Stock Equity,10514369954.86,9749366681.26,8904207926.86,8249413499.01
Total Capitalization,10514369954.86,9749366681.26,8904207926.86,8249413499.01
Total Equity Gross Minority Interest,10514369954.86,9749366681.26,8904207926.86,8249413499.01
Stockholders Equity,10514369954.86,9749366681.26,8904207926.86,8249413499.01
Treasury Stock,121785020.35,120182553.76,148931302.87,148931302.87
Retained Earnings,8694098258.95,7937919004.0,7116662737.08,6461868309.23
Additional Paid In Capital,969429486.13,938150030.41,976882369.04,976882369.04
Capital Stock,600000000.0,600000000.0,600000000.0,600000000.0
Common Stock,600000000.0,600000000.0,600000000.0,600000000.0
Total Liabilities Net Minority Interest,3144578462.75,2783046392.25,2603941407.1,2781479973.54
Total Non Current Liabilities Net Minority Interest,202793576.67,194561430.19,151790882.32,161458020.28
Non Current Deferred Revenue,74848241.4,76871365.31,77178369.25,76537582.52
Non Current Deferred Taxes Liabilities,127829964.81,117690064.88,74290199.06,84769184.83
Long Term Debt And Capital Lease Obligation,115370.46,,322314.01,151252.93
Long Term Capital Lease Obligation,115370.46,,322314.01,151252.93
Current Liabilities,2941784886.08,2588484962.06,2452150524.78,2620021953.26
Other Current Liabilities,38724266.94,12201274.85,31844799.88,44097942.0
Current Debt And Capital Lease Obligation,3328139.32,2769869.92,1721560.38,3603544.23
Payables,2339909610.24,2176060116.07,1855489585.3,1894940459.06
Other Payable,1007373628.3,880132246.24,645918917.59,490214529.55
Dividends Payable,5641584.6,4701321.0,,
Total Tax Payable,498731390.41,442796102.51,403651030.33,666241462.81
Accounts Payable,828163006.93,848430446.32,805919637.38,738484466.7
Total Assets,13658948417.61,12532413073.51,11508149333.96,11030893472.55
Total Non Current Assets,5195330557.91,4954003268.36,4765576577.44,4201813445.12
Other Non Current Assets,434892950.55,208093238.52,279517954.01,288316220.19
Non Current Deferred Taxes Assets,1594147.15,3891046.97,618177.72,31398608.8
Investment Properties,95424688.97,102035260.31,109346829.69,83728623.68
Goodwill And Other Intangible Assets,498010198.9,513136710.41,515796368.64,528953075.32
Other Intangible Assets,498010198.9,513136710.41,515796368.64,528953075.32
Net PPE,4165408572.34,4126847012.15,3860297247.38,3269416917.13
Accumulated Depreciation,,-1418587643.3,-1177233317.05,-1002549191.98
Gross PPE,4165408572.34,5545434655.45,5037530564.43,4271966109.11
Construction In Progress,1003296107.23,1163271187.01,1311474366.02,1232454415.1
Other Properties,3162112465.11,213041818.83,133406010.19,68680096.64
Machinery Furniture Equipment,,1068208814.33,878593153.46,789588514.53
Buildings And Improvements,,,,
Properties,,3100912835.28,2714057034.76,2181243082.84
Current Assets,8463617859.7,7578409805.15,6742572756.52,6829080027.43
Other Current Assets,852720.89,2365.22,127185.26,2490539.36
Prepaid Assets,22075395.77,26129272.26,34042606.98,34534320.12
Inventory,5853711277.14,5067006218.75,4210831995.44,3541180487.46
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,308862526.48,248421864.35,207799374.83,200392897.2
Work In Process,5094241441.18,4463982581.5,3660321691.88,3063070927.63
Raw Materials,450607309.48,354601772.9,342710928.73,277716662.63
Other Receivables,387083622.34,442767616.02,341903607.83,611286816.88
Accounts Receivable,14257078.01,5459865.45,3292967.58,2265803.45
Allowance For Doubtful Accounts Receivable,,-3048419.76,-2932653.39,-2847671.82
Gross Accounts Receivable,,8508285.21,6225620.97,5113475.27
Cash Cash Equivalents And Short Term Investments,2185637765.55,2037044467.45,2152374393.43,2637322060.16
Other Short Term Investments,262248577.84,522413355.55,472755312.04,756264504.72
Cash And Cash Equivalents,1923389187.71,1514631111.9,1679619081.39,1881057555.44
Cash Equivalents,97084168.28,124858726.32,99644390.58,135762110.09
Cash Financial,1826305019.43,1389772385.58,1579974690.81,1745295445.35
