,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1051902632.56,620608078.63,430928873.16,185749852.38
Repayment Of Debt,-249400000.0,-287500000.0,-225000000.0,-125000000.0
Issuance Of Debt,249400000.0,287500000.0,225000000.0,125000000.0
Capital Expenditure,-407346639.5,-290071516.51,-398201877.92,-599803677.84
End Cash Position,1832209187.71,1401205111.9,1588793481.39,1749107555.44
Beginning Cash Position,1401205111.9,1588793481.39,1749107555.44,1411335061.27
Changes In Cash,431004075.81,-187588369.49,-160314074.05,337772494.17
Financing Cash Flow,-948286339.53,-799985152.66,-899081555.39,-719961380.42
Net Other Financing Charges,-50109543.97,95350198.57,-3740050.0,-3697290.0
Cash Dividends Paid,-898176795.56,-895335351.23,-895341505.39,-716264090.42
Net Issuance Payments Of Debt,0.0,0.0,0.0,0.0
Net Long Term Debt Issuance,0.0,0.0,0.0,0.0
Long Term Debt Payments,-249400000.0,-287500000.0,-225000000.0,-125000000.0
Long Term Debt Issuance,249400000.0,287500000.0,225000000.0,125000000.0
Investing Cash Flow,-79958856.72,-298282811.97,-90363269.74,272180344.37
Net Other Investing Changes,31009638.78,20370783.99,39006256.94,58333462.76
Net Investment Purchase And Sale,256000600.05,-43582079.45,268832351.24,744749145.0
Sale Of Investment,1101000600.05,1696418503.76,4128832351.24,3784749145.0
Purchase Of Investment,-845000000.0,-1740000583.21,-3860000000.0,-3040000000.0
Net PPE Purchase And Sale,-366969095.55,-275071516.51,-398201877.92,-530902263.39
Sale Of PPE,40377543.95,15000000.0,,68901414.45
Purchase Of PPE,-407346639.5,-290071516.51,-398201877.92,-599803677.84
Capital Expenditure Reported,,,,
Operating Cash Flow,1459249272.06,910679595.14,829130751.08,785553530.22
Change In Working Capital,-470358378.74,-1098198447.4,-948319275.38,-769035005.48
Change In Other Current Assets,12436799.75,40126996.57,20235313.64,15967147.43
Change In Payable,261138904.61,-180116207.92,-114351485.2,256148395.19
Change In Inventory,-793685382.75,-863966665.88,-669735513.95,-665225295.15
Change In Receivables,49751299.65,-94242570.17,-184467589.87,-375925252.95
Other Non Cash Items,1508812.67,1031276.6,1528100.48,404495.61
Deferred Tax,,,,
Depreciation And Amortization,320382485.8,274233946.29,208282357.95,182089320.53
Amortization Cash Flow,24432074.36,19066761.54,13732949.14,12252201.0
Depreciation,295950411.44,255167184.75,194549408.81,169837119.53
Gain Loss On Investment Securities,-26782784.49,-27783556.33,-24329415.5,-58192465.68
Gain Loss On Sale Of PPE,-40546572.95,,90584.73,-261489116.95
Net Income From Continuing Operations,1655274754.95,1721256266.92,1550159238.52,1727088233.89
Cash Flowsfromusedin Operating Activities Direct,1459249272.06,910679595.14,829130751.08,785553530.22
Taxes Refund Paid Direct,-2001757795.8,-1915419678.47,-1971139635.04,-1623458637.84
Classesof Cash Payments,-2993360125.53,-2995866407.03,-2480272029.28,-2485815471.64
Other Cash Paymentsfrom Operating Activities,-673616378.82,-635234983.15,-502607235.59,-455539301.03
Paymentson Behalfof Employees,-511601309.11,-501516722.82,-415226323.19,-372411531.46
Paymentsto Suppliersfor Goodsand Services,-1808142437.6,-1859114701.06,-1562438470.5,-1657864639.15
Classesof Cash Receiptsfrom Operating Activities,6454367193.39,5821965680.64,5280542415.4,4894827639.7
Other Cash Receiptsfrom Operating Activities,8306735.44,31426627.94,63263257.86,18218923.32
Receiptsfrom Customers,6446060457.95,5790539052.7,5217279157.54,4876608716.38
