,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,2559760469.0,2573260436.0,2573260436.0,2447652008.0
Share Issued,2559760469.0,2573260436.0,2573260436.0,2447652008.0
Net Debt,,1114544339.0,1374127436.0,2972190939.0
Total Debt,4584996409.0,3999649220.0,4122881900.0,4705892543.0
Tangible Book Value,8516500479.0,8166148953.0,7704812315.0,7003178241.0
Invested Capital,12349870507.0,11104237808.0,11103704547.0,11460616039.0
Working Capital,896189957.0,669137308.0,1033609206.0,452248993.0
Net Tangible Assets,8516500479.0,8166148953.0,7704812315.0,7003178241.0
Capital Lease Obligations,177763415.0,236213615.0,219758325.0,159915150.0
Common Stock Equity,9075931947.0,8734882399.0,8251479689.0,7546565566.0
Total Capitalization,9280765380.0,9274056714.0,9013267766.0,9077759699.0
Total Equity Gross Minority Interest,9355660247.0,8915539800.0,8438458149.0,7742574695.0
Minority Interest,279728300.0,180657401.0,186978460.0,196009129.0
Stockholders Equity,9075931947.0,8734882399.0,8251479689.0,7546565566.0
Other Equity Interest,,,,148063808.0
Retained Earnings,4399002825.0,4047120158.0,3615686844.0,3405574028.0
Additional Paid In Capital,1296141711.0,1346388727.0,1355367178.0,863995414.0
Capital Stock,2559760469.0,2573260436.0,2573260436.0,2447652008.0
Common Stock,2559760469.0,2573260436.0,2573260436.0,2447652008.0
Total Liabilities Net Minority Interest,8737582910.0,7490209358.0,8597505063.0,8896888190.0
Total Non Current Liabilities Net Minority Interest,992377942.0,1344586236.0,2147739322.0,2330502864.0
Other Non Current Liabilities,8760000.0,8350000.0,8350000.0,9230000.0
Tradeand Other Payables Non Current,392572245.0,330835433.0,918646203.0,366399199.0
Non Current Deferred Revenue,163493930.0,174806192.0,173714197.0,205811916.0
Non Current Deferred Taxes Liabilities,44954919.0,55206681.0,65482520.0,57952466.0
Long Term Debt And Capital Lease Obligation,382596848.0,775387930.0,981546402.0,1691109283.0
Long Term Capital Lease Obligation,177763415.0,236213615.0,219758325.0,159915150.0
Long Term Debt,204833433.0,539174315.0,761788077.0,1531194133.0
Current Liabilities,7745204968.0,6145623122.0,6449765741.0,6566385326.0
Other Current Liabilities,13605853.0,53893714.0,26276033.0,15290342.0
Current Debt And Capital Lease Obligation,4202399561.0,3224261290.0,3141335498.0,3014783260.0
Current Debt,3069105127.0,1830181094.0,2090436781.0,2382856340.0
Payables,3424357578.0,2753296455.0,3131964297.0,3416691088.0
Other Payable,754863750.0,441592833.0,441926711.0,519017771.0
Dividends Payable,,,,
Total Tax Payable,106562070.0,116294843.0,123352784.0,178610053.0
Accounts Payable,2562931758.0,2195408779.0,2566684802.0,2719063264.0
Total Assets,18093243157.0,16405749158.0,17035963212.0,16639462885.0
Total Non Current Assets,9451848232.0,9590988728.0,9552588265.0,9620828566.0
Other Non Current Assets,59063799.0,55704117.0,142309193.0,463214590.0
Non Current Deferred Assets,29748368.0,35291960.0,48279064.0,63655216.0
Non Current Deferred Taxes Assets,67212349.0,59864378.0,55884528.0,68499431.0
Investmentin Financial Assets,143675305.0,145135361.0,173651508.0,139694609.0
Available For Sale Securities,143675305.0,145135361.0,173651508.0,139694609.0
Long Term Equity Investment,2950093340.0,2826030178.0,2726613637.0,2644694333.0
Investment Properties,86265677.0,89760582.0,92293510.0,166215965.0
Goodwill And Other Intangible Assets,559431468.0,568733446.0,546667374.0,543387325.0
Other Intangible Assets,500387382.0,509689360.0,487623288.0,484343239.0
Goodwill,59044086.0,59044086.0,59044086.0,59044086.0
Net PPE,5528527707.0,5779231074.0,5731721881.0,5492469117.0
Accumulated Depreciation,,-3134935336.0,-2766165311.0,-2461875388.0
Gross PPE,5528527707.0,8914166410.0,8497887192.0,7954344505.0
Construction In Progress,171575158.0,444218910.0,262085920.0,352933833.0
Other Properties,5356952549.0,593784669.0,546916700.0,841981773.0
Machinery Furniture Equipment,,5043845064.0,4916292212.0,4360245989.0
Buildings And Improvements,,,,
Properties,,2832317767.0,2772592360.0,2399182910.0
Current Assets,8641394925.0,6814760430.0,7483374947.0,7018634319.0
Other Current Assets,131074381.0,129998937.0,129553067.0,370345820.0
Hedging Assets Current,6930354.0,21899200.0,13450741.0,7907508.0
Prepaid Assets,176906988.0,171222905.0,218176231.0,318109993.0
Inventory,1617623179.0,1681831127.0,2070243171.0,2162267484.0
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,12001910.0,,,
Finished Goods,647069678.0,550058070.0,595134582.0,675607672.0
Raw Materials,958551591.0,1131773057.0,1475108589.0,1486659812.0
Other Receivables,327342502.0,348819440.0,317411552.0,258149857.0
Accounts Receivable,2750072484.0,3206177751.0,3256442763.0,2959994123.0
Allowance For Doubtful Accounts Receivable,,-92395571.0,-180977688.0,-180705694.0
Gross Accounts Receivable,,3298573322.0,3437420451.0,3140699817.0
Cash Cash Equivalents And Short Term Investments,3631445037.0,1254811070.0,1478097422.0,941859534.0
Cash And Cash Equivalents,3631445037.0,1254811070.0,1478097422.0,941859534.0
Cash Equivalents,36430927.0,15613376.0,45932553.0,109123795.0
Cash Financial,3595014110.0,1239197694.0,1432164869.0,832735739.0
