,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,401000000.0,401000000.0,401000000.0,360900000.0
Share Issued,401000000.0,401000000.0,401000000.0,360900000.0
Net Debt,,55074563.55,,57008500.48
Total Debt,2068535561.79,680558191.76,500109265.28,244452581.82
Tangible Book Value,3859243307.04,123876042.02,904364656.72,300689261.47
Invested Capital,5670859370.29,610910573.1,1328986157.85,543079492.9
Working Capital,4327257021.18,-278013718.96,689140454.68,-47512658.17
Net Tangible Assets,3859243307.04,123876042.02,904364656.72,300689261.47
Capital Lease Obligations,28125557.94,1016535.63,5723019.47,8969820.56
Common Stock Equity,3885924780.04,151873300.02,933894287.03,331848865.68
Total Capitalization,5075354780.04,335793300.02,1173854287.03,381848865.68
Total Equity Gross Minority Interest,3885924780.04,151873300.02,933894287.03,331848865.68
Stockholders Equity,3885924780.04,151873300.02,933894287.03,331848865.68
Retained Earnings,2585023551.34,-1122481004.5,-341982119.69,-59513730.47
Additional Paid In Capital,858065389.26,858065389.26,858065389.26,13767958.98
Capital Stock,401000000.0,401000000.0,401000000.0,360900000.0
Common Stock,401000000.0,401000000.0,401000000.0,360900000.0
Total Liabilities Net Minority Interest,3251432880.03,1273225982.6,1057539085.15,619606586.76
Total Non Current Liabilities Net Minority Interest,1271485313.1,219392595.24,320334167.43,148281667.38
Other Non Current Liabilities,9725123.25,11193279.81,14053616.84,15812464.87
Tradeand Other Payables Non Current,,7635655.13,47222868.61,42455008.85
Non Current Deferred Revenue,42266593.04,15627124.67,13289742.4,31044373.1
Non Current Deferred Taxes Liabilities,1938038.87,,84920.11,
Long Term Debt And Capital Lease Obligation,1217555557.94,184936535.63,245683019.47,58969820.56
Long Term Capital Lease Obligation,28125557.94,1016535.63,5723019.47,8969820.56
Long Term Debt,1189430000.0,183920000.0,239960000.0,50000000.0
Current Liabilities,1979947566.93,1053833387.36,737204917.72,471324919.38
Other Current Liabilities,7972764.6,11662048.99,15069849.3,23321518.3
Current Debt And Capital Lease Obligation,850980003.85,495621656.13,254426245.81,185482761.26
Current Debt,595504590.25,275117273.08,155131870.82,161230627.22
Payables,764860041.69,537878186.14,450292849.75,251737822.72
Other Payable,235568557.58,180935911.05,218816477.73,168829058.78
Total Tax Payable,31293051.51,17874573.69,34335733.84,10354676.25
Accounts Payable,497998432.6,339067701.4,197140638.18,72554087.69
Total Assets,7137357660.07,1425099282.62,1991433372.18,951455452.44
Total Non Current Assets,830153071.96,649279614.22,565087999.78,527643191.23
Other Non Current Assets,31447349.74,6911868.77,28434558.72,22447914.32
Non Current Deferred Assets,18397147.19,1816183.35,1791391.45,1162121.13
Non Current Deferred Taxes Assets,179195051.59,76176622.26,83226460.86,65798283.41
Investment Properties,1342706.09,1592024.33,1841342.57,2090660.81
Goodwill And Other Intangible Assets,26681473.0,27997258.0,29529630.31,31159604.21
Other Intangible Assets,26681473.0,27997258.0,29529630.31,31159604.21
Net PPE,573089344.35,534785657.51,420264615.87,404984607.35
Accumulated Depreciation,-545891402.59,-482590627.06,-429033985.12,-375770789.43
Gross PPE,1118980746.94,1017376284.57,849298600.99,780755396.78
Construction In Progress,35508469.53,81367667.14,67211957.93,18175207.62
Other Properties,744642584.16,619569108.66,467977384.19,449876563.19
Machinery Furniture Equipment,13529366.34,11884233.6,11884233.6,11884233.6
Properties,325300326.91,304555275.17,302225025.27,300819392.37
Current Assets,6307204588.11,775819668.4,1426345372.4,423812261.21
Other Current Assets,2670252338.07,32000937.34,17373129.48,26447467.2
Prepaid Assets,81590484.92,57198896.15,29844695.1,22916110.96
Inventory,162191590.25,140907711.98,101327082.76,82326819.35
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,12285760.12,,,-75446.17
Finished Goods,40342933.73,54799422.43,28884702.74,25626242.6
Work In Process,29914617.09,21999577.26,25988910.05,22377748.72
Raw Materials,79648279.31,64108712.29,46453469.97,34322828.03
Other Receivables,66333540.7,43354811.14,44556278.14,32717882.04
Accounts Receivable,106715664.97,98394602.26,228502933.95,105181854.92
Allowance For Doubtful Accounts Receivable,-11612795.88,-11034284.46,-18730172.37,-13664323.09
Gross Accounts Receivable,118328460.85,109428886.72,247233106.32,118846178.01
Cash Cash Equivalents And Short Term Investments,3220120969.2,403962709.53,1004741252.97,154222126.74
Other Short Term Investments,,,,
Cash And Cash Equivalents,3220120969.2,403962709.53,1004741252.97,154222126.74
Cash Equivalents,12122685.48,12270000.0,4046429.6,
Cash Financial,3207998283.72,391692709.53,1000694823.37,154222126.74
