,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,543347787.0,541451787.0,512772787.0,512400109.0
Share Issued,543347787.0,541451787.0,512772787.0,512400109.0
Total Debt,2123811816.98,1495603178.19,780680101.19,530249480.5
Tangible Book Value,8263646330.45,7721062238.27,5859985829.79,4794173527.48
Invested Capital,10344295138.89,9195511868.32,6826810484.68,5605121246.98
Working Capital,3884283071.8,3850941824.41,2395975123.34,2163849253.77
Net Tangible Assets,8263646330.45,7721062238.27,5859985829.79,4794173527.48
Capital Lease Obligations,78803045.3,101217303.95,4863114.56,6287442.21
Common Stock Equity,8764548513.12,8246447181.72,6153405610.35,5083019416.23
Total Capitalization,9288292921.9,8641542959.87,6553688943.68,5183101916.23
Total Equity Gross Minority Interest,9162870768.5,8686689898.93,6337983449.84,5233437537.02
Minority Interest,398322255.38,440242717.21,184577839.49,150418120.79
Stockholders Equity,8764548513.12,8246447181.72,6153405610.35,5083019416.23
Treasury Stock,90528153.8,59962257.01,,19174991.68
Retained Earnings,3946969152.74,3409569241.07,2771489902.27,1900563877.06
Additional Paid In Capital,4017230328.12,4000967443.2,2514305774.98,2460064784.66
Capital Stock,543347787.0,543014987.0,512772787.0,512400109.0
Common Stock,543347787.0,543014987.0,512772787.0,512400109.0
Total Liabilities Net Minority Interest,5108749598.41,3940233852.17,3145255033.36,2160310921.42
Total Non Current Liabilities Net Minority Interest,1246548577.86,1232627588.58,1080729081.72,298784075.48
Other Non Current Liabilities,215800000.0,319316563.0,319316563.0,
Non Current Deferred Revenue,202793634.62,184130467.6,159516602.26,97520192.91
Non Current Deferred Taxes Liabilities,225407489.16,232867475.88,196749468.57,94893940.36
Long Term Debt And Capital Lease Obligation,602547454.08,496313082.1,405146447.89,106369942.21
Long Term Capital Lease Obligation,78803045.3,101217303.95,4863114.56,6287442.21
Long Term Debt,523744408.78,395095778.15,400283333.33,100082500.0
Current Liabilities,3862201020.55,2707606263.59,2064525951.64,1861526845.94
Other Current Liabilities,3966129.45,3594982.83,2394362.02,2191530.64
Current Debt And Capital Lease Obligation,1521264362.9,999290096.09,375533653.3,423879538.29
Current Debt,1056002216.99,553968908.45,273121541.0,422019330.75
Payables,2325727141.15,1669632616.83,1649166081.95,1403090009.13
Other Payable,273047206.67,215001749.97,177082235.26,182110598.92
Total Tax Payable,60692578.43,27147354.55,21829634.84,42119175.62
Accounts Payable,1991987356.05,1427483512.31,1450254211.85,1178860234.59
Total Assets,14271620366.91,12626923751.1,9483238483.2,7393748458.44
Total Non Current Assets,6525136274.56,6068375663.1,5022737408.22,3368372358.73
Other Non Current Assets,243996762.87,380445695.65,329554214.72,128313775.61
Non Current Deferred Assets,132059342.92,117867540.0,98598854.2,71353000.4
Non Current Deferred Taxes Assets,9756520.28,14231497.36,8669141.34,6762429.07
Investmentin Financial Assets,696898681.49,649575265.88,442446494.05,397338974.96
Available For Sale Securities,696898681.49,649575265.88,442446494.05,397338974.96
Long Term Equity Investment,18797967.26,62372039.75,466606774.74,103164290.24
Goodwill And Other Intangible Assets,500902182.67,525384943.45,293419780.56,288845888.75
Other Intangible Assets,198961777.64,211533873.67,129755445.13,125066574.71
Goodwill,301940405.03,313851069.78,163664335.43,163779314.04
Net PPE,4922724817.07,4318498681.01,3383442148.61,2372593999.7
Accumulated Depreciation,-2239920490.0,-1711401423.37,-1110094164.04,-804312613.24
Gross PPE,7162645307.07,6029900104.38,4493536312.65,3176906612.94
Construction In Progress,1359312665.99,720260135.67,461878389.19,1015050086.94
Other Properties,4728461514.22,4411255034.09,3365110780.34,1793708101.0
Machinery Furniture Equipment,17263482.17,14729367.77,17723098.49,15305511.74
Buildings And Improvements,,,,
Properties,1057607644.69,883655566.85,648824044.63,352842913.26
Current Assets,7746484092.35,6558548088.0,4460501074.98,4025376099.71
Other Current Assets,164276158.5,33323514.88,135165283.82,65427477.69
Prepaid Assets,26082059.32,59693121.73,116807347.04,23032899.52
Inventory,1227175102.44,1145317621.74,1213168285.7,997030113.67
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,670238431.8,661677377.93,707619417.92,504166485.36
Work In Process,223887659.04,183797418.74,168422265.22,167469265.46
Raw Materials,333049011.6,299842825.07,337126602.56,325394362.85
Other Receivables,263075495.43,244611236.14,266701559.11,271505482.68
Accounts Receivable,1875353558.04,1515579463.24,1208174469.34,1020560981.28
Allowance For Doubtful Accounts Receivable,-100097543.71,-81592085.28,-63932528.05,-53869807.28
Gross Accounts Receivable,1975451101.75,1597171548.52,1272106997.39,1074430788.56
Cash Cash Equivalents And Short Term Investments,4190521718.62,3560023130.27,1520484129.97,1647819144.87
Other Short Term Investments,248289829.99,41785067.71,63200000.0,513111555.46
Cash And Cash Equivalents,3942231888.63,3518238062.56,1457284129.97,1134707589.41
Cash Equivalents,48579009.19,581474.92,27867766.13,16056783.05
Cash Financial,3893652879.44,3517656587.64,1429416363.84,1118650806.36
