,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,771629041.07,2660263792.86,5296789483.12,1973242045.84
Repayment Of Debt,,,,
Issuance Of Debt,20000000.0,,,
Capital Expenditure,-147572749.86,-323784186.71,-133700572.95,-61976346.43
End Cash Position,852640157.94,1585856639.72,2779314490.75,799638019.86
Beginning Cash Position,1585856639.72,2779314490.75,799638019.86,454265680.24
Effect Of Exchange Rate Changes,168374.79,-1203669.89,,
Changes In Cash,-733384856.57,-1192254181.14,1979676470.89,345372339.62
Financing Cash Flow,-1621142133.46,-2769522465.71,-3304926387.45,80126213.64
Net Other Financing Charges,26802793.46,-8617681.39,-305260624.81,80126213.64
Cash Dividends Paid,-1667944926.92,-2760904784.32,-2999665762.64,
Net Issuance Payments Of Debt,20000000.0,,,
Net Long Term Debt Issuance,20000000.0,,,
Long Term Debt Payments,,,,
Long Term Debt Issuance,20000000.0,,,
Investing Cash Flow,-31444514.04,-1406779695.0,-145887197.73,-1769972266.29
Net Other Investing Changes,198849813.76,-19005651.56,,-679680.75
Net Investment Purchase And Sale,-85136610.94,-1064182356.73,-12291653.8,-1635326279.92
Sale Of Investment,145844788.76,641600744.99,1657069689.97,54029164.33
Purchase Of Investment,-230981399.7,-1705783101.72,-1669361343.77,-1689355444.25
Net Business Purchase And Sale,,,,-75425273.26
Purchase Of Business,,,,-75425273.26
Net PPE Purchase And Sale,-145157716.86,-323591686.71,-133595543.93,-58541032.36
Sale Of PPE,2415033.0,192500.0,105029.02,3435314.07
Purchase Of PPE,-147572749.86,-323784186.71,-133700572.95,-61976346.43
Capital Expenditure Reported,,,,
Operating Cash Flow,919201790.93,2984047979.57,5430490056.07,2035218392.27
Change In Working Capital,-143115668.32,315648285.91,-242596942.77,142944487.45
Change In Other Current Assets,-11331729.26,-22835121.96,-5325272.84,-17288096.53
Change In Payable,-402870497.82,-469588144.39,258005095.03,183153674.49
Change In Inventory,69289759.21,73729264.88,-102651451.65,133469945.93
Change In Receivables,201796799.55,734342287.38,-392625313.31,-156391036.44
Other Non Cash Items,11906217.94,8014941.28,4992440.88,774325.25
Deferred Tax,,,,
Depreciation And Amortization,449730810.93,431311763.69,421739093.22,447334146.91
Amortization Cash Flow,33801349.58,28574181.13,28686929.06,25510861.19
Depreciation,415929461.35,402737582.56,393052164.16,421823285.72
Gain Loss On Investment Securities,-2073603861.86,-1267239745.44,-690329025.92,-227865894.47
Gain Loss On Sale Of PPE,49863980.9,9653002.53,30974108.18,38239353.23
Net Income From Continuing Operations,2569273691.44,3412354426.47,5654971920.07,1427339931.06
Cash Flowsfromusedin Operating Activities Direct,919201790.93,2984047979.57,5430490056.07,2035218392.27
Taxes Refund Paid Direct,-1214840512.2,-1433073102.74,-1968043599.94,-470845029.17
Classesof Cash Payments,-1818939309.44,-1441870318.03,-1352492957.53,-1047186344.8
Other Cash Paymentsfrom Operating Activities,-828601150.45,-389481166.87,-190806693.66,-193724642.43
Paymentson Behalfof Employees,-291726763.45,-263890495.48,-219231949.31,-173343135.94
Paymentsto Suppliersfor Goodsand Services,-698611395.54,-788498655.68,-942454314.56,-680118566.43
Classesof Cash Receiptsfrom Operating Activities,3952981612.57,5858991400.34,8751026613.54,3553249766.24
Other Cash Receiptsfrom Operating Activities,658935742.69,312506548.78,100303654.28,103185621.13
Receiptsfrom Customers,3294045869.88,5546484851.56,8650722959.26,3450064145.11
