,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,827654210.53,-795676607.68,-171282414.31,-454429404.98
Repayment Of Debt,-2151710000.0,-231419760.0,-467000000.0,-616780000.0
Issuance Of Debt,3073600000.0,1268135000.0,1531999760.0,487000000.0
Capital Expenditure,-1937162928.69,-2992014008.99,-3487904151.87,-1701760136.59
End Cash Position,2274947368.96,1527422765.1,1825719099.27,1241225087.34
Beginning Cash Position,1527422765.1,1825719099.27,1241225087.34,1526627955.11
Effect Of Exchange Rate Changes,49655628.76,13860804.21,120639511.65,-30532436.4
Changes In Cash,697868975.1,-312157138.38,463854500.28,-254870431.37
Financing Cash Flow,191191599.83,210431905.91,709016181.3,-410104152.86
Net Other Financing Charges,-303228560.59,-37812659.59,34422202.93,20028377.06
Cash Dividends Paid,-406710789.78,-786259571.96,-389425781.63,-17188617.92
Net Issuance Payments Of Debt,921890000.0,1036715240.0,1064999760.0,-129780000.0
Net Long Term Debt Issuance,921890000.0,1036715240.0,1064999760.0,-129780000.0
Long Term Debt Payments,-2151710000.0,-231419760.0,-467000000.0,-616780000.0
Long Term Debt Issuance,3073600000.0,1268135000.0,1531999760.0,487000000.0
Investing Cash Flow,-2258139763.95,-2718926445.6,-3561783418.58,-1092097010.12
Net Other Investing Changes,298524324.77,195097636.07,18668740.56,743798791.03
Net Investment Purchase And Sale,-182257946.45,-57017585.56,-125435922.3,-159994404.5
Sale Of Investment,63642053.55,52982414.44,28314077.7,92996249.5
Purchase Of Investment,-245900000.0,-110000000.0,-153750000.0,-252990654.0
Net Business Purchase And Sale,-464686017.29,,,
Sale Of Business,2999907.51,,,
Purchase Of Business,-467685924.8,,,
Net PPE Purchase And Sale,-1909720124.98,-2857006496.11,-3455016236.84,-1675901396.65
Sale Of PPE,27442803.71,135007512.88,32887915.03,25858739.94
Purchase Of PPE,-1937162928.69,-2992014008.99,-3487904151.87,-1701760136.59
Capital Expenditure Reported,,,,
Operating Cash Flow,2764817139.22,2196337401.31,3316621737.56,1247330731.61
Change In Working Capital,-1012303508.19,258899493.9,311300299.99,-757169763.14
Change In Other Current Assets,-1269298.24,41480884.58,-16421550.57,-69633739.69
Change In Payable,1152434956.66,-568508182.88,1582538534.18,1109307531.12
Change In Inventory,-607851705.83,-71178235.51,-124032416.69,-786375662.8
Change In Receivables,-1555617460.78,857105027.71,-1130784266.93,-1010467891.77
Other Non Cash Items,106795851.05,22261893.41,-83032582.42,42052712.35
Deferred Tax,,,,
Depreciation And Amortization,1529917900.21,1047459845.25,879769132.67,867373038.99
Amortization Cash Flow,37617491.97,26845797.42,25703494.85,26577272.17
Depreciation,1492300408.24,1020614047.83,854065637.82,840795766.82
Gain Loss On Investment Securities,-136205581.47,-92894308.12,-379543664.24,-369708507.99
Gain Loss On Sale Of PPE,7700204.57,-50415115.4,23138308.77,37683537.37
Net Income From Continuing Operations,2176657698.09,968674025.1,2396311619.64,1078093155.45
Cash Flowsfromusedin Operating Activities Direct,2764817139.22,2196337401.31,3316621737.56,1247330731.61
Taxes Refund Paid Direct,-486633345.95,-462379506.52,-453450623.92,-168965607.62
Classesof Cash Payments,-24460524666.56,-23658975484.25,-22422967605.59,-18395951796.35
Other Cash Paymentsfrom Operating Activities,-1158587721.48,-1149418215.81,-1409180385.01,-781522115.47
Paymentson Behalfof Employees,-2008417052.68,-1770176867.25,-1658451407.19,-1497662710.4
Paymentsto Suppliersfor Goodsand Services,-21293519892.4,-20739380401.19,-19355335813.39,-16116766970.48
Classesof Cash Receiptsfrom Operating Activities,27711975151.73,26317692392.08,26193039967.07,19812248135.58
Other Cash Receiptsfrom Operating Activities,1308820403.6,1310996596.06,828129278.18,293765678.8
Receiptsfrom Customers,26403154748.13,25006695796.02,25364910688.89,19518482456.78
